rule_id,rule_type,scope,source_evidence,observed_drafting_behavior,evidence_status,allowed_use,forbidden_use,validation_requirement,note
M1A-BDL-001,PAIRED_RUN_SINGLE_SCHEME,G1+G4+G5,"TAV-02A T2A-G01/T2A-G02/T2A-G03/T2A-G07; TAV-05A T5A-G01/T5A-G02/T5A-G03/T5A-G04; TAV-06A T6A-G04/T6A-G06","Two or more support sequences are deliberately represented on one reinforcement scheme instead of redrawing the full armature.",DOC,"Treat the paired sequences as one authored schedule scope when the pairing is explicit on the source.","Do not create a new pair solely because two beams look similar.","Explicit paired sequences or stacked labels on the source plus topology match.","Confirms manual-drafting economy as an authored convention, not a generic analogy rule. T6A-G06 was recovered by direct primary reread and provides an additional roof-level example."
M1A-BDL-002,PARENTHETIC_VARIANT,G1+G2+G3,"TAV-02A T2A-G01/T2A-G03; TAV-034A T34-G04/T34-G07","The base drawing is reused and only differing dimensions are written in parentheses for the companion run.",DOC,"Reuse common bar topology/count/diameter where the source explicitly binds the parenthesized variant; keep variant dimensions source-specific.","Do not copy unparenthesized numerical lengths onto a companion run when a variant is not documented.","Direct source note/parentheses and exact companion-sequence binding.","This is direct evidence that the designer minimized handwritten duplication."
M1A-BDL-003,STACKED_NODE_LABELS,G4+G5,"TAV-05A T5A-G04; TAV-06A T6A-G04/T6A-G06","Corresponding node labels of parallel runs are stacked on the same graphic scheme.",DOC,"Bind all explicitly stacked sequences to the same authored reinforcement scheme.","Do not infer non-stacked parallel members.","Readable stacked labels plus carpenteria topology match.","A compact notation for parallel/equivalent travate. T6A-G06 directly stacks 25/28, 26/29 and 27/30."
M1A-BDL-004,CROSS_STOREY_SHARED_SCHEME,G2+G3,"TAV-034A cartiglio and T34-G01..G07","The armature sheet explicitly states Armatura II° e III° impalcato; one schedule is intentionally reused on both levels.",DOC,"Treat G2 and G3 as one authored source scope for the sequences actually represented by TAV-034A.","Do not use G2/G3 identity alone to invent reinforcement for members absent from every source scheme.","Same support topology and no contradictory section/source evidence.","Explains why the G2 and G3 direct-coverage pattern is identical."
M1A-BDL-005,CONTINUOUS_TRAVATA_AS_DRAWING_UNIT,G1+G2+G3+G4+G5,"All indexed beam-armature groups","The designer's graphical unit is normally a continuous support sequence/travata, not an isolated finite-element span.",DOC,"Project a group schedule onto its explicitly represented span chain while preserving support-station semantics.","Do not interpret each finite-element beam ID as requiring a separate handwritten detail.","Ordered support-sequence match and group-level reinforcement transcription.","Coverage auditing must distinguish drawing-unit coverage from per-member explicit text."
M1A-BDL-006,RECONSTRUCTED_OMITTED_COMPANION,G4,"TAV-034A T34-G07 pairs 19-25-28-31 with 22'-27-30-33; TAV-05A T5A-G07 explicitly shows 19-25-28-31; STOREY_BEAMS_G4_v1 contains G4-B036=22'-27, G4-B041=27-30, G4-B046=30-33 and all are 25x70","The companion run that is explicitly paired on the lower shared-order sheet exists unchanged as a three-span 25x70 run at G4, but only the first run is labelled in the G4 armature index.",INF_STRONG_DRAFTING_RULE,"Use T5A-G07 as a strong candidate reinforcement-family/scheme binding for G4-B036/G4-B041/G4-B046, subject to geometric/span validation; preserve inference provenance.","Do not copy exact bar lengths or source dimensions from 19-25-28-31 unless the G4 companion dimensions are independently validated; do not promote to DOC without explicit TAV-05A shorthand evidence.","Confirm span vector/geometric equivalence or source-authored variant logic and absence of contradictory TAV-05A notation.","First concrete recovery candidate produced by the historical drafting-grammar method."
M1A-BDL-007,SHARED_GAP_PATTERN,G2+G3,"M1A_BEAM_REINFORCEMENT_SOURCE_COVERAGE_CURRENT_v1.csv; TAV-034A shared II/III scope","The same 14 member positions are absent from direct group indexing on both G2 and G3.",INF_STRONG_SOURCE_SCOPE_PATTERN,"Analyze the 14 positions as one shared drafting/source-scope problem and search for representative or symmetric schemes once, then validate on both levels.","Do not transfer a numeric armature from one level to the other merely because both are gaps.","For each candidate: same support role, section from M1-S/storey ledger, source-authored equivalence rule and no contradiction.","The repeated omission pattern is structured, not random, but is not itself reinforcement evidence."
M1A-BDL-008,SOURCE_AUTHORED_EQUIVALENCE_POLICY,ALL,"Derived from M1A-BDL-001..007 and user-qualified historical drafting practice","Symmetry is admissible only when reconstructed from the designer's own repeated notation conventions and corroborated by topology/section evidence.",METHOD_RULE,"Classify explicit shorthand as DOC; classify uniquely reconstructed authored equivalence as INF_STRONG_DRAFTING_RULE; retain ambiguous cases ND.","No adjacency-only, visual-similarity-only or section-only armature copying.","At least two independent supports among source notation, topology, section, span geometry, cross-storey authored scope; zero contradictions.","Replaces the overly broad prohibition on all symmetry-based analysis without weakening provenance discipline."
M1A-BDL-009,SYSTEMATIC_50X20_CONNECTOR_OMISSION,G2+G3+G4,"Coverage register plus STOREY_BEAMS_G2_v1.csv, STOREY_BEAMS_G3_v1.csv and STOREY_BEAMS_G4_v1.csv","The 14-member base gap pattern is repeated at G2, G3 and G4: one 25x70 cross-link 4-5 plus thirteen 50x20 connector/in-slab members at the same support positions. The thirteen 50x20 positions are 2-10, 3-11, 6-14, 7-15, 11-20, 10-18, 13-21, 14-22, 15-23, 25-26, 26-27, 28-29, 29-30.",INF_STRONG_DRAFTING_CLASS_PATTERN,"Treat these thirteen positions as a single recurring documentary class for targeted search of a representative/typical 50x20 armature convention and for local equivalence-orbit testing across the drawing.","Do not assign a common 50x20 reinforcement merely from equal section; span lengths and support roles vary and any numerical armature still needs authored shorthand or a uniquely validated rule.","Search TAV-034A/TAV-05A for unnumbered or representative 50x20 details; compare bar topology, span variants and local symmetry pairs; require zero contradictory callouts.","This pattern strongly suggests the current per-beam direct-index audit is missing a class-level drafting convention rather than thirteen independent omissions per floor."
M1A-BDL-010,HOMOLOGOUS_TRAVATE_LABEL_SEMANTICS,ALL_PAIRED_BEAM_SCHEMES,"Direct visual examples TAV-02A/TAV-034A/TAV-05A plus user-qualified historical drafting semantics confirmed 2026-08-24","When two support-number sequences are written/stacked on one reinforcement drawing, the sequences identify homologous travate represented by the same graphical scheme. Corresponding labels such as 4/5 are homologous stations of the two travate, not an implicit transverse beam 4-5.",RIF_USER_QUALIFIED_CROSSCHECKED,"Use this semantic rule to interpret stacked/paired labels and to exclude transverse cross-links from a longitudinal paired-run armature scope unless the cross-link is explicitly drawn or separately called out.","Do not promote the user's semantic explanation itself to DOC and do not infer a cross-link armature from the homologous longitudinal scheme.","Apply only where the primary drawing visibly contains paired/stacked support sequences and carpenteria independently confirms the physical topology.","This resolves the semantic ambiguity of 4/5, 3/6, 2/7-style stacked labels while preserving source facts separately from the qualified interpretation."
