constraint_id,support_i,support_j,value_m,axis_pixel_distance,transverse_pixel_offset,local_scale_px_per_m,scale_deviation_pct,audit_status,note
G2-TERR-X1,c,a,3.45,542.35,3.65,157.203,-0.57,CONSISTENT,"Hard DOC constraint checked against current G1 native-pixel registry; raster check is diagnostic and does not redefine written dimension."
G2-TERR-X2,a,17,3.45,540.43,7.50,156.646,-0.92,CONSISTENT,"Hard DOC constraint checked against current G1 native-pixel registry; raster check is diagnostic and does not redefine written dimension."
G2-TOP-X3,17,9,5.50,872.39,2.43,158.616,0.32,CONSISTENT,"Hard DOC constraint checked against current G1 native-pixel registry; raster check is diagnostic and does not redefine written dimension."
G2-TOP-X4,9,1,5.60,878.67,1.50,156.905,-0.76,CONSISTENT,"Hard DOC constraint checked against current G1 native-pixel registry; raster check is diagnostic and does not redefine written dimension."
G2-TERR-Y1,c,d,4.70,752.17,2.50,160.036,1.22,CONSISTENT,"Hard DOC constraint checked against current G1 native-pixel registry; raster check is diagnostic and does not redefine written dimension."
G2-TERR-Y2,a,b,4.70,754.03,1.00,160.432,1.47,CONSISTENT,"Hard DOC constraint checked against current G1 native-pixel registry; raster check is diagnostic and does not redefine written dimension."
G2-LROW-1,31,28,4.70,741.75,1.71,157.819,-0.18,CONSISTENT,"Hard DOC constraint checked against current G1 native-pixel registry; raster check is diagnostic and does not redefine written dimension."
G2-LROW-2,32,29,4.70,751.74,4.11,159.945,1.16,CONSISTENT,"Hard DOC constraint checked against current G1 native-pixel registry; raster check is diagnostic and does not redefine written dimension."
G2-LROW-4,28,25,3.45,544.09,4.42,157.707,-0.25,CONSISTENT,"Hard DOC constraint checked against current G1 native-pixel registry; raster check is diagnostic and does not redefine written dimension."
G2-LROW-5,29,26,3.45,544.01,6.01,157.684,-0.27,CONSISTENT,"Hard DOC constraint checked against current G1 native-pixel registry; raster check is diagnostic and does not redefine written dimension."
G2-LROW-8,26,21,2.10,331.94,19.50,158.067,-0.02,WATCH,"Metric length is consistent; transverse raster offset is larger than peers and must remain visible in later transform residuals."
G2-LCOL-1,31,32,6.25,995.67,7.90,159.307,0.76,CONSISTENT,"Hard DOC constraint checked against current G1 native-pixel registry; raster check is diagnostic and does not redefine written dimension."
G2-LCOL-2,32,33,4.95,780.58,12.91,157.693,-0.26,CONSISTENT,"Hard DOC constraint checked against current G1 native-pixel registry; raster check is diagnostic and does not redefine written dimension."
G2-P13-BIND,13,14,2.90,458.50,1.00,158.103,0.00,CONSISTENT,"Hard DOC constraint checked against current G1 native-pixel registry; raster check is diagnostic and does not redefine written dimension."
G2-LOW-X2,24,16,6.45,1020.46,2.50,158.211,0.07,CONSISTENT,"Hard DOC constraint checked against current G1 native-pixel registry; raster check is diagnostic and does not redefine written dimension."
G2-LOW-X3,15,7,4.65,742.13,2.93,159.598,0.95,CONSISTENT,"Hard DOC constraint checked against current G1 native-pixel registry; raster check is diagnostic and does not redefine written dimension."
G2-LOW-X4,16,8,4.65,736.85,3.28,158.462,0.23,CONSISTENT,"Hard DOC constraint checked against current G1 native-pixel registry; raster check is diagnostic and does not redefine written dimension."
