gate_id,support_id,component,check,status,evidence_status,confidence,source_basis,notes
IFL3-01,P13,U,"Construction fixed-line U component confirmed by same numbered support-point recurrence on G2/G3/G4",PASS,DOC+MIS,HIGH,"g2_g3_g4_internal_fixedline_recurrence_v1.csv","Supersedes v2 HOLD for P13 U. No centroid/mezzeria inference used."
IFL3-02,P13,V,"Construction fixed-line V component confirmed by same numbered support-point recurrence on G2/G3/G4",PASS,DOC+MIS,HIGH,"g2_g3_g4_internal_fixedline_recurrence_v1.csv","Supersedes v2 HOLD for P13 V. Face distances still require measurement."
IFL3-03,P20,U,"Construction fixed-line U component",PASS,DOC+MIS+RIF,HIGH,"v2 U qualification + g2_g3_g4_internal_fixedline_recurrence_v1.csv","Existing U PASS retained."
IFL3-04,P20,V,"Construction fixed-line V component confirmed by independent G2/G3/G4 recurrence",PASS,DOC+MIS+RIF,HIGH,"g2_g3_g4_internal_fixedline_recurrence_v1.csv","Supersedes v2 V HOLD. This does not select retained faces for the 30x50 -> 40x40 reshape."
IFL3-05,P22,U,"Construction fixed-line U component",PASS,DOC+MIS+RIF,HIGH,"v2 U qualification + g2_g3_g4_internal_fixedline_recurrence_v1.csv","Existing U PASS retained; U_NEG face-retention evidence remains valid."
IFL3-06,P22,V,"Construction fixed-line V component confirmed by independent G2/G3/G4 recurrence",PASS,DOC+MIS+RIF,HIGH,"g2_g3_g4_internal_fixedline_recurrence_v1.csv","Supersedes v2 V HOLD; V face offsets still require measurement."
IFL3-07,P26,U,"Construction fixed-line U component confirmed by same numbered support-point recurrence on G2/G3/G4",PASS,DOC+MIS,HIGH,"g2_g3_g4_internal_fixedline_recurrence_v1.csv","Supersedes v2 HOLD for P26 U."
IFL3-08,P26,V,"Construction fixed-line V component confirmed by same numbered support-point recurrence on G2/G3/G4",PASS,DOC+MIS,HIGH,"g2_g3_g4_internal_fixedline_recurrence_v1.csv","Supersedes v2 HOLD for P26 V."
IFL3-09,ALL,INTERNAL_FIXED_POINT_2D,"P13/P20/P22/P26 fixed-point identity fully qualified in 2D",PASS,DOC+MIS,HIGH,"TAV-03S/TAV-04S/TAV-05S + two independent sheet registrations","The remaining residual is section-face geometry around the fixed point, not fixed-point identity."
IFL3-10,ALL,FACE_OFFSETS,"Exact G3/G4 section-face distances from qualified fixed points",PENDING,MIS_REQUIRED,HIGH,"HiRes footprint measurement","Measure dU-/dU+/dV-/dV+ on G3/G4; preserve known P20/P22 U results; do not infer missing values."
IFL3-11,ALL,ETABS_EDILUS_RELEASE,"Full internal vertical geometry release",HOLD,DOC+MIS,HIGH,"IFL3-10","Release only after face offsets and affected beam attachments are verified."
