check_id,metric,expected,actual,status,severity,note
M1A-25X70-45-G01,current_g2_g3_g4_crosslinks_4_5,3,3,PASS,HARD,"G2-B004, G3-B004 and G4-B004 are frozen ordinary beams between supports 4 and 5."
M1A-25X70-45-G02,crosslinks_section_25x70_and_length_1_50,3,3,PASS,HARD,"All three members are DOC 25x70 and 1.5000 m in frozen M0-G connectivity."
M1A-25X70-45-G03,direct_armature_group_bindings,0,0,PASS,HARD,"T34-G01 and T5A-G01 draw only the paired longitudinal sequences 4-3-2-1 and 5-6-7-8; none binds the transverse 4-5 span."
M1A-25X70-45-G04,independent_lower_level_same_drafting_behavior,YES,YES,PASS,HARD,"TAV-02A T2A-G01 uses the same paired 4-3-2-1 / 5-6-7-8 representation and likewise does not absorb the G1 4-5 cross-link B-013 into that schedule."
M1A-25X70-45-G05,new_exact_bindings_from_longitudinal_scheme_transfer,0,0,PASS,HARD,"The paired longitudinal reinforcement scheme is not transferred to a transverse cross-link by topology or section analogy."
M1A-25X70-45-G06,numeric_reinforcement_status,ND,ND,PASS_WITH_WATCH,WATCH,"Longitudinal bars and stirrup arrangement for G2/G3/G4 4-5 remain unresolved."
M1A-25X70-45-G07,direct_group_source_covered_ordinary_beams,152,152,PASS,HARD,"Global direct ordinary-beam reinforcement coverage is now 152/232 after independent DOC recovery of TAV-06A T6A-G06; the 4-5 closure remains unchanged."
M1A-25X70-45-G08,effective_scheme_bound_ordinary_beams,155,155,PASS_WITH_WATCH,WATCH,"The broader beam-equivalence gate now contains 152 direct members plus the same three G4 INF_STRONG_DRAFTING_RULE companion spans."
M1A-25X70-45-G09,reopen_policy,NEW_EXPLICIT_PRIMARY_4_5_CROSSLINK_DETAIL_OR_EXACT_MEMBER_BINDING,NEW_EXPLICIT_PRIMARY_4_5_CROSSLINK_DETAIL_OR_EXACT_MEMBER_BINDING,PASS,HARD,"Do not repeat the current paired-run search and do not infer from the longitudinal G01 schemes."
M1A-25X70-45-GATE,gate_state,PASS_25X70_CROSSLINK_4_5_SOURCE_OMISSION_WITH_3_LEVEL_ND_WATCH,PASS_25X70_CROSSLINK_4_5_SOURCE_OMISSION_WITH_3_LEVEL_ND_WATCH,PASS_WITH_WATCH,GATE,"The recurring 25x70 4-5 cross-link front remains internally closed: three physical members, zero direct armature bindings, zero authorized transfers, all ND. Global beam coverage independently advanced through TAV-06A roof-source recovery."
