record_id,source,observation,value_m,evidence_state,structural_mapping,status,notes
UZ-001,TAV-06E,"ordinary clear-height module",3.00,DOC_ARCH_GEOMETRY,LOCAL_VERTICAL_CHAIN,VERIFIED,"Architectural section dimension; do not treat as structural floor-to-floor by itself."
UZ-002,TAV-06E,"inter-floor/slab vertical increment shown between ordinary clear-height modules",0.20,DOC_ARCH_GEOMETRY,LOCAL_VERTICAL_CHAIN,VERIFIED,"Together with 3.00 gives a 3.20 architectural module, consistent with already source-bound G1/G2/G3 increments but not sufficient to map G4."
UZ-003,TAV-06E,"upper reduced-level clear-height module",2.00,DOC_ARCH_GEOMETRY,UPPER_LOCAL_CHAIN,VERIFIED,"Measured in section above the upper floor datum."
UZ-004,TAV-06E,"upper roof/slab vertical increment",0.20,DOC_ARCH_GEOMETRY,UPPER_LOCAL_CHAIN,VERIFIED,"Architectural dimension chain gives 2.20 m to its documented upper reference; exact structural eave-axis reference is not proven identical."
UZ-005,HISTORICAL_FRAME_PHOTO+RIF,"roof eave relative height",2.40,DOC_RIF,ROOF_RELATIVE_PROFILE,VERIFIED_SEPARATE_REFERENCE,"Historical frame reading/user-confirmed value; do not overwrite TAV-06E 2.20 because datum/reference surfaces differ or remain unreconciled."
UZ-006,HISTORICAL_FRAME_PHOTO+RIF,"roof ridge relative height",3.40,DOC_RIF,ROOF_RELATIVE_PROFILE,VERIFIED_SEPARATE_REFERENCE,"Three ridges reported at same quota; exact axis/reference reconciliation remains required for assessment-grade global Z."
UZ-007,g1_g4_internal_vertical_model_seed_v1.csv,"G4/V-order absolute/relative global datum",ND,DOC+MIS+RIF,GLOBAL_LEVEL_DATUM,HOLD,"Recovery seed explicitly marks G4 Z HOLD_Z_ND and forbids extrapolation of 3.20 m to L4."
UZ-008,CROSSCHECK,"mapping TAV-06E upper-floor datum to structural G4/V_ORDER",ND,MIXED,LEVEL_CROSSWALK,HOLD_MAPPING,"Architectural vertical chain is real, but structural level-name equivalence is not yet source-bound."
UZ-009,ANALYTICAL_POLICY,"roof-local numerical datum",0.00,ANALYSIS_SCENARIO,LOCAL_ROOF_SUBMODEL,READY_SCENARIO,"For solver smoke only: set V_ORDER local datum to z=0 and use only relative roof geometry. This is not a canonical building elevation and must never be promoted to assessment-grade Z."
UZ-GATE,ALL,"global upper-Z release",ND,MIXED,GLOBAL_MODEL,BLOCKED_NONBLOCKING,"Global numeric model remains blocked on Z-V-ORDER. Roof-local numerical submodel is authorized with explicit local datum and source-tracked relative heights."
