analytical_column_id,axis_ref,support_id,section_cm,source,geometry_status,section_status,vertical_status,fem_status,notes
AC-G5-001,AX-P02,P02,40x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,"Material properties remain a separate model input."
AC-G5-002,AX-P03,P03,40x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,""
AC-G5-003,AX-P04,P04,40x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,""
AC-G5-004,AX-P05,P05,40x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,""
AC-G5-005,AX-P06,P06,40x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,""
AC-G5-006,AX-P07,P07,40x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,""
AC-G5-007,AX-P10,P10,30x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,"Ridge-support axis WING-A."
AC-G5-008,AX-P11,P11,30x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,"Ridge-support axis WING-A."
AC-G5-009,AX-P12,P12,30x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,"Ridge-support axis WING-A."
AC-G5-010,AX-P13,P13,30x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,"Ridge-support axis WING-B."
AC-G5-011,AX-P14,P14,30x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,"Ridge-support axis WING-B."
AC-G5-012,AX-P15,P15,30x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,"Ridge-support axis WING-B."
AC-G5-013,AX-P18,P18,30x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,""
AC-G5-014,AX-P19,P19,40x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,""
AC-G5-015,AX-P20,P20,40x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,""
AC-G5-016,AX-P22,P22,40x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,"Distinct from P22P."
AC-G5-017,AX-P22P,P22P,40x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,"Support 22 prime retained as independent axis."
AC-G5-018,AX-P23,P23,30x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,""
AC-G5-019,AX-P24,P24,40x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,""
AC-G5-020,AX-P25,P25,40x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,"WING-C eave-support axis."
AC-G5-021,AX-P26,P26,30x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,"WING-C ridge-support axis."
AC-G5-022,AX-P27,P27,40x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,"WING-C opposite eave-support axis."
AC-G5-023,AX-P28,P28,40x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,"WING-C eave-support axis."
AC-G5-024,AX-P29,P29,30x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,"WING-C ridge-support axis."
AC-G5-025,AX-P30,P30,30x40,TAV-07A+TAV-06S,READY,READY,CONTINUES_TO_ROOF,GEOMETRY_SECTION_READY,"WING-C opposite eave-support axis."
AC-G5-X01,AX-P21,P21,30x40,TAV-07A+TAV-06S,READY,READY,TERMINATES_BEFORE_ROOF_SUPPORT_SET,DO_NOT_EXTRUDE,"Unique V-order-present / TAV-06S-absent case; retained only as termination evidence, not as a G5 roof-support column."
AC-G5-GATE,NA,ALL,NA,"ETW_G5_ROOF_SUPPORT_COLUMN_SECTION_RELEASE_v1.csv",READY,READY,"25 CONTINUE + P21 TERMINATION",PARTIAL_FEM_READY,"All numbered G5 roof-support columns are analytically releasable once Z/material conventions are supplied."
