source_column_id,work_raster_ref,center_u_px,center_v_px,section_cm,orientation_status,coordinate_status,canonical_p_id_status,evidence_state,notes
1,TAV02S_PT_WORK_1462x1087,153.5,138.5,40x50,LONG_Y,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Overlay visually aligned to numbered source footprint."
2,TAV02S_PT_WORK_1462x1087,341.0,136.0,50x40,LONG_X,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Overlay visually aligned to numbered source footprint."
3,TAV02S_PT_WORK_1462x1087,545.5,136.0,50x40,LONG_X,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Overlay visually aligned to numbered source footprint."
4,TAV02S_PT_WORK_1462x1087,687.0,137.0,40x50,LONG_Y,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Overlay visually aligned to numbered source footprint."
5,TAV02S_PT_WORK_1462x1087,687.0,214.0,40x50,LONG_Y,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Local offset preserved; not regularized onto row 1-4."
6,TAV02S_PT_WORK_1462x1087,866.5,215.0,50x40,LONG_X,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Overlay visually aligned to numbered source footprint."
7,TAV02S_PT_WORK_1462x1087,1074.0,214.0,50x40,LONG_X,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Overlay visually aligned to numbered source footprint."
8,TAV02S_PT_WORK_1462x1087,1260.0,215.0,40x50,LONG_Y,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Overlay visually aligned to numbered source footprint."
9,TAV02S_PT_WORK_1462x1087,156.0,357.5,40x50,LONG_Y,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Overlay visually aligned to numbered source footprint."
10,TAV02S_PT_WORK_1462x1087,340.5,358.0,50x40,LONG_X,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Overlay visually aligned to numbered source footprint."
11,TAV02S_PT_WORK_1462x1087,545.0,358.0,50x40,LONG_X,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Overlay visually aligned to numbered source footprint."
12,TAV02S_PT_WORK_1462x1087,669.0,358.0,40x50,LONG_Y,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Irregular local geometry preserved."
13,TAV02S_PT_WORK_1462x1087,748.5,400.0,50x40,LONG_X,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Irregular local geometry preserved."
14,TAV02S_PT_WORK_1462x1087,866.5,400.0,50x40,LONG_X,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Overlay visually aligned to numbered source footprint."
15,TAV02S_PT_WORK_1462x1087,1075.0,399.0,50x40,LONG_X,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Overlay visually aligned to numbered source footprint."
16,TAV02S_PT_WORK_1462x1087,1261.0,400.0,40x50,LONG_Y,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Overlay visually aligned to numbered source footprint."
17,TAV02S_PT_WORK_1462x1087,153.0,571.0,40x50,LONG_Y,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Overlay visually aligned to numbered source footprint."
18,TAV02S_PT_WORK_1462x1087,340.0,562.0,30x110,LONG_Y,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Elongated vertical source footprint preserved."
19,TAV02S_PT_WORK_1462x1087,440.5,551.5,40x50,LONG_Y,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Central irregular cluster; overlay checked locally."
20,TAV02S_PT_WORK_1462x1087,454.5,551.5,50x40,LONG_X,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Central irregular cluster; adjacent to 19 and kept distinct."
21,TAV02S_PT_WORK_1462x1087,841.5,627.0,40x50,LONG_Y,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Central irregular cluster; overlay checked locally."
22,TAV02S_PT_WORK_1462x1087,866.5,627.0,50x40,LONG_X,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Central irregular cluster; adjacent to 21 and kept distinct."
23,TAV02S_PT_WORK_1462x1087,918.0,629.0,30x110,LONG_Y,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Elongated vertical source footprint preserved."
24,TAV02S_PT_WORK_1462x1087,1072.5,633.0,40x50,LONG_Y,MIS_RASTER_PRELIMINARY,DO_NOT_ASSIGN,DOC_NATIVE+MIS,"Overlay visually aligned to numbered source footprint."
GATE,TAV02S_PT_WORK_1462x1087,,,,,24_OF_33_COORDS_PRELIMINARY,NO_P_MAPPING_YET,RULE_IN_PROGRESS,"Coordinates are visual/raster working measurements only. Columns 25-33 remain pending before any canonical plan-coordinate release."
