support_id,upper_state,wing,frame_binding,persistent_chain_id,binding_status,evidence_state,topology_status,next_required_evidence,notes
P17,TERMINATES_BELOW_ROOF,WING-B,"Telaio5 S",ND,FRAME_BOUND_CHAIN_PENDING,DOC+MIS+RIF,VERIFIED_FRAME_PATH,"P17/S -> one column_chain_id using calibrated 2D fixed-line + surrounding topology","Termination is physically resolved at P-level and historic-frame level; do not invent N-ID."
P21,TERMINATES_BELOW_ROOF,WING-C,"Telaio5 V",ND,FRAME_BOUND_CHAIN_PENDING,DOC+MIS+RIF,VERIFIED_FRAME_PATH,"P21/V -> one column_chain_id using calibrated 2D fixed-line + surrounding topology","Same rule."
P18,CONTINUES_TO_ROOF,NA,"Telaio5 S'",ND,FRAME_BOUND_CHAIN_PENDING,DOC+MIS+RIF,VERIFIED_FRAME_PATH,"2D persistent-chain binding","Wide support; fixed line must not be replaced by centroid."
P19,CONTINUES_TO_ROOF,NA,"Telaio5 T",ND,FRAME_BOUND_CHAIN_PENDING,DOC+MIS+RIF,VERIFIED_FRAME_PATH,"2D persistent-chain binding",""
P20,CONTINUES_TO_ROOF,NA,"Telaio5 U",ND,FRAME_BOUND_CHAIN_PENDING,DOC+MIS+RIF,VERIFIED_FRAME_PATH,"2D persistent-chain binding","Section reshapes G3->G4; identity is still same frame line."
P22,CONTINUES_TO_ROOF,NA,"Telaio5 Z",ND,FRAME_BOUND_CHAIN_PENDING,DOC+MIS+RIF,VERIFIED_FRAME_PATH,"2D persistent-chain binding",""
P22P,CONTINUES_TO_ROOF,NA,"Telaio5 A'",ND,FRAME_BOUND_CHAIN_PENDING,DOC+MIS+RIF,VERIFIED_FRAME_PATH,"2D persistent-chain binding","P22P remains distinct from P22."
P23,CONTINUES_TO_ROOF,NA,"Telaio5 B'",ND,FRAME_BOUND_CHAIN_PENDING,DOC+MIS+RIF,VERIFIED_FRAME_PATH,"2D persistent-chain binding","Wide support."
P24,CONTINUES_TO_ROOF,NA,"Telaio5 C'",ND,FRAME_BOUND_CHAIN_PENDING,DOC+MIS+RIF,VERIFIED_FRAME_PATH,"2D persistent-chain binding",""
P01,TERMINATES_BELOW_ROOF,WING-B,ND,ND,P_SUPPORT_RESOLVED_CHAIN_PENDING,DOC_RASTER+DOC_TOPOLOGY+RIF_RULE,VERIFIED_P_TOPOLOGY,"calibrated P01 position -> column_fixed_lines candidate + topology","No frame-letter binding currently recovered."
P08,TERMINATES_BELOW_ROOF,WING-C,ND,ND,P_SUPPORT_RESOLVED_CHAIN_PENDING,DOC_RASTER+DOC_TOPOLOGY+RIF_RULE,VERIFIED_P_TOPOLOGY,"calibrated P08 position -> column_fixed_lines candidate + topology",""
P09,TERMINATES_BELOW_ROOF,WING-B,ND,ND,P_SUPPORT_RESOLVED_CHAIN_PENDING,DOC_RASTER+DOC_TOPOLOGY+RIF_RULE,VERIFIED_P_TOPOLOGY,"calibrated P09 position -> column_fixed_lines candidate + topology",""
P16,TERMINATES_BELOW_ROOF,WING-C,ND,ND,P_SUPPORT_RESOLVED_CHAIN_PENDING,DOC_RASTER+DOC_TOPOLOGY+RIF_RULE,VERIFIED_P_TOPOLOGY,"calibrated P16 position -> column_fixed_lines candidate + topology",""
P31,TERMINATES_BELOW_ROOF,WING-A,ND,ND,P_SUPPORT_RESOLVED_CHAIN_PENDING,DOC_RASTER+DOC_TOPOLOGY+RIF_RULE,VERIFIED_TERMINAL_SUBGRAPH,"calibrated P31 position -> column_fixed_lines candidate + topology","Terminal branch attaches through P31-P28."
P32,TERMINATES_BELOW_ROOF,WING-A,ND,ND,P_SUPPORT_RESOLVED_CHAIN_PENDING,DOC_RASTER+DOC_TOPOLOGY+RIF_RULE,VERIFIED_TERMINAL_SUBGRAPH,"calibrated P32 position -> column_fixed_lines candidate + topology","Terminal branch attaches through P32-P29."
P33,TERMINATES_BELOW_ROOF,WING-A,ND,ND,P_SUPPORT_RESOLVED_CHAIN_PENDING,DOC_RASTER+DOC_TOPOLOGY+RIF_RULE,VERIFIED_TERMINAL_SUBGRAPH,"calibrated P33 position -> column_fixed_lines candidate + topology","Terminal branch attaches through P33-P30."
