check_id,metric,expected,actual,status,severity,note
M1F-SEC-001,documented_section_families,2,2,PASS,HARD,"FND-SEC-A and FND-SEC-B are both dimensioned directly on TAV-01A."
M1F-SEC-002,FND_SEC_A_geometry,"45/90/90 + 120x20","45/90/90 + 120x20",PASS,HARD,"Top width / bottom width / rib height plus base slab width x thickness, cm. Overall depth 110 cm."
M1F-SEC-003,FND_SEC_B_geometry,"35/70/70 + 100x20","35/70/70 + 100x20",PASS,HARD,"Top width / bottom width / rib height plus base slab width x thickness, cm. Overall depth 90 cm."
M1F-SEC-004,section_stirrups,"phi10/15","phi10/15",PASS,HARD,"Both section sketches directly write staffe phi10/15."
M1F-SEC-005,foundation_members_current,58,58,PASS,HARD,"Uses M1F_FOUNDATION_TOPOLOGY_CURRENT_v1 as immutable M1-F topology authority for this gate."
M1F-SEC-006,members_with_direct_exact_section_family,32,32,PASS,INFO,"Exact FND-SEC-A/B family is already directly bound for 32 members by TAV-01A/TAV-01S cross-source mapping."
M1F-SEC-007,members_with_supported_exact_section_family,1,1,PASS_WITH_WATCH,WATCH,"FND-B053 22'-27 carries FND-SEC-A_SUPPORTED because TAV-01A schematic 22-27 is transformed through the distinct 22' support."
M1F-SEC-008,members_with_section_extent_or_transition_watch,10,10,PASS_WITH_WATCH,WATCH,"Ten members are topologically and armature-group bound but the exact A/B family extent or transition is not yet frozen."
M1F-SEC-009,members_with_open_section_binding,15,15,PASS_WITH_WATCH,WATCH,"Fifteen carpenteria-only members remain ND for exact section/longitudinal armature unless another direct detail can be bound; no analogy promotion is allowed."
M1F-SEC-GATE,gate_state,PASS_SECTION_CATALOG_WITH_BINDING_WATCH,PASS_SECTION_CATALOG_WITH_BINDING_WATCH,PASS_WITH_WATCH,GATE,"Section family geometry is now documentary and usable wherever family binding is exact. M1-F remains open for 10 transition/extent watches and 15 open section bindings, plus longitudinal reinforcement completion."
