task_id,domain,priority,target_parameters,minimum_action,acceptance_output,epistemic_result,blocking_scope,notes
FI-001,LEVELS,P0,"Z-V-ORDER;Z-UPPER-SYMBOLIC-NODES","establish one unambiguous structural level crosswalk between known G3 datum and V_ORDER/upper-floor datum using documentary section plus direct level measurement or equivalent reliable survey","versioned level table with datum definition and measured vertical differences; explicit mapping to structural G4/V_ORDER terminology",MIS/DOC_RECONCILED,GLOBAL_NUMERIC_Z,"Do not infer 3.20 m to G4. Preserve distinction between architectural finished surfaces and structural axes."
FI-002,ROOF_LEVELS,P0,"Z-UPPER-SYMBOLIC-NODES","measure/check structural-axis relative heights at representative eave and ridge locations for each of the three roof fields","per-field eave/ridge structural-axis Z relative to V_ORDER datum with measurement uncertainty",MIS,ROOF_NUMERIC_Z,"Historical 2.4/3.4 m values remain scenario/reference until axis-to-axis measurement is reconciled."
FI-003,FOUNDATION_GEOTECH,P0,BC-FOUNDATION,"recover existing geotechnical report if available; otherwise obtain engineering geotechnical characterization sufficient to select a documented analytical boundary model","versioned foundation-boundary decision: fixed/spring/other with parameters, provenance and sensitivity range",DOC_OR_MIS_ENGINEERING,GLOBAL_BOUNDARY,"No fixed-base default. Foundation geometry already exists separately; this task addresses soil-structure boundary behavior."
FI-004,CONCRETE,P0,MAT-CONC-E,"qualified material characterization campaign; use existing sclerometer only as part of an evidence-controlled programme and calibrate/augment as required by the responsible engineer/lab","accepted concrete mechanical parameter set with test locations, statistics, uncertainty and mapping to structural zones",MIS_ENGINEERING,GLOBAL_MATERIAL,"Do not derive canonical E from an uncalibrated sclerometer reading alone."
FI-005,STEEL,P1,MAT-STEEL-E,"recover original steel specification/certificates if available or perform engineering identification/testing as required","steel elastic/material parameter set with source and confidence",DOC_OR_MIS_ENGINEERING,GLOBAL_MATERIAL,"Scenario E may be used for sensitivity only, not canonical promotion."
FI-006,TERRACE,P0,SECTION-ETW-FLT-E03,"measure J1-J2 member section in current state and document distal support J2 plus any visible connection/support geometry","section b×h; photographs/measurements of J2 support condition; update local terrace subgraph",MIS,TERRACE_LOCAL,"Receiver P08-P16 and J1 station are already source-bound; do not re-open them."
FI-007,ROOF_SECTIONS,P1,"SECTION-AG5-004;SECTION-AG5-005;SECTION-AG5-020;SECTION-AG5-021;SECTION-AG5-024;SECTION-AG5-025;SECTION-AG5-026","directly measure or obtain new documentary evidence for the seven priority ridge/eave members","member-by-member b×h with endpoint identity and evidence photo/document reference",MIS_OR_NEW_DOC,ROOF_SECTION_CORE,"No family inheritance unless equality is independently demonstrated."
FI-008,ROOF_SECTIONS,P2,"SECTION-AG5-007;SECTION-AG5-008;SECTION-AG5-011;SECTION-AG5-016;SECTION-AG5-019;SECTION-AG5-022;SECTION-AG5-023;SECTION-AG5-027;SECTION-AG5-028","directly measure or obtain new documentary evidence for remaining nine roof members","member-by-member b×h with endpoint identity and evidence reference",MIS_OR_NEW_DOC,ROOF_SECTION_SECONDARY,"Current TAV-06A and v25 documentary sources are exhausted for these sections."
FI-009,VALIDATION,P0,ALL,"after FI-001/FI-003/FI-004/FI-006 and selected scenario/field closure of roof sections, regenerate M0 package and run solver preflight before any engineering analysis","numeric preflight PASS plus explicit list of any remaining scenario-only parameters",VER,NUMERIC_GATE,"Assessment-grade analysis additionally requires engineering acceptance of evidence and modelling choices; numeric completeness alone is insufficient."
FI-GATE,ALL,P0,ALL,"execute by evidence priority rather than by file order","each completed task updates M0_NUMERIC_UNLOCK_MATRIX_v1.csv and the relevant canonical dataset before solver regeneration",CONTROLLED,WORKFLOW,"Residuals remain nonblocking outside their dependent outputs."
