priority,scan_group,entity_id,x_global_m,y_global_m,coordinate_status,current_section_status,target_action,evidence_required,note
1,RIGHT_MAIN_CHAIN,1,18.00,0.00,DOC_GLOBAL,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,process with nodes 2-4 and 6-8 in one vertical scan
1,RIGHT_MAIN_CHAIN,2,18.00,4.70,DOC_GLOBAL,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,same chain
1,RIGHT_MAIN_CHAIN,3,18.00,9.80,DOC_GLOBAL,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,same chain
1,RIGHT_MAIN_CHAIN,4,18.00,13.95,DOC_GLOBAL,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,same chain
1,RIGHT_MAIN_CHAIN,6,18.00,18.10,DOC_GLOBAL,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,same chain
1,RIGHT_MAIN_CHAIN,7,18.00,23.43,DOC_GLOBAL,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,same chain
1,RIGHT_MAIN_CHAIN,8,18.00,28.13,DOC_GLOBAL,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,same chain
2,RIGHT_OFFSET,5,16.10,13.95,DOC_GLOBAL_OFFSET,PENDING_DIRECT_MATCH,READ_SECTION_AND_OFFSET,TAV-02S symbol/quote + TAV.7 I ordine,also verify relation to node 4 and section orientation
3,UPPER_CENTRAL_X1240,9,12.40,0.00,DOC_GLOBAL,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,process 9-12 in one vertical scan
3,UPPER_CENTRAL_X1240,10,12.40,4.70,DOC_GLOBAL_ALIGN,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,same chain
3,UPPER_CENTRAL_X1240,11,12.40,9.80,DOC_GLOBAL_ALIGN,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,same chain
3,UPPER_CENTRAL_X1240,12,12.40,13.95,DOC_GLOBAL_ALIGN,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,same chain
4,LOWER_RIGHT_X1335,14,13.35,18.10,DOC_GLOBAL,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,process 14-16 in one vertical scan
4,LOWER_RIGHT_X1335,15,13.35,23.43,DOC_GLOBAL_ALIGN,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,cross-tie with node 23 already documented
4,LOWER_RIGHT_X1335,16,13.35,28.13,DOC_GLOBAL_ALIGN,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,bottom relation to node 24 and node 8 useful as check only
5,LEFT_X690,17,6.90,0.00,DOC_GLOBAL,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,process with 18 21 22 24; node 23 already current
5,LEFT_X690,18,6.90,4.70,DOC_GLOBAL_ALIGN,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,same chain
5,LEFT_X690,21,6.90,12.23,DOC_GLOBAL,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,left sector F3/R1
5,LEFT_X690,22,6.90,18.48,DOC_GLOBAL,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,left sector F3/R2
5,LEFT_X690,24,6.90,28.13,DOC_GLOBAL,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,left sector F3/R4
6,LEFT_X480,25,4.80,12.23,DOC_GLOBAL,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,process 25-27 in one vertical scan
6,LEFT_X480,26,4.80,18.48,DOC_GLOBAL,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,same chain
6,LEFT_X480,27,4.80,23.43,DOC_GLOBAL,PENDING_DIRECT_MATCH,READ_SECTION_DIRECT,TAV-02S symbol/quote + TAV.7 I ordine,same chain
7,GEOMETRY_RESIDUAL,13,,,ND_COORD,PENDING_DIRECT_MATCH,READ_SECTION_INDEPENDENTLY,TAV-02S symbol/quote + TAV.7 I ordine,section may be resolved before coordinate; do not interpolate coordinate
7,GEOMETRY_RESIDUAL,19,,,CONFLICT_REOPENED,PENDING_DIRECT_MATCH,READ_SECTION_AND_COORD,TAV-02S direct reread + TAV.7 I ordine,previous coordinate superseded
7,GEOMETRY_RESIDUAL,20,,,CONFLICT_REOPENED,PENDING_DIRECT_MATCH,READ_SECTION_AND_COORD,TAV-02S direct reread + TAV.7 I ordine,previous coordinate superseded
8,TERRACE_ADDITION,a,,,DOC_ID_ONLY,OUTSIDE_ORIGINAL_I_ORDER_ASSIGNMENT,READ_AS_BUILT_GEOMETRY,TAV-02S direct symbol/quote,do not force TAV.7 original-calculation assignment
8,TERRACE_ADDITION,b,,,DOC_ID_ONLY,OUTSIDE_ORIGINAL_I_ORDER_ASSIGNMENT,READ_AS_BUILT_GEOMETRY,TAV-02S direct symbol/quote,do not force TAV.7 original-calculation assignment
8,TERRACE_ADDITION,c,,,DOC_ID_ONLY,OUTSIDE_ORIGINAL_I_ORDER_ASSIGNMENT,READ_AS_BUILT_GEOMETRY,TAV-02S direct symbol/quote,do not force TAV.7 original-calculation assignment
8,TERRACE_ADDITION,d,,,DOC_ID_ONLY,OUTSIDE_ORIGINAL_I_ORDER_ASSIGNMENT,READ_AS_BUILT_GEOMETRY,TAV-02S direct symbol/quote,do not force TAV.7 original-calculation assignment
