residual_id,analytical_id,member,role,current_section_status,known_source_evidence,prohibited_shortcut,next_required_discriminator,blocking_scope,status,notes
G5-SR-001,AG5-004,P10-P11,RIDGE_BEAM,ND,"TAV-06S+TAV-06A topology; WING-A ridge bound",NO_20x45_TRANSFER_FROM_HIST_T5_G5,"pointwise longitudinal ridge section callout or recovered TAV6 beam abacus",LOCAL_STIFFNESS,OPEN,"Historical T5 G5 20x45 belongs to a level/path including P21 and is not transferable."
G5-SR-002,AG5-005,P11-P12,RIDGE_BEAM,ND,"TAV-06S+TAV-06A topology; WING-A ridge bound",NO_20x45_TRANSFER_FROM_HIST_T5_G5,"pointwise longitudinal ridge section callout or recovered TAV6 beam abacus",LOCAL_STIFFNESS,OPEN,"Same ridge system as G5-SR-001; do not propagate 30x50 from adjacent pitched members."
G5-SR-003,AG5-007,P12-P19,ROOF_FRAME_MEMBER,ND,"TAV-06S native HiRes topology",NO_ANALOGY_FROM_P11-P20_OR_P10-P18,"direct TAV-06A/TAV-06S member-specific section evidence",LOCAL_STIFFNESS,OPEN,"Geometry is verified; section is not."
G5-SR-004,AG5-008,P18-P19,SUPPORT_LINE,ND,"TAV-06S topology",NO_20x45_TRANSFER_FROM_T5_G5_C2,"roof-level member-specific source bridge",LOCAL_STIFFNESS,OPEN,"P18-P19 is also a historical T5 span at another semantic level; same P endpoints do not prove same physical beam/section."
G5-SR-005,AG5-011,P05-P13,SUPPORT_LINE,ND,"TAV-06S topology",NO_NEAREST_DETAIL_BINDING,"direct section/detail identity or recovered TAV6 abacus",LOCAL_STIFFNESS,OPEN,"No pointwise armature-detail match yet."
G5-SR-006,AG5-016,P13-P24,SUPPORT_LINE,ND,"TAV-06S topology",NO_NEAREST_DETAIL_BINDING,"direct section/detail identity or recovered TAV6 abacus",LOCAL_STIFFNESS,OPEN,"Role is source-bound; section remains local residual."
G5-SR-007,AG5-019,P24-P22,SUPPORT_LINE,ND,"TAV-06S topology; possible eave extension not promoted",NO_EAVE_SECTION_PROPAGATION,"member role clarification plus pointwise section",LOCAL_ROLE_AND_STIFFNESS,OPEN,"Keep separate from P22-P22P-P23 eave beam."
G5-SR-008,AG5-020,P22-P22P,EAVE_BEAM,ND,"TAV-06S+TAV-06A eave endpoint reconciliation",NO_20x45_TRANSFER_FROM_HIST_T5_G5,"pointwise eave-beam section/detail or recovered TAV6 abacus",LOCAL_STIFFNESS,OPEN,"P22-P22P is a known 1.20 m historical frame span at another level; cross-level transfer prohibited."
G5-SR-009,AG5-021,P22P-P23,EAVE_BEAM,ND,"TAV-06S+TAV-06A eave endpoint reconciliation",NO_20x45_TRANSFER_FROM_HIST_T5_G5,"pointwise eave-beam section/detail or recovered TAV6 abacus",LOCAL_STIFFNESS,OPEN,"P22P-P23 aligns with a historical frame span but level identity is not interchangeable."
G5-SR-010,AG5-022,P25-P26,ROOF_FRAME_MEMBER,ND,"TAV-06A B05 support path verified",NO_SECTION_PROPAGATION_FROM_UPPER_PITCHED_GROUPS,"local detail-boundary proof associating a section symbol to B05",LOCAL_STIFFNESS,OPEN,"Support path is DOC; section callout not yet tied."
G5-SR-011,AG5-023,P26-P27,ROOF_FRAME_MEMBER,ND,"TAV-06A B05 support path verified",NO_SECTION_PROPAGATION_FROM_UPPER_PITCHED_GROUPS,"local detail-boundary proof associating a section symbol to B05",LOCAL_STIFFNESS,OPEN,"Same B05 pitched frame."
G5-SR-012,AG5-024,P25-P28,EAVE_BEAM,ND,"TAV-06S+TAV-06A eave endpoints source-bound",NO_SECTION_FROM_TRANSVERSE_B05_B06,"longitudinal eave detail or recovered TAV6 abacus",LOCAL_STIFFNESS,OPEN,"Transverse pitched-frame detail cannot define longitudinal eave section."
G5-SR-013,AG5-025,P26-P29,RIDGE_BEAM,ND,"TAV-06S LINEA DI COLMO + TAV-06A ridge-support identities",NO_SECTION_FROM_TRANSVERSE_B05_B06,"longitudinal ridge detail or recovered TAV6 abacus",LOCAL_STIFFNESS,OPEN,"Topology closed, section-only residual."
G5-SR-014,AG5-026,P27-P30,EAVE_BEAM,ND,"TAV-06S+TAV-06A eave endpoints source-bound",NO_SECTION_FROM_TRANSVERSE_B05_B06,"longitudinal eave detail or recovered TAV6 abacus",LOCAL_STIFFNESS,OPEN,"Topology closed, section-only residual."
G5-SR-015,AG5-027,P28-P29,ROOF_FRAME_MEMBER,ND,"TAV-06A B06 support path verified",NO_SECTION_PROPAGATION_FROM_UPPER_PITCHED_GROUPS,"local detail-boundary proof associating a section symbol to B06",LOCAL_STIFFNESS,OPEN,"Support path is DOC; section callout not yet tied."
G5-SR-016,AG5-028,P29-P30,ROOF_FRAME_MEMBER,ND,"TAV-06A B06 support path verified",NO_SECTION_PROPAGATION_FROM_UPPER_PITCHED_GROUPS,"local detail-boundary proof associating a section symbol to B06",LOCAL_STIFFNESS,OPEN,"Same B06 pitched frame."
G5-SR-GATE,NA,ALL_16,SECTION_RESIDUAL_SET,"16/31 beam sections ND","TAV-06S/TAV-06A topology and current pointwise section release",NO_CROSS_LEVEL_OR_NEAREST_NEIGHBOR_FILL,"recover/locate pointwise section evidence",NONBLOCKING_GLOBAL,CONTROLLED_RESIDUAL,"31/31 topology remains usable; 15/31 beam sections and 25/25 roof-support column sections are released."
