milestone_id,phase,title,depends_on,status,goal,required_deliverables,acceptance_gate,reference_case,next_on_pass
CEW-F0,FOUNDATION,System constitution and machine contract,,COMPLETE,"Freeze CEW authority model, core domains, promotion boundary and milestone governance.","CEW_SYSTEM_FOUNDATION_v1.md;CEW_SYSTEM_FOUNDATION_CONTRACT_v1.json;CEW_SYSTEM_MILESTONES_v1.csv;foundation validator;CI gate","FOUNDATION_CONTRACT_PASS","N12 existing canonical gates and ERW contracts remain semantically valid","CEW-F1"
CEW-F1,SOURCE_FOUNDATION,Immutable source identity and storage,CEW-F0,COMPLETE,"Create reproducible identity and storage semantics for every primary source and derived asset.","Source/SourceVersion schema;content-addressed locator contract;hash/version policy;source registry adapter;derived-asset authority rules","SOURCE_IDENTITY_PASS","TAV-05A and TAV-06A resolve to immutable source identities without ad-hoc crop authority","CEW-F2"
CEW-F2,EVIDENCE_FOUNDATION,Page region observation provenance model,CEW-F1,COMPLETE,"Represent exact source regions and literal observations independently from interpretation.","Page model;PageTransform registry;EvidenceRegion schema;coordinate-system contract;Observation schema;provenance chain;reproducibility validator","EVIDENCE_PROVENANCE_PASS","G01-R06 G07-R07 G05-R04 and T6A-G03 reconstruct reproducibly from immutable SourceVersion to exact region and finalized Observation","CEW-F3"
CEW-F3,VIEWER_VERTICAL_SLICE,Deep source navigation vertical slice,"CEW-F1;CEW-F2",COMPLETE,"Prove mature source navigation without changing structural authority.","deep-zoom viewer;tile pyramid;native coordinates;permalink/view state;original/enhanced separation;source readiness gate","SOURCE_VIEWER_PASS","ERW-N12-001..004 open at reproducible evidence context from TAV-05A/TAV-06A without changing F2 geometry","CEW-F4"
CEW-F4,AI_OBSERVATION,Bounded AI technical observation pipeline,CEW-F2,COMPLETE,"Allow specialist AI workers to create auditable observations and candidates without canonical writes.","EvidencePack contract;worker output envelope;method+ceiling metadata;initial layout/text/reinforcement worker adapters;AI no-direct-promotion validator","AI_OBSERVATION_PASS","Four answer-blind N12 EvidencePacks validate; unreadable fields remain unsupported; authority violations are rejected; T6A-G03 remains UNBOUND","CEW-F5"
CEW-F5,KNOWLEDGE_GRAPH,Structural knowledge and binding graph,"CEW-F2;CEW-F4",COMPLETE,"Represent structural entities properties claims bindings temporal states and per-property epistemic authority.","StructuralEntity/Property/Assertion/Binding schemas;temporal state model;drawing-rule objects;CSV projection adapters;graph validators","KNOWLEDGE_GRAPH_PASS","Existing N12 M0-G/M1A/M1L facts can be projected into the graph without authority loss or geometry reopen","CEW-F6"
CEW-F6,ERW_PRODUCT,Evidence Resolution Workspace end-to-end,"CEW-F3;CEW-F5",COMPLETE,"Give a technician source+model context, issue sequence, candidate comparison and explicit dispositions.","2D/3D synchronized workspace;task queue;known/unknown/conflict panels;candidate toggles;review views;decision receipts","ERW_E2E_PASS","M1E-B06-R11 can be reviewed and dispositioned UNBOUND reproducibly without opening CSV/GitHub","CEW-F7"
CEW-F7,PROMOTION_ORCHESTRATION,Validation promotion and residual orchestration,"CEW-F5;CEW-F6",IN_PROGRESS,"Turn observations and decisions into deterministic canonical promotions or retained residuals.","promotion engine;epistemic ceiling enforcement;dependency graph;residual prioritization;reopen protocol integration;canonical snapshot receipts","PROMOTION_ENGINE_PASS","A valid N12 decision updates only its allowed canonical projection and reruns relevant gate; invalid promotion is rejected","CEW-F8"
CEW-F8,CALCULATION_REPORTING,Calculation handoff and fascicolo,CEW-F7,PLANNED,"Generate explicit assessment-model inputs, assumptions, coverage, exports and audit-ready reporting.","AnalysisAssumption schema;CalculationHandoff package;coverage report;export adapters;fascicolo provenance report","CALCULATION_HANDOFF_PASS","N12 handoff states known inputs assumptions blockers and provenance without using FEM results as documentary evidence","CEW-M1"
CEW-M1,PRODUCT_MVP,Reference-project usable MVP,"CEW-F0;CEW-F1;CEW-F2;CEW-F3;CEW-F4;CEW-F5;CEW-F6;CEW-F7;CEW-F8",PLANNED,"Prove CEW as one coherent evidence-to-assessment workflow on N12.","control room;global search;entity evidence drill-down;end-to-end task continuation;canonical snapshots;operator documentation","N12_REFERENCE_MVP_PASS","A technician unfamiliar with repository internals can ingest/navigate/review/resolve/hand off selected N12 scope without editing canonical CSV files","CEW-M2"
CEW-M2,GENERALIZATION,Second-project portability,CEW-M1,PLANNED,"Demonstrate that CEW is a reusable system rather than N12-specific automation.","project bootstrap;source taxonomy configuration;drawing grammar isolation;portable validators;second-project acceptance pack","SECOND_PROJECT_PASS","A second existing-building project runs the foundation workflow without N12 hard-coded identifiers","PRODUCT_BETA"
