component_id,model_scope,source_dataset,selector,import_mode,release_class,z_policy,parameter_policy,exclusion_policy,validation_gate,notes
M0-C001,G2_G3_VERTICALS,ETW2_G2_G3_SOURCE_BOUND_CHAIN_BRIDGE_v1.csv,"bridge_id in {G23-BRIDGE-P13;G23-BRIDGE-P20;G23-BRIDGE-P22;G23-BRIDGE-P26}",IMPORT_ELEMENTS,READY,USE_NUMERIC_SOURCE_Z,NONE,NONE,FRAME_WELL_FORMEDNESS_GATE,"Four source-bound persistent verticals."
M0-C002,G2_G3_DIFFERENTIAL_RESIDUALS,ETW2_G2_G3_SOURCE_BOUND_CHAIN_BRIDGE_v1.csv,"bridge_id starts G23-CAND-",IMPORT_RESIDUALS_ONLY,BLOCKED_LOCAL,NO_ELEMENT_Z,NONE,NO_ELEMENT_GENERATION,ETW2_G2_G3_WELL_FORMEDNESS_v1,"Preserve candidates for later binding; never merge with released verticals."
M0-C003,G4_G5_TERMINATION_AXES,ETW_G4_G5_P_AXIS_RELEASE_CORE_v1.csv,"roof_state=TERMINATES_BELOW_ROOF",IMPORT_NODE_STATE,READY,USE_LEVEL_SYMBOLS,NONE,NO_UPWARD_COLUMN,FRAME_WELL_FORMEDNESS_GATE,"Nine upper termination positions; P21 semantic depth controlled by TAV07A crosscheck."
M0-C004,G5_ROOF_COLUMNS,ETW_G5_ANALYTICAL_COLUMN_RELEASE_v1.csv,"analytical_column_id starts AC-G5- and analytical_column_id not in {AC-G5-X01;AC-G5-GATE}",IMPORT_ELEMENTS,READY,PARAMETRIC_UPPER_LEVEL_Z,GLOBAL_MATERIAL_SET,NONE,FRAME_WELL_FORMEDNESS_GATE,"25/25 roof-support columns with documentary section."
M0-C005,G5_P21_TERMINATION,ETW_G5_ANALYTICAL_COLUMN_RELEASE_v1.csv,"analytical_column_id=AC-G5-X01",IMPORT_NODE_STATE,READY,PARAMETRIC_UPPER_LEVEL_Z,NONE,NO_ROOF_COLUMN,FRAME_WELL_FORMEDNESS_GATE,"Do not extrude P21 into TAV-06S roof support set."
M0-C006,G5_ROOF_BEAMS_READY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,"analytical_id in {AG5-001;AG5-002;AG5-003;AG5-006;AG5-009;AG5-010;AG5-012;AG5-013;AG5-014;AG5-015;AG5-017;AG5-018;AG5-029;AG5-030;AG5-031}",IMPORT_ELEMENTS,READY,PARAMETRIC_ROOF_NODE_Z,GLOBAL_MATERIAL_SET,NONE,FRAME_WELL_FORMEDNESS_GATE,"15 topology+section-ready roof members."
M0-C007,G5_ROOF_BEAMS_SECTION_ND,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,"analytical_id in {AG5-004;AG5-005;AG5-007;AG5-008;AG5-011;AG5-016;AG5-019;AG5-020;AG5-021;AG5-022;AG5-023;AG5-024;AG5-025;AG5-026;AG5-027;AG5-028}",IMPORT_ELEMENTS,PARAMETRIC_ND,PARAMETRIC_ROOF_NODE_Z,"SECTION_PARAM_BY_ANALYTICAL_ID + GLOBAL_MATERIAL_SET",NONE,FRAME_WELL_FORMEDNESS_GATE,"16 topology-ready members; section parameter remains epistemically ND."
M0-C008,G1_TERRACE_RECEIVER,ETW_FIRST_LEVEL_TERRACE_LOCAL_SUBGRAPH_v1.csv,"entity_id in {ETW-FLT-E01;ETW-FLT-E02}",IMPORT_ELEMENTS,READY,USE_G1_LEVEL_Z,GLOBAL_MATERIAL_SET,NONE,FRAME_WELL_FORMEDNESS_GATE,"Analytical split of documentary P16-P08 25x70 beam at J1."
M0-C009,G1_TERRACE_LOCAL_PROJECTION,ETW_FIRST_LEVEL_TERRACE_LOCAL_SUBGRAPH_v1.csv,"entity_id=ETW-FLT-E03",IMPORT_ELEMENTS,PARAMETRIC_ND,USE_G1_LEVEL_Z,"SECTION_ETW_FLT_E03 + DISTAL_SUPPORT_POLICY",NONE,FRAME_WELL_FORMEDNESS_GATE,"1.50 m geometry DOC; section/support condition open."
M0-C010,G1_TERRACE_OUTER_SUPPORT,ETW_FIRST_LEVEL_TERRACE_LOCAL_SUBGRAPH_v1.csv,"entity_id=ETW-FLT-N02",IMPORT_RESIDUALS_ONLY,BLOCKED_LOCAL,USE_G1_LEVEL_Z,NONE,NO_SUPPORT_ASSIGNMENT,ETW_FIRST_LEVEL_TERRACE_FOUNDATION_SUPPORT_AUDIT_v1.csv,"No original foundation/support documented; current support remains RIF/ND."
