constraint_id,support_i,support_j,type,value_m,axis_delta_px,cross_axis_delta_px,local_px_per_m,audit_state,action,note
G2-TERR-X1,c,a,ROW,3.45,542.35,3.65,157.203,CONSISTENT,KEEP_HARD,"Direct terrace quote; coherent with robust raster scale."
G2-TERR-X2,a,17,ROW,3.45,540.43,7.50,156.646,CONSISTENT,KEEP_HARD,"Direct/cross-validated quote; coherent."
G2-TOP-X3,17,9,ROW,5.50,872.39,2.43,158.616,CONSISTENT,KEEP_HARD,"Coherent."
G2-TOP-X4,9,1,ROW,5.60,878.67,1.50,156.905,CONSISTENT,KEEP_HARD,"Coherent."
G2-TERR-Y1,c,d,COLUMN,4.70,752.17,2.50,160.036,CONSISTENT,KEEP_HARD,"Coherent; mild local scale variation."
G2-TERR-Y2,a,b,COLUMN,4.70,754.03,1.00,160.432,CONSISTENT,KEEP_HARD,"Coherent; mild local scale variation."
G2-MAIN-Y0,17,18,COLUMN,4.70,740.53,54.49,157.560,REFERENCE_SEMANTICS_PENDING,SUSPEND_HARD,"P18 is 110x30 extended support; centroid is laterally offset from P17 axis. Quote may reference axis/face rather than physical centroid."
G2-LROW-1,31,28,ROW,4.70,741.75,1.71,157.819,CONSISTENT,KEEP_HARD,"Coherent."
G2-LROW-2,32,29,ROW,4.70,751.74,4.11,159.945,CONSISTENT,KEEP_HARD,"Coherent."
G2-LROW-3,33,30,ROW,4.70,742.50,66.98,157.979,REFERENCE_SEMANTICS_PENDING,SUSPEND_HARD,"P30 is 30x110 extended support; centroid does not lie on apparent beam/row reference."
G2-LROW-4,28,25,ROW,3.45,544.09,4.42,157.707,CONSISTENT,KEEP_HARD,"Coherent."
G2-LROW-5,29,26,ROW,3.45,544.01,6.01,157.684,CONSISTENT,KEEP_HARD,"Coherent."
G2-LROW-6,30,27,ROW,3.45,542.84,71.23,157.345,REFERENCE_SEMANTICS_PENDING,SUSPEND_HARD,"P30 centroid offset due extended geometry; retain quoted value but do not solve centroid relation yet."
G2-LROW-7,25,19,ROW,2.10,654.42,0.00,311.629,CONFLICT,SUSPEND_HARD,"Direct raster spacing is about twice expected; likely wrong support binding or quote-to-reference association in inherited v5 claim. Requires source reread."
G2-LROW-8,26,21,ROW,2.10,331.94,19.50,158.067,CONSISTENT_WITH_SMALL_TRANSVERSE_OFFSET,KEEP_HARD,"Metric spacing coherent; transverse offset to be absorbed only after alignment semantics are confirmed."
G2-LROW-9,27,22,ROW,2.10,330.44,178.99,157.352,CONFLICT,SUSPEND_HARD,"P27 is raster-aligned with P22-prime, not P22. Existing v5 row binding 27-22 is not accepted as hard constraint."
G2-LCOL-1,31,32,COLUMN,6.25,995.67,7.90,159.307,CONSISTENT,KEEP_HARD,"Coherent."
G2-LCOL-2,32,33,COLUMN,4.95,780.58,12.91,157.693,CONSISTENT,KEEP_HARD,"Coherent."
G2-P19-BIND,18,19,COLUMN,4.05,640.52,58.50,158.153,REFERENCE_SEMANTICS_PENDING,SUSPEND_HARD,"P18 extended support; distance value coherent but centroid reference is not. Preserve quote pending face/axis semantics."
G2-P13-BIND,13,14,COLUMN,2.90,458.50,1.00,158.103,CONSISTENT,KEEP_HARD,"Coherent."
G2-LOW-X1,23,15,ROW,6.45,974.05,8.30,151.016,REFERENCE_SEMANTICS_PENDING,SUSPEND_HARD,"P23 extended support; centroid-based scale is anomalous. Quote likely references axis/face; do not force centroid."
G2-LOW-X2,24,16,ROW,6.45,1020.46,2.50,158.211,CONSISTENT,KEEP_HARD,"Coherent."
G2-LOW-X3,15,7,ROW,4.65,742.13,2.93,159.598,CONSISTENT,KEEP_HARD,"Coherent."
G2-LOW-X4,16,8,ROW,4.65,736.85,3.28,158.462,CONSISTENT,KEEP_HARD,"Coherent."
G2-22P-DIAG,22,22',COLUMN,1.18,186.49,6.00,158.042,DIAGNOSTIC_CONSISTENT,DIAGNOSTIC_ONLY,"Independent raster measurement remains MIS; strongly coherent with robust scale but not a written DOC quote."
SUMMARY,,,,,,158.023,,ROBUST_MEDIAN_PX_PER_M,INFO,"Median local scale across quoted constraints is ~158.02 px/m; use only as diagnostic, never as substitute for written dimensions."
