crosscheck_id,domain,upstream_state,p11_state,status,blocking,evidence,note
P11-C01,PRIMARY_GEOMETRY,P07 PASS_WITH_WATCH,PRIMARY_TOPOLOGY_PRESERVED,PASS,false,M1F_PRIMARY_GEOMETRY_GATE_v1.csv,"P11 does not add, delete or move any P07 support/incidence."
P11-C02,FOUNDATION_SYMBOLIC_PLANE,COMMON_PLANE_DOC for 38 supports,ZF_COMMON_REVALIDATED,PASS,false,M1F_FOUNDATION_ELEVATION_GATE_v1.csv,"The common symbolic structural foundation plane is supported independently of the superseded 58-member topology count."
P11-C03,FOUNDATION_SYMBOLIC_MEMBER_DATASET,58 symbolic members in pre-P07 elevation dataset,SUPERSEDED_TOPOLOGY_REFERENCE,PASS_WITH_WATCH,false,M1F_FOUNDATION_ELEVATION_GATE_v1.csv|FPEP_M0G_REGRESSION_CROSSCHECK_v1.csv,"The 58-member symbolic 3D connectivity is not carried forward as current topology after P07/P10. Elevation-plane evidence remains usable; connectivity must follow the P07 successor topology."
P11-C04,NUMERIC_FOUNDATION_Z,ND,ND_PRESERVED,PASS_WITH_WATCH,false,M1F_FOUNDATION_ELEVATION_GATE_v1.csv,"ZF_COMMON has no numeric model Z. Historical 1.00 m below piano di campagna is not converted to G1-relative or absolute Z."
P11-C05,GROUND_FLOOR_BUILDUP,"INERT_FILL>CONCRETE_POUR>SCREEDS",QUALIFIED_SEQUENCE_PRESERVED,PASS_WITH_WATCH,false,M1F_GROUND_FLOOR_INTERFACE_GATE_v1.csv,"Qualitative build-up remains separated from structural foundation geometry; no layer thickness, unit weight or load is invented."
P11-C06,GROUND_FLOOR_LOAD_PATH,OPEN,OPEN_WATCH,PASS_WITH_WATCH,false,M1F_GROUND_FLOOR_INTERFACE_GATE_v1.csv,"Ground-supported versus foundation-beam/structural transfer remains unclassified and must stay open before load assignment."
P11-C07,G1_GROUND_DATUM,NOT_REGISTERED,NOT_REGISTERED,PASS_WITH_WATCH,false,M1F_GROUND_FLOOR_INTERFACE_GATE_v1.csv,"No direct documentary relation between G1=0.00 and local piano di campagna is introduced."
P11-C08,CURRENT_GEOTECHNICS,OPEN_SITE_SPECIFIC_EVIDENCE,OPEN_SITE_SPECIFIC_EVIDENCE,PASS_WITH_WATCH,false,M1F_CURRENT_GEOTECHNICAL_GATE_v1.csv,"Current stratigraphy, groundwater, strength and stiffness/settlement parameters remain external-document/new-investigation residuals."
P11-C09,HISTORICAL_GEOTECHNICS,"terreno sano pliocenico; 1.6 kg/cm2; epsilon=1",HISTORICAL_ONLY_PRESERVED,PASS,false,M1F_CURRENT_GEOTECHNICAL_GATE_v1.csv,"Historical parameters are not converted to current design resistance or soil springs."
P11-C10,DOMAIN_SEPARATION,"geometry | Z | PT build-up | geotechnics",SEPARATION_ENFORCED,PASS,false,P07 gate|elevation gate|ground-floor interface gate|current geotechnical gate,"No open non-geometric domain is used to weaken or rewrite the primary topology gate."
P11-FINAL,GATE_SUMMARY,"Foundation interface crosscheck",PASS_WITH_WATCH,PASS_WITH_WATCH,false,all P11 allowed inputs,"Primary topology and common symbolic foundation plane are compatible. Numeric Z, PT load path/layers and current site geotechnics remain explicit downstream watches; the old 58-member symbolic connectivity is superseded as topology reference."
