candidate_id,from_support_id,to_support_id,source_group,source_sheet,topology_evidence,carpenteria_crosscheck,section_family_candidate,canonical_promotion_state,note
FND-C001,1,2,F1A-G01,TAV-01A,DOC_ARMATURE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C002,2,3,F1A-G01,TAV-01A,DOC_ARMATURE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C003,3,4,F1A-G01,TAV-01A,DOC_ARMATURE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C004,9,10,F1A-G02,TAV-01A,DOC_ARMATURE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C005,10,11,F1A-G02,TAV-01A,DOC_ARMATURE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C006,11,12,F1A-G02,TAV-01A,DOC_ARMATURE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C007,12,13,F1A-G02,TAV-01A,DOC_ARMATURE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,"Offset/diagonal transition to verify directly on TAV-01S."
FND-C008,13,14,F1A-G02,TAV-01A,DOC_ARMATURE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C009,14,15,F1A-G02,TAV-01A,DOC_ARMATURE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C010,15,16,F1A-G02,TAV-01A,DOC_ARMATURE_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C011,13,21,F1A-G03,TAV-01A,DOC_ARMATURE_PAIRED_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C012,21,26,F1A-G03,TAV-01A,DOC_ARMATURE_PAIRED_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C013,26,29,F1A-G03,TAV-01A,DOC_ARMATURE_PAIRED_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C014,29,32,F1A-G03,TAV-01A,DOC_ARMATURE_PAIRED_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,
FND-C015,13,22,F1A-G03,TAV-01A,DOC_ARMATURE_PAIRED_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,"Source writes 22; cross-check relative position of distinct 22-prime before final geometric projection."
FND-C016,22,27,F1A-G03,TAV-01A,DOC_ARMATURE_PAIRED_SEQUENCE,PENDING_TAV01S,FND-SEC-A,CANDIDATE_ONLY,"Source writes 22; preserve literal label until carpenteria binding is complete."
