review_id,record_kind,group_id,tav01a_claim,p07_primary_incidence,binding_class,status,blocking,evidence,note
P08-G01,GROUP_REVIEW,F1A-G01,1-2-3-4,"1-2|2-3|3-4",DIRECT_PRIMARY_MATCH,PASS,false,M1F_TAV01A_GROUP_INDEX_v1.csv|M1F_PRIMARY_GEOMETRY_REVALIDATION_LEDGER_v1.csv,"All literal G01 sequence steps coincide with promoted primary incidences."
P08-G02,GROUP_REVIEW,F1A-G02,9-10-11-12-13-14-15-16,"9-10|10-11|11-12|12-13|13-14|14-15|15-16",DIRECT_PRIMARY_MATCH,PASS,false,M1F_TAV01A_GROUP_INDEX_v1.csv|M1F_PRIMARY_GEOMETRY_REVALIDATION_LEDGER_v1.csv,"All literal G02 sequence steps coincide with promoted primary incidences."
P08-G03A,GROUP_REVIEW,F1A-G03,13-21-26-29-32,"13-21|21-26|26-29|29-32",DIRECT_PRIMARY_MATCH,PASS,false,M1F_TAV01A_GROUP_INDEX_v1.csv|M1F_PRIMARY_GEOMETRY_REVALIDATION_LEDGER_v1.csv,"Lower G03 sequence is directly compatible with primary topology."
P08-G03B,GROUP_REVIEW,F1A-G03,13-22-27-30-33,"27-30|30-33 plus supported 22bis-27",SCHEMATIC_WITH_PRIMARY_CORRECTION,PASS_WITH_WATCH,false,M1F_TAV01A_GROUP_INDEX_v1.csv|M1F_PRIMARY_GEOMETRY_REVALIDATION_LEDGER_v1.csv,"Literal 13-22 is not promoted as a physical edge. The 22-27 schematic continuation cannot generate geometry; only the separately supported 22bis-27 property binding is retained."
P08-G04,GROUP_REVIEW,F1A-G04,"24-16-8 | 23-15-7 | 22-14-6","16-24|8-16|15-23|7-15|14-22|6-14",DIRECT_PRIMARY_MATCH,PASS,false,M1F_TAV01A_GROUP_INDEX_v1.csv|M1F_PRIMARY_GEOMETRY_REVALIDATION_LEDGER_v1.csv,"All three G04 source runs map to promoted primary incidences; direction is immaterial to undirected physical incidence."
P08-G05,GROUP_REVIEW,F1A-G05,"c-a-17-9-1 | d-b-18-10-2","c-a|a-17|17-9|9-1|d-b|b-18|18-10|10-2",DIRECT_PRIMARY_MATCH_WITH_SECTION_TRANSITION,PASS,false,M1F_TAV01A_GROUP_INDEX_v1.csv|M1F_FOUNDATION_SECTION_BINDING_GATE_v1.csv,"The documented B-to-A section transition at 17/18 binds properties only and does not alter primary geometry."
P08-G06,GROUP_REVIEW,F1A-G06,"a-b-25-26-27 | c-d-28-29-30 | 31-32-33","a-b|b-25|26-27|c-d|d-28|29-30|32-33",PARTIAL_PRIMARY_MATCH,PASS_WITH_WATCH,false,M1F_TAV01A_GROUP_INDEX_v1.csv|M1F_PRIMARY_GEOMETRY_REVALIDATION_LEDGER_v1.csv,"Three literal TAV-01A sequence steps are absent from P07 primary topology: 25-26, 28-29 and 31-32. They remain documentary reinforcement notation and cannot create members."
P08-G07,GROUP_REVIEW,F1A-G07,12-5-4,"12-5|5-4",DIRECT_PRIMARY_MATCH,PASS,false,M1F_TAV01A_GROUP_INDEX_v1.csv|M1F_PRIMARY_GEOMETRY_REVALIDATION_LEDGER_v1.csv,"Both G07 sequence steps coincide with promoted primary incidences."
P08-C01,NONPHYSICAL_TAV01A_STEP,F1A-G06,25-26,,TAV01A_STEP_NOT_IN_PRIMARY_TOPOLOGY,PASS_WITH_WATCH,false,P07 primary topology,"Do not create 25-26 from TAV-01A. Any reinforcement information drawn on this schematic step requires downstream claim-local remapping."
P08-C02,NONPHYSICAL_TAV01A_STEP,F1A-G06,28-29,,TAV01A_STEP_NOT_IN_PRIMARY_TOPOLOGY,PASS_WITH_WATCH,false,P07 primary topology,"Do not create 28-29 from TAV-01A."
P08-C03,NONPHYSICAL_TAV01A_STEP,F1A-G06,31-32,,TAV01A_STEP_NOT_IN_PRIMARY_TOPOLOGY,PASS_WITH_WATCH,false,P07 primary topology,"Do not create 31-32 from TAV-01A."
P08-S01,SUPPORTED_BINDING,F1A-G03,22-27 schematic,22bis-27,SUPPORTED_PRIMARY_TRANSFORMATION,PASS_WITH_WATCH,false,M1F_FOUNDATION_REINFORCEMENT_GATE_v1.csv,"Retain supported property binding only; TAV-01A does not create the corrected physical geometry."
P08-ND01,UNBOUND_PRIMARY_INCIDENCE,,TAV01A ND,3-11,ND_DOCUMENTARY_COVERAGE,PASS_WITH_WATCH,false,P07 set difference,"Primary incidence has no direct autonomous TAV-01A group binding."
P08-ND02,UNBOUND_PRIMARY_INCIDENCE,,TAV01A ND,5-6,ND_DOCUMENTARY_COVERAGE,PASS_WITH_WATCH,false,P07 set difference,"Primary incidence has no direct autonomous TAV-01A group binding."
P08-ND03,UNBOUND_PRIMARY_INCIDENCE,,TAV01A ND,6-7,ND_DOCUMENTARY_COVERAGE,PASS_WITH_WATCH,false,P07 set difference,"Primary incidence has no direct autonomous TAV-01A group binding."
P08-ND04,UNBOUND_PRIMARY_INCIDENCE,,TAV01A ND,7-8,ND_DOCUMENTARY_COVERAGE,PASS_WITH_WATCH,false,P07 set difference,"Primary incidence has no direct autonomous TAV-01A group binding."
P08-ND05,UNBOUND_PRIMARY_INCIDENCE,,TAV01A ND,17-18,ND_DOCUMENTARY_COVERAGE,PASS_WITH_WATCH,false,P07 set difference,"Primary incidence has no direct autonomous TAV-01A group binding."
P08-ND06,UNBOUND_PRIMARY_INCIDENCE,,TAV01A ND,18-19,ND_DOCUMENTARY_COVERAGE,PASS_WITH_WATCH,false,P07 set difference,"Primary incidence has no direct autonomous TAV-01A group binding."
P08-ND07,UNBOUND_PRIMARY_INCIDENCE,,TAV01A ND,19-20,ND_DOCUMENTARY_COVERAGE,PASS_WITH_WATCH,false,P07 set difference,"Primary incidence has no direct autonomous TAV-01A group binding."
P08-ND08,UNBOUND_PRIMARY_INCIDENCE,,TAV01A ND,11-19,ND_DOCUMENTARY_COVERAGE,PASS_WITH_WATCH,false,P07 set difference,"Primary incidence has no direct autonomous TAV-01A group binding."
P08-ND09,UNBOUND_PRIMARY_INCIDENCE,,TAV01A ND,19-25,ND_DOCUMENTARY_COVERAGE,PASS_WITH_WATCH,false,P07 set difference,"Primary incidence has no direct autonomous TAV-01A group binding."
P08-ND10,UNBOUND_PRIMARY_INCIDENCE,,TAV01A ND,21-22,ND_DOCUMENTARY_COVERAGE,PASS_WITH_WATCH,false,P07 set difference,"Primary incidence has no direct autonomous TAV-01A group binding."
