binding_id,beam_relation,support_id,support_center_x_m,support_center_y_m,section_plan_cm,beam_direction_from_support,boundary_point_x_m,boundary_point_y_m,boundary_face,evidence_status,evidence_basis,note
SFB-001,27-23,23,6.90,23.43,110x30,-X,6.35,23.43,X_MINUS,DERIVED_DOC_GEOMETRIC,"P23 center DOC_GLOBAL + section 110x30 DOC_DIRECT + edge 27-23 DOC_QUOTED","Long horizontal support retained; beam terminates at physical west/x-minus face, not centroid"
SFB-002,23-15,23,6.90,23.43,110x30,+X,7.45,23.43,X_PLUS,DERIVED_DOC_GEOMETRIC,"P23 center DOC_GLOBAL + section 110x30 DOC_DIRECT + edge 23-15 DOC_QUOTED","Beam starts at physical east/x-plus face"
SFB-003,22-23,23,6.90,23.43,110x30,-Y,6.90,23.28,Y_MINUS,DERIVED_DOC_GEOMETRIC,"P23 center DOC_GLOBAL + section 110x30 DOC_DIRECT + edge 22-23 DOC_ALIGN","Longitudinal beam terminates on short y-minus face"
SFB-004,23-24,23,6.90,23.43,110x30,+Y,6.90,23.58,Y_PLUS,DERIVED_DOC_GEOMETRIC,"P23 center DOC_GLOBAL + section 110x30 DOC_DIRECT + edge 23-24 DOC_ALIGN","Longitudinal continuation starts on y-plus face"
SFB-005,33-30,30,1.35,23.43,30x110,-X,1.20,23.43,X_MINUS,DERIVED_DOC_GEOMETRIC,"P30 center DOC_GLOBAL + section 30x110 DOC_DIRECT + edge 33-30 DOC_QUOTED","Beam terminates on x-minus face"
SFB-006,30-27,30,1.35,23.43,30x110,+X,1.50,23.43,X_PLUS,DERIVED_DOC_GEOMETRIC,"P30 center DOC_GLOBAL + section 30x110 DOC_DIRECT + edge 30-27 DOC_QUOTED","Beam starts on x-plus face"
SFB-007,29-30,30,1.35,23.43,30x110,-Y,1.35,22.88,Y_MINUS,DERIVED_DOC_GEOMETRIC,"P30 center DOC_GLOBAL + section 30x110 DOC_DIRECT + edge 29-30 DOC_ALIGN","Beam terminates on y-minus face of vertically elongated support"
SFB-008,11-12,11,12.40,9.80,50x40,+Y,12.40,10.00,Y_PLUS,DERIVED_DOC_GEOMETRIC,"P11 coordinate DOC + section DOC_DIRECT + OVR-007 PASS_TOPOLOGY","Straight local chain; centroid collapse prohibited during beam clipping"
SFB-009,11-12,12,12.40,13.95,40x50,-Y,12.40,13.70,Y_MINUS,DERIVED_DOC_GEOMETRIC,"P12 coordinate DOC + section DOC_CROSS_TILE + OVR-007 PASS_TOPOLOGY","Straight local chain"
SFB-010,12-13,12,12.40,13.95,40x50,"toward +X,+Y",12.59,14.20,Y_PLUS,DERIVED_DOC_GEOMETRIC,"P12/P13 coordinates DOC; rectangular support ray-boundary intersection; OVR-007 PASS_TOPOLOGY","Broken-chain segment leaves P12 through y-plus face before x-plus face"
SFB-011,12-13,13,13.35,15.20,50x40,"toward -X,-Y",13.198,15.00,Y_MINUS,DERIVED_DOC_GEOMETRIC,"P13 CLOSED_DOC at 13.35,15.20 from direct 2.90 m spacing to P14; section DOC_CROSS_TILE; OVR-007 PASS_TOPOLOGY","Broken-chain segment reaches P13 through y-minus face"
SFB-012,13-14,13,13.35,15.20,50x40,+Y,13.35,15.40,Y_PLUS,DERIVED_DOC_GEOMETRIC,"P13 CLOSED_DOC + P14 DOC_GLOBAL + direct 13-14=2.90 m + OVR-007 PASS_TOPOLOGY","Vertical local segment"
SFB-013,13-14,14,13.35,18.10,50x40,-Y,13.35,17.90,Y_MINUS,DERIVED_DOC_GEOMETRIC,"P14 DOC_GLOBAL + section DOC_CROSS_TILE + direct 13-14=2.90 m + OVR-007 PASS_TOPOLOGY","Vertical local segment"
