artifact_id,path,domain,artifact_type,authority,status,may_feed_canonical,validation_method,replaces_or_relates,note
SYS-001,AGENTS.md,SYSTEM,ENTRYPOINT,PROCEDURE,CURRENT,YES,scripts/validate_knowledge_system.py,,Mandatory agent entrypoint
SYS-002,knowledge/KNOWLEDGE_MANIFEST.json,SYSTEM,MANIFEST,CANONICAL,CURRENT,YES,scripts/validate_knowledge_system.py,,Machine-readable system contract
SYS-003,knowledge/CURRENT_STATE.json,SYSTEM,STATE,CANONICAL,CURRENT,YES,scripts/validate_knowledge_system.py,docs/STATO_RIPRESA.md,Primary machine-readable resume state
SYS-004,knowledge/ARTIFACT_REGISTRY.csv,SYSTEM,REGISTRY,CANONICAL,CURRENT,YES,scripts/validate_knowledge_system.py,,Authority catalog; unregistered defaults non-authoritative
SYS-005,docs/PROTOCOLLO_CANONICO.md,SYSTEM,PROTOCOL,PROCEDURE,CURRENT,YES,manual+system-validator,,General evidence/model gate policy
SYS-006,docs/REGISTRO_MASTER.md,SYSTEM,HUMAN_REGISTER,DERIVED,CURRENT,NO,manual+claim-ledger,,Human-readable project register only; domain claims and machine state prevail
SYS-007,data/canonical/CANONICAL_REVALIDATION_LEDGER_v1.csv,SYSTEM,CLAIM_LEDGER,CLAIM_LEDGER,CURRENT,YES,pt-carpentry-reader validate,,Claim-level history and revalidation
SYS-008,docs/KNOWLEDGE_SYSTEM_v1.md,SYSTEM,ARCHITECTURE,PROCEDURE,CURRENT,YES,manual+system-validator,,Human-readable knowledge architecture
SYS-009,docs/STATO_RIPRESA.md,SYSTEM,HUMAN_STATE,DERIVED,CURRENT,NO,compare with knowledge/CURRENT_STATE.json,knowledge/CURRENT_STATE.json,Human-readable mirror of machine state
SYS-010,docs/MASTER_DATA_UPDATE_PROTOCOL.md,SYSTEM,UPDATE_PROTOCOL,PROCEDURE,CURRENT,YES,manual+system-validator,,Gated canonical update protocol; supersedes master-first interpretation
SYS-011,scripts/validate_knowledge_system.py,SYSTEM,VALIDATOR,DERIVED,CURRENT,NO,python execution,,Validates manifest registry authority and state contracts
SYS-012,.github/workflows/validate-knowledge-system.yml,SYSTEM,CI_WORKFLOW,DERIVED,CURRENT,NO,GitHub Actions,,Automatic knowledge-system and semantic registry validation
SYS-013,scripts/agent_bootstrap.py,SYSTEM,AGENT_BOOTSTRAP,DERIVED,CURRENT,NO,python execution,,Prints gate next action authorized conditional and blocked artifacts as JSON
SRC-T02-001,analysis/source_renders/TAV02S/manifest.txt,PT_GEOMETRY,SOURCE_MANIFEST,SOURCE_PRIMARY,CURRENT,YES,system-validator,,Native raster metadata 4680x8609; 4x3 tiling; overlap 0.06
PROC-PT-001,docs/PROCEDURES/CANONICAL_DATASET_ITERATIVE_REVALIDATION_v1.md,PT_GEOMETRY,PROCEDURE,PROCEDURE,CURRENT,YES,manual,,Claim-level revalidation rules
PROC-PT-002,docs/PT_RASTER_RECONSTRUCTION_PROTOCOL_v1.md,PT_GEOMETRY,PROCEDURE,PROCEDURE,CURRENT,YES,manual,,Raster to metric reconstruction protocol
SKILL-PT-001,skills/pt-carpentry-reader/SKILL.md,PT_GEOMETRY,SKILL,SKILL,CURRENT,YES,skills/pt-carpentry-reader/runner.py validate,,Semantic reading and claim validation
SKILL-PT-002,skills/pt-raster-grid-reconstructor/SKILL.md,PT_GEOMETRY,SKILL,SKILL,CURRENT,YES,skills/pt-raster-grid-reconstructor/runner.py validate,,Raster centers metric network and analytical nodes
RUN-PT-001,skills/pt-carpentry-reader/runner.py,PT_GEOMETRY,VALIDATOR,DERIVED,CURRENT,NO,python execution,,Semantic registry validator; PROVISIONAL_DOC is non-promoted candidate state
RUN-PT-002,skills/pt-raster-grid-reconstructor/runner.py,PT_GEOMETRY,VALIDATOR,DERIVED,CURRENT,NO,python execution,,Geometry gate validator
GATE-PT-001,data/canonical/PT_PIXEL_REGISTRATION_GATE_v1.csv,PT_GEOMETRY,GATE,CANONICAL,CURRENT,YES,system-validator,,Current blocking geometry gate
DATA-PT-OLDMASTER,data/canonical/PT_MASTER_CURRENT.csv,PT_GEOMETRY,MASTER,HISTORICAL,SUSPENDED,NO,PT raster reconstruction gate,,Preserved for provenance; metric coordinates not geometric authority
DATA-PT-QUOTES,data/canonical/PT_HIRES_MESH_RECONSTRUCTION_v5.csv,PT_GEOMETRY,EVIDENCE,OBSERVATION,SUPPORTED,CONDITIONAL,claim-level revalidation,,Use only individual rivalidated dimensions/topology; not whole-file authority
DATA-PT-METRIC,data/canonical/PT_HIRES_METRIC_BINDINGS_v1.csv,PT_GEOMETRY,EVIDENCE,OBSERVATION,SUPPORTED,CONDITIONAL,claim-level revalidation,,Local raster metric observations including 22-prime candidate
DATA-PT-SECTIONS,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,PT_SECTIONS,DOMAIN_DATA,CANONICAL,CURRENT,YES,source/claim validation,,Sections/orientations separate from suspended XY geometry
DATA-PT-CROPS,data/canonical/TAV02S_CROP_REVIEW_REGISTER_v1.csv,PT_GEOMETRY,REVIEW_REGISTER,OBSERVATION,CURRENT,YES,pt-carpentry-reader validate,,12 crop review state
DATA-PT-OBS,data/canonical/TAV02S_SYMBOL_OBSERVATIONS_v1.csv,PT_GEOMETRY,OBSERVATIONS,OBSERVATION,CURRENT,CONDITIONAL,pt-carpentry-reader validate,,Primary semantic observations
DATA-PT-BEAMS,data/canonical/TAV02S_BEAMS_DOC_CURRENT_v1.csv,PT_GEOMETRY,BEAM_CLAIMS,CANONICAL,CURRENT,CONDITIONAL,pt-carpentry-reader validate,,PROVISIONAL_DOC rows cannot feed geometry; only BEAM_DOC after cross-validation may feed canonical
DATA-PT-RES,data/canonical/TAV02S_READING_RESIDUALS_v1.csv,PT_GEOMETRY,RESIDUAL_REGISTER,CANONICAL,CURRENT,NO,pt-carpentry-reader validate,,Open semantic reading residuals
HIST-PT-GRID1,data/canonical/PT_GRID_REBUILD_FROM_QUOTES_v1.csv,PT_GEOMETRY,HISTORICAL_GRID,HISTORICAL,HISTORICAL_ONLY,NO,none,,Do not use as geometry input
HIST-PT-GRID2,data/canonical/PT_GRID_REBUILD_FROM_QUOTES_v2.csv,PT_GEOMETRY,HISTORICAL_GRID,HISTORICAL,HISTORICAL_ONLY,NO,none,,Do not use as geometry input
HIST-PT-MESH3,data/canonical/PT_HIRES_MESH_RECONSTRUCTION_v3.csv,PT_GEOMETRY,HISTORICAL_EVIDENCE,HISTORICAL,HISTORICAL_ONLY,NO,claim-level recovery only,,Superseded historical reconstruction
HIST-PT-MESH4,data/canonical/PT_HIRES_MESH_RECONSTRUCTION_v4.csv,PT_GEOMETRY,HISTORICAL_EVIDENCE,HISTORICAL,SUPERSEDED,NO,none,PT_HIRES_MESH_RECONSTRUCTION_v5.csv,Known 5.45 misread superseded
RUN-PT-G1A,scripts/extract_pt_raster_candidates.py,PT_GEOMETRY,ASSISTIVE_EXTRACTOR,DERIVED,CURRENT,NO,GitHub Actions + visual QA,,OpenCV candidate localization only; tile-local coordinates only; never semantic authority
DATA-PT-G1A,analysis/pt_raster_candidates/EXTRACTION_RUN_v1.csv,PT_GEOMETRY,EXTRACTION_RUN,DERIVED,CURRENT,NO,workflow run 32462991062,,12 tiles processed; 1185 non-authoritative geometric candidates; semantic binding required
DATA-PT-G1B,data/canonical/PT_RASTER_SUPPORT_BINDINGS_WORKING_v1.csv,PT_GEOMETRY,WORKING_BINDING_LEDGER,OBSERVATION,CURRENT,CONDITIONAL,visual source binding + tile registration + cross-tile review,,Semantic support-to-raster bindings; only CROSS_VALIDATED rows may currently promote into PT_PIXEL_SUPPORT_REGISTRY_v1.csv
RUN-PT-REG-001,scripts/register_tav02s_tiles_to_overview.py,PT_GEOMETRY,REGISTRATION_GENERATOR,DERIVED,CURRENT,NO,SIFT+RANSAC reproducibility,,Generates tile-local to overview/native registration; 10 direct tiles and 2 low-information tiles derived from registered neighbors
DATA-PT-REG-001,data/canonical/TAV02S_TILE_TO_NATIVE_REGISTRATION_v1.csv,PT_GEOMETRY,RASTER_REGISTRATION,CANONICAL,CURRENT,YES,SIFT+RANSAC residual audit,,Authoritative coordinate transform from tile-local raster to native 4680x8609 pixel space
AUDIT-PT-G1A-001,analysis/pt_raster_candidates/G1A_COORDINATE_REVOCATION_v1.csv,PT_GEOMETRY,REVOCATION_AUDIT,CANONICAL,CURRENT,YES,system review,PT_RASTER_GEOMETRIC_CANDIDATES_v1.csv,Revokes former u_global_px/v_global_px obtained by invalid historical crop-offset addition
