beam_id,storey_id,from_support_id,to_support_id,direction_class,section_cm,structural_role,evidence_class,section_status,primary_sources,note
G5-B001,G5,2,3,Y,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
G5-B002,G5,3,4,Y,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
G5-B003,G5,4,5,X,30x50,ORDINARY_BEAM,DOC+MIS,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,Qualified human read: same section as 2-10; b=30 h=50.
G5-B004,G5,5,6,Y,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
G5-B005,G5,6,7,Y,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
G5-B006,G5,2,10,X,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation; reference family for B003.
G5-B007,G5,3,11,X,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
G5-B008,G5,5,13,OFFSET_POLYLINE,30x50,ORDINARY_BEAM_OFFSET,DOC+MIS,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,Qualified human read: b=30 h=50; offset topology preserved.
G5-B009,G5,6,14,X,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
G5-B010,G5,7,15,X,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
G5-B011,G5,10,11,Y,50x65,ORDINARY_BEAM,DOC+MIS,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,Qualified human read from TAV-06S detail; 50x65 confirmed.
G5-B012,G5,11,12,Y,50x65,ORDINARY_BEAM,DOC+MIS,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A+qualified_human_review_2026-08-22,Qualified human read: same 50x65 family as B011.
G5-B013,G5,13,14,Y,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
G5-B014,G5,14,15,Y,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
G5-B015,G5,10,18,X,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
G5-B016,G5,11,20,X,30x50,ORDINARY_BEAM,DOC,CURRENT,STOREY_BEAMS_G5_v1.csv+TAV-06S+TAV-06A,Existing TAV-06S+TAV-06A cross-validation.
