gate_item_id,scope,analytical_refs,known_section_family,source_basis,element_binding_status,section_release,fem_stiffness_release,evidence_state,blocking,notes
G5-SG-001,TEL5_G5,"historical frame group 1-7 / C2-C7",20x45,"historical calculation frame 5; M0 section catalogue",FRAME_FAMILY_DOC_POINTWISE_P_BINDING_OPEN,HOLD,HOLD,DOC,LOCAL,"20x45 remains documentary for historical Telaio 5 G5 but is not propagated to arbitrary roof members."
G5-SG-002,TEL1_G5,"historical frame G5 / C2-C6",30x45,"historical calculation frame 1; M0 section catalogue",FRAME_FAMILY_DOC_POINTWISE_P_BINDING_OPEN,HOLD,HOLD,DOC,LOCAL,"30x45 remains documentary for historical Telaio 1 G5; no conflict is manufactured with separate TAV-06A roof-member details."
G5-SG-003,G5_BEAM_SKELETON,"AG5-001..AG5-031",MIXED,"ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv + TAV-06S + TAV-06A",31_TOPOLOGY_MEMBERS_15_POINTWISE_BEAM_SECTIONS,PARTIAL_DOC,PARTIAL,DOC+ND,LOCAL,"31 beam members are topology-ready; 15 have direct 30x50 section binding from TAV-06A. The remaining 16 retain section ND unless a second discriminator is found."
G5-SG-004,TAV06A_SOURCE,"archive/documentazione_originaria/tavola 6.pdf",30x50_on_verified_groups,"run 32318018007; artifact 9388794158; raster sha recorded by workflow",HIRES_SOURCE_RECOVERED_AND_FULL_FIRST_PASS_REVIEWED,PARTIAL_DOC,PARTIAL,DOC,NO_GLOBAL,"Full first-pass HiRes review completed. No additional section is promoted merely because a nearby detail uses 30x50."
G5-SG-005,HISTORICAL_RECOVERY,ABACO_TRAVI_TAV6_v23.csv,ND,"archive/ARTEFATTI_STORICI.md",HISTORIC_RESULT_REGISTERED_PHYSICAL_FILE_NOT_RECOVERED,ND,NO,DOC_ARTEFATTO_REGISTERED,NO_GLOBAL,"Recovery remains useful for audit, but current work no longer depends on it to begin pointwise section release."
G5-SG-006,HISTORICAL_RECOVERY,ASSOCIAZIONE_TRAVI_TAV5_TAV6_v25.csv,ND,"archive/ARTEFATTI_STORICI.md",HISTORIC_RESULT_REGISTERED_PHYSICAL_FILE_NOT_RECOVERED,ND,NO,DOC_ARTEFATTO_REGISTERED,NO_GLOBAL,"Still valuable as historical cross-check; do not rebuild automatically."
G5-SG-007,ROLE_CLASSIFICATION,"central/inter-wing members; remaining eave extensions; stair-tower members",ND,"TAV-06S geometry + TAV-06A + roof topology residual register",PARTIAL_IDENTITY_RELEASE,PARTIAL,NO,DOC+ND_ROLE,NO_GLOBAL,"P19-P26 is verified 30x50. Ridge topology is closed. Remaining unbound roles stay local residuals."
G5-SG-008,TAV06A_BINDINGS,"B01-B04/B07-B10","30x50; stirrups phi6/20 or phi6/15 per detail","ETW_TAV06A_ROOF_BEAM_BINDING_v1.csv",POINTWISE_VERIFIED,READY_FOR_GEOMETRIC_SECTION,PARTIAL,DOC,NO,"B05-B06 support paths P25-P26-P27 and P28-P29-P30 are verified but their section remains held: the lower detail does not carry an independently bound section callout."
G5-SG-009,RIDGE_BEAMS,"P10-P11;P11-P12;P13-P14;P14-P15;P26-P29",MIXED,"ETW_ROOF_RIDGE_EAVES_REGISTER_v1.csv + TAV-06S + TAV-06A",RIDGE_TOPOLOGY_CLOSED,PARTIAL,PARTIAL,DOC+ND,LOCAL,"WING-B ridge P13-P14-P15 = 30x50 phi6/20 DOC. WING-A P10-P11-P12 and WING-C P26-P29 retain section ND; no 30x50 propagation by analogy."
G5-SG-010,EAVE_BEAMS,"P02-P03-P04;P05-P06-P07;P22-P22P-P23;P25-P28;P27-P30",MIXED,"ETW_ROOF_RIDGE_EAVES_REGISTER_v1.csv + TAV-06S + TAV-06A",EAVE_TOPOLOGY_PARTIAL_HIGH_CONFIDENCE,PARTIAL,PARTIAL,DOC+ND,LOCAL,"P02-P03-P04 and P05-P06-P07 = 30x50 phi6/20 DOC. Other source-bound eaves retain section ND."
G5-SG-011,G5_VERTICAL_SUPPORTS,"AX-P02..AX-P30 excluding terminated/nonroof IDs; 25 roof supports",MIXED_40x40_30x40,"TAV-07A V-order + TAV-06S presence reconciliation + ETW_G5_ROOF_SUPPORT_COLUMN_SECTION_RELEASE_v1.csv",25_OF_25_POINTWISE_COLUMN_SECTIONS,READY,READY_GEOMETRIC_SECTION,DOC,NO,"All 25 numbered roof-support axes now have source-bound V-order column sections. P21 is separately retained as 30x40 V-order termination and is not extruded into the roof-support set."
G5-SG-012,TAV07A_V_ORDER,"26 V-order columns",14x40x40_PLUS_12x30x40,"ETW_TAV07A_V_ORDER_CROSSCHECK_v1.csv",POINTWISE_SUPPORT_SECTION_SET_CLOSED,READY,READY_GEOMETRIC_SECTION,DOC,NO,"Set relation: 26 V-order supports minus P21 = 25 TAV-06S roof supports. 30x40 is not a stair-tower discriminator."
G5-SG-GATE,G5,SECTION_ATTRIBUTION_GATE,MIXED,"document hierarchy + well-formedness rules",PARTIAL_PASS,"BEAMS_15_OF_31;COLUMNS_25_OF_25",PARTIAL_FEM_READY,DOC+ND,LOCAL,"G5 vertical support geometry/sections are fully released. Beam topology is fully released; 15/31 beam sections are released. Remaining beam-section residuals are local and do not block the global topology model."
