requirement_id,domain,normative_basis,current_project_evidence,current_state,required_current_evidence_or_decision,model_use_rule,blocking_scope,note
M1F-GEO-001,NORMATIVE_BASIS,"DM 17-01-2018 NTC; DM 09-03-2023 n.52 amendments; Circolare 21-01-2019 n.7 C.S.LL.PP.","Historical relation only","CURRENT_NORMATIVE_FRAME_REGISTERED","Use the current NTC framework for present-state foundation/geotechnical verification while preserving historical assumptions separately.","Do not replace current verification parameters with historical allowable-stress soil values.",FINAL_FOUNDATION_VERIFICATION,"Official 2026 MIT/CSLP material continues to reference the NTC issued with DM 17-01-2018; 2023 amendments are part of the current framework."
M1F-GEO-002,HISTORICAL_SOIL_DESCRIPTION,"ORIGINAL_RELATION_PAGE2_EVIDENCE_v1.csv","terreno sano pliocenico","DOC_HISTORICAL_ONLY","Retain as historical geotechnical description and search for original geotechnical report/borings if they exist.","Historical lithologic wording is evidence for the original model, not a complete present-day geotechnical model.",NONBLOCKING_EARLY_MODEL_BLOCKS_CURRENT_GEOTECHNICAL_CLOSURE,"No modern stratigraphic or laboratory/in-situ parameter set is yet registered."
M1F-GEO-003,HISTORICAL_BEARING_PARAMETER,"ORIGINAL_RELATION_PAGE2_EVIDENCE_v1.csv","pressione ammissibile 1.6 kg/cm2; epsilon=1","DOC_HISTORICAL_ONLY","Preserve both values exactly as historical calculation assumptions; determine their original modeling semantics before reproducing the historical calculation.","Never map 1.6 kg/cm2 directly to a current design resistance or epsilon=1 to a modern stiffness parameter without an explicit conversion basis.",HISTORICAL_MODEL_REPRODUCTION_AND_FINAL_CURRENT_VERIFICATION,"Historical admissible-pressure formulation and current limit-state geotechnical verification are distinct."
M1F-GEO-004,SITE_STRATIGRAPHY,"NTC geotechnical characterization requirements","ND","OPEN_CURRENT_REQUIREMENT","Establish a site-specific ground model over the foundation influence volume: stratigraphic units, interfaces, variability and any relevant fill/altered surface layers.","Use only evidence from existing reports, direct observations and an investigation program appropriate to the building/site.",FINAL_FOUNDATION_VERIFICATION,"No fixed number of boreholes/tests is imposed here; investigation scope must be justified from building size, geology, site variability and available prior evidence."
M1F-GEO-005,GROUNDWATER_AND_HYDROGEOLOGY,"NTC geotechnical characterization requirements","ND","OPEN_CURRENT_REQUIREMENT","Determine groundwater presence/level and relevant seasonal or local hydrogeological conditions where they can affect foundation behavior or soil parameters.","Keep groundwater effects inactive in the numerical model until evidence establishes whether they are relevant.",FINAL_FOUNDATION_VERIFICATION,"Against-ground/semi-basement configuration makes explicit hydrogeological screening necessary."
M1F-GEO-006,SOIL_STRENGTH_PARAMETERS,"NTC geotechnical model and foundation verification requirements","ND","OPEN_CURRENT_REQUIREMENT","Obtain representative strength parameters for the identified geotechnical units at stress levels relevant to the existing shallow foundations.","Parameter selection must be traceable to tests/correlations and adopted characteristic/design values; no direct use of historical allowable pressure as a substitute.",FINAL_BEARING_AND_STABILITY_CHECKS,"Required parameter set depends on the chosen constitutive and verification model."
M1F-GEO-007,SOIL_STIFFNESS_AND_SETTLEMENT,"NTC geotechnical model and serviceability requirements","ND","OPEN_CURRENT_REQUIREMENT","Obtain deformation/stiffness information adequate to assess existing-foundation settlements and soil-structure interaction at the required analysis level.","Do not invent Winkler modulus or elastic modulus from epsilon=1; if springs are used, derive them from a documented geotechnical model and foundation geometry.",FINAL_SERVICEABILITY_AND_SOIL_STRUCTURE_INTERACTION,"Solver spring values are downstream products, not primary geotechnical evidence."
M1F-GEO-008,SEISMIC_GEOTECHNICAL_INPUT,"NTC seismic and geotechnical requirements","ND","OPEN_CURRENT_REQUIREMENT","Classify the seismic ground conditions required by the adopted analysis and assess any relevant site/geotechnical seismic phenomena using current evidence.","Historical static seismic analysis does not close current seismic geotechnical characterization.",FINAL_SEISMIC_FOUNDATION_VERIFICATION,"Exact inputs depend on the final assessment method and available site data."
M1F-GEO-009,EXISTING_FOUNDATION_CONDITION,"NTC existing-construction knowledge framework;current survey","No settlement damage reported in project record; direct foundation exposure/condition dataset not yet registered","RIF_CURRENT_OBSERVATION_PLUS_OPEN_DIRECT_SURVEY","Document accessible foundation condition, cracking/deformation/settlement indicators and any exposure evidence; relate observations to the geotechnical model.","Absence of observed settlement is useful current evidence but cannot alone identify soil parameters or resistance.",KNOWLEDGE_LEVEL_AND_FINAL_VERIFICATION,"Keep structural deterioration and soil/foundation performance evidence distinct but cross-linked."
M1F-GEO-010,INVESTIGATION_PROGRAM,"NTC current geotechnical characterization;existing-building knowledge needs","ND","OPEN_PROGRAM_TO_DEFINE","Define the minimum justified investigation campaign after inventorying all existing geotechnical documents and direct site evidence; choose in-situ/laboratory methods to close the specific parameter gaps above.","Do not prescribe a generic fixed campaign before reviewing existing evidence and accessibility constraints.",CURRENT_GEOTECHNICAL_CLOSURE,"The program is evidence-gap driven and may be reduced if adequate original/current geotechnical documentation is recovered."
