observation_id,zone,text_or_value,classification,endpoint_or_object_binding,evidence_status,source,note
G2-DTXT-001,21-22-22p-26-27,120,BEAM_SECTION_CALLOUT,wide beam in zone,DOC_DIRECT_RASTER,TAV-02S current clean r3_c2,"The handwritten 120 is attached to the wide beam symbol and is not an inter-support metric dimension."
G2-DTXT-002,22p-27,25x70,BEAM_SECTION_CALLOUT,vertical beam between/near P22-prime and P27,DOC_DIRECT_RASTER,TAV-02S current clean r3_c2,"Separate handwritten 25 and 70 flank the beam-section rectangle; do not interpret as 2.10 m or support spacing."
G2-DTXT-003,25-19,25x70,BEAM_SECTION_CALLOUT,vertical beam near P25/DOC row,DOC_DIRECT_RASTER,TAV-02S current clean r2_c2,"Separate handwritten 25 and 70 identify a beam section; no 2.10 m text is visible between P25 and P19 in the reviewed crop."
G2-DTXT-004,13-14-chain,3.25,DIMENSION_TEXT_NON_SUPPORT_ENDPOINTS,"left extension axis -> intermediate carpenteria break/intersection",DOC_DIRECT_RASTER,TAV-02S current clean r3_c2,"True dimension text with ticks, but its right endpoint is not currently identified as a support center. Do not use as support-to-support bridge."
G2-DTXT-005,13-14-chain,2.40,DIMENSION_TEXT_NON_SUPPORT_ENDPOINTS,"intermediate carpenteria break/intersection -> P13 axis",DOC_DIRECT_RASTER,TAV-02S current clean r3_c2,"True dimension text; right endpoint reaches P13 axis, left endpoint is an intermediate geometric point rather than a confirmed support center. Do not use as support-to-support bridge."
G2-DTXT-006,13-14-chain,2.90,DIMENSION_TEXT_SUPPORT_AXIS_TO_AXIS,P13-axis -> P14-axis,DOC_DIRECT_RASTER,TAV-02S current clean r3_c2,"True dimension-chain segment with extension ticks aligned to P13/P14 structural axes; confirms existing G2-P13-BIND."
G2-DTXT-007,22p-27,2.10,NOT_OBSERVED_IN_REVIEWED_ZONE,none,REVOKED_BINDING,TAV-02S current clean r3_c2,"Raster alignment P27-P22-prime is compatible with roughly 2.1 m by diagnostic scale, but no directly readable 2.10 dimension text/extension-line binding was found in the reviewed zone. Do not promote."
G2-DTXT-008,25-19,2.10,NOT_OBSERVED_IN_REVIEWED_ZONE,none,REVOKED_BINDING,TAV-02S current clean r2_c2,"No directly readable 2.10 dimension text/extension-line binding found between P25 and P19; prior pair assignment is revoked."
G2-DTXT-009,r4_c2-lower-band,3.45,DIMENSION_TEXT_NON_SUPPORT_ENDPOINTS,"left reference line -> intermediate reference line",DOC_DIRECT_RASTER,TAV-02S current clean r4_c2,"Written 3.45 dimension is directly visible with ticks, but the segment is not demonstrated as support-axis to support-axis in the reviewed band."
G2-DTXT-010,r4_c2-lower-band,2.10,DIMENSION_TEXT_NON_SUPPORT_ENDPOINTS,"intermediate reference line -> right dashed reference line",DOC_DIRECT_RASTER,TAV-02S current clean r4_c2,"This is a directly observed written 2.10 dimension on TAV-02S. Its endpoint ticks do not coincide with P24 axis and do not support the revoked 25-19 or 27-22/22-prime pairings. Preserve as unbound documentary dimension until reference entities are identified."
