artifact_id,path,domain,artifact_type,authority,status,may_feed_canonical,validator,depends_on,notes
CONTRACT-CEW-VIEW-001,automation/CEW_SOURCE_VIEWER_CONTRACT_v1.json,CEW_VIEWER_VERTICAL_SLICE,MACHINE_CONTRACT,PROCEDURE,CURRENT,YES,source-viewer-validator,CONTRACT-CEW-EVD-001,"Defines read-only deep-source navigation and explicitly forbids F3 geometry correction."
DATA-CEW-VIEW-001,data/canonical/CEW_SOURCE_VIEWER_BINDINGS_v1.csv,CEW_VIEWER_VERTICAL_SLICE,VIEWER_BINDING_REGISTRY,CANONICAL,CURRENT,YES,source-viewer-validator,DATA-CEW-XFORM-001,"Binds four ERW tasks to certified F2 regions and PageTransforms without changing evidence authority."
RUN-CEW-VIEW-001,scripts/build_cew_source_viewer.py,CEW_VIEWER_VERTICAL_SLICE,VIEWER_BUILDER,DERIVED,CURRENT,NO,source-viewer-validator,DATA-CEW-VIEW-001,"Builds static viewer manifest and shell directly from F2 canonical geometry."
RUN-CEW-VIEW-002,scripts/render_cew_viewer_sources.py,CEW_VIEWER_VERTICAL_SLICE,SOURCE_RENDERER,DERIVED,CURRENT,NO,source-viewer-validator,DATA-CEW-ASSET-001,"Verifies immutable source SHA-256 and regenerates 300 dpi page renders."
RUN-CEW-VIEW-003,scripts/validate_cew_source_viewer.py,CEW_VIEWER_VERTICAL_SLICE,VALIDATOR,DERIVED,CURRENT,NO,GitHub Actions,CONTRACT-CEW-VIEW-001,"Validates DZI build, deep links, artifact registration and byte-identical F2 geometry consumption."
CI-CEW-VIEW-001,.github/workflows/validate-cew-source-viewer.yml,CEW_VIEWER_VERTICAL_SLICE,CI_WORKFLOW,DERIVED,CURRENT,NO,GitHub Actions,RUN-CEW-VIEW-003,"Regenerates source renders and DZI pyramids, vendors OpenSeadragon and emits SOURCE_VIEWER_PASS."
RECEIPT-CEW-VIEW-001,analysis/cew/CEW_F3_CLOSURE_RECEIPT_v1.json,CEW_VIEWER_VERTICAL_SLICE,CLOSURE_RECEIPT,CANONICAL,CURRENT,YES,source-viewer-validator,CI-CEW-VIEW-001,"Records SOURCE_VIEWER_PASS run/artifact, identity-only F2 geometry consumption, no structural mutation and F4 release."
CONTRACT-CEW-ERW-001,automation/CEW_ERW_CONTRACT_v1.json,CEW_ERW_PRODUCT,MACHINE_CONTRACT,PROCEDURE,CURRENT,YES,erw-reference-case-validator,DATA-CEW-VIEW-001,"Activates F6 review-workspace authority invariants and the ERW-N12-004/M1E-B06-R11 reference vertical slice."
RUN-CEW-ERW-001,scripts/build_cew_erw_reference_case.py,CEW_ERW_PRODUCT,WORKSPACE_BUILDER,DERIVED,CURRENT,NO,erw-reference-case-validator,"CONTRACT-CEW-ERW-001;DATA-CEW-VIEW-001","Builds a self-contained HTML+JSON review workspace for T6A-G03 versus G5-B017 and emits a non-canonical UNBOUND reference disposition."
RUN-CEW-ERW-002,scripts/validate_cew_erw_reference_case.py,CEW_ERW_PRODUCT,VALIDATOR,DERIVED,CURRENT,NO,GitHub Actions,RUN-CEW-ERW-001,"Rejects unsupported G5-B017 binding, requires UNBOUND disposition and forbids F2 geometry mutation, M0-G reopen or canonical writes."
CI-CEW-ERW-001,.github/workflows/validate-cew-erw-reference-case.yml,CEW_ERW_PRODUCT,CI_WORKFLOW,DERIVED,CURRENT,NO,GitHub Actions,RUN-CEW-ERW-002,"First F6 vertical-slice gate; run 32879725775 PASS, artifact 9575292287, SHA256 1c6eddee88ca3bdf44ec87bb09a3424ba036da192601fd145450a55bcaabc281."
RUN-CEW-ERW-003,scripts/build_cew_erw_queue.py,CEW_ERW_PRODUCT,WORKSPACE_QUEUE_BUILDER,DERIVED,CURRENT,NO,erw-queue-validator,"CONTRACT-CEW-ERW-001;DATA-CEW-VIEW-001","Builds a self-contained four-task N12 queue: ERW-N12-001..003 retain unreadable fields as ND and ERW-N12-004 remains structurally UNBOUND."
RUN-CEW-ERW-004,scripts/validate_cew_erw_queue.py,CEW_ERW_PRODUCT,VALIDATOR,DERIVED,CURRENT,NO,GitHub Actions,RUN-CEW-ERW-003,"Requires 4/4 task coverage, exactly three UNREADABLE and one UNBOUND reference dispositions, and forbids unsupported completion, F2 mutation, M0-G reopen, canonical writes and epistemic promotion."
CI-CEW-ERW-002,.github/workflows/validate-cew-erw-queue.yml,CEW_ERW_PRODUCT,CI_WORKFLOW,DERIVED,CURRENT,NO,GitHub Actions,RUN-CEW-ERW-004,"Four-task queue gate; run 32884368206 PASS, artifact 9576997427, SHA256 606400b053ed96e9b1fb9b85aee149113eacb6456ad91443cdb9190a77b8df33."
