parameter_id,domain,scope,value,unit,status,evidence_state,source,solver_policy,notes
Z-DZ-ORDINARY,LEVELS,G1_G4,3.20,m,READY_RIF,RIF,"storey_height_status.csv + user confirmation",ALLOW_SCENARIO,"Ordinary storey increment; use as relative increment, not surveyed absolute elevation."
Z-G2,LEVELS,G2,6.40,m,READY_SOURCE_BOUND,DOC+MIS+RIF,ETW2_G2_G3_SOURCE_BOUND_CHAIN_BRIDGE_v1.csv,ALLOW,"Already used by source-bound G2→G3 verticals."
Z-G3,LEVELS,G3,9.60,m,READY_SOURCE_BOUND,DOC+MIS+RIF,ETW2_G2_G3_SOURCE_BOUND_CHAIN_BRIDGE_v1.csv,ALLOW,"Already used by source-bound G2→G3 verticals."
Z-V-ORDER,LEVELS,V_ORDER,ND,m,PARAMETRIC_ND,ND,ETW_UPPER_LEVEL_SEMANTIC_CROSSWALK_v1.csv,REQUIRE_FOR_NUMERIC,"Upper-level absolute/relative Z not globally frozen."
Z-ROOF-EAVE,LEVELS,ROOF_EAVE,2.40,m,READY_RIF_LOCAL,RIF,"historical frame/photo reading",ALLOW_SCENARIO,"Local roof height reference only; do not convert to global Z without upper-floor datum."
Z-ROOF-RIDGE,LEVELS,ROOF_RIDGE,3.40,m,READY_RIF_LOCAL,RIF,"historical frame/photo reading",ALLOW_SCENARIO,"Local ridge height reference only; three ridges share reported local ridge height unless wing-specific evidence overrides."
MAT-CONC-E,MATERIAL,EXISTING_RC,ND,MPa,PARAMETRIC_ND,ND,material investigation required,REQUIRE_FOR_NUMERIC,"Concrete elastic modulus not frozen."
MAT-CONC-NU,MATERIAL,EXISTING_RC,ND,-,PARAMETRIC_ND,ND,material investigation required,REQUIRE_FOR_NUMERIC,"Poisson ratio not frozen."
MAT-CONC-RHO,MATERIAL,REPORTED_LIGHTWEIGHT_CONCRETE,2400,kg/m3,READY_RIF,RIF,user report,ALLOW_SCENARIO,"Density only; does not establish strength class or modulus."
MAT-STEEL-E,MATERIAL,EXISTING_REBAR,ND,MPa,PARAMETRIC_ND,ND,material investigation/code assumption gate,REQUIRE_FOR_NUMERIC,"No automatic modern steel grade assumption."
BC-FOUNDATION,CONSTRAINT,GLOBAL_FOUNDATION,ND,-,PARAMETRIC_ND,ND,F5 geotechnical residual,REQUIRE_FOR_NUMERIC,"No automatic fixed-base assumption; soil/foundation interaction remains separate."
BC-TERRACE-J2,CONSTRAINT,G1_TERRACE_J2,ND,-,BLOCKED_LOCAL,RIF+DOC_NEGATIVE,ETW_FIRST_LEVEL_TERRACE_FOUNDATION_SUPPORT_AUDIT_v1.csv,EXCLUDE_LOCAL,"Outer support/base genealogy unresolved."
SECTION-AG5-004,SECTION,G5_ROOF_BEAM,ND,cm,PARAMETRIC_ND,DOC_TOPOLOGY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,REQUIRE_FOR_NUMERIC,"WING-A ridge P10-P11."
SECTION-AG5-005,SECTION,G5_ROOF_BEAM,ND,cm,PARAMETRIC_ND,DOC_TOPOLOGY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,REQUIRE_FOR_NUMERIC,"WING-A ridge P11-P12."
SECTION-AG5-007,SECTION,G5_ROOF_BEAM,ND,cm,PARAMETRIC_ND,DOC_TOPOLOGY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,REQUIRE_FOR_NUMERIC,"P12-P19."
SECTION-AG5-008,SECTION,G5_ROOF_BEAM,ND,cm,PARAMETRIC_ND,DOC_TOPOLOGY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,REQUIRE_FOR_NUMERIC,"P18-P19."
SECTION-AG5-011,SECTION,G5_ROOF_BEAM,ND,cm,PARAMETRIC_ND,DOC_TOPOLOGY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,REQUIRE_FOR_NUMERIC,"P05-P13."
SECTION-AG5-016,SECTION,G5_ROOF_BEAM,ND,cm,PARAMETRIC_ND,DOC_TOPOLOGY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,REQUIRE_FOR_NUMERIC,"P13-P24."
SECTION-AG5-019,SECTION,G5_ROOF_BEAM,ND,cm,PARAMETRIC_ND,DOC_TOPOLOGY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,REQUIRE_FOR_NUMERIC,"P24-P22."
SECTION-AG5-020,SECTION,G5_ROOF_BEAM,ND,cm,PARAMETRIC_ND,DOC_TOPOLOGY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,REQUIRE_FOR_NUMERIC,"P22-P22P."
SECTION-AG5-021,SECTION,G5_ROOF_BEAM,ND,cm,PARAMETRIC_ND,DOC_TOPOLOGY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,REQUIRE_FOR_NUMERIC,"P22P-P23."
SECTION-AG5-022,SECTION,G5_ROOF_BEAM,ND,cm,PARAMETRIC_ND,DOC_TOPOLOGY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,REQUIRE_FOR_NUMERIC,"P25-P26."
SECTION-AG5-023,SECTION,G5_ROOF_BEAM,ND,cm,PARAMETRIC_ND,DOC_TOPOLOGY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,REQUIRE_FOR_NUMERIC,"P26-P27."
SECTION-AG5-024,SECTION,G5_ROOF_BEAM,ND,cm,PARAMETRIC_ND,DOC_TOPOLOGY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,REQUIRE_FOR_NUMERIC,"P25-P28 eave."
SECTION-AG5-025,SECTION,G5_ROOF_BEAM,ND,cm,PARAMETRIC_ND,DOC_TOPOLOGY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,REQUIRE_FOR_NUMERIC,"WING-C ridge P26-P29."
SECTION-AG5-026,SECTION,G5_ROOF_BEAM,ND,cm,PARAMETRIC_ND,DOC_TOPOLOGY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,REQUIRE_FOR_NUMERIC,"P27-P30 eave."
SECTION-AG5-027,SECTION,G5_ROOF_BEAM,ND,cm,PARAMETRIC_ND,DOC_TOPOLOGY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,REQUIRE_FOR_NUMERIC,"P28-P29."
SECTION-AG5-028,SECTION,G5_ROOF_BEAM,ND,cm,PARAMETRIC_ND,DOC_TOPOLOGY,ETW_G5_ROOF_ANALYTICAL_SKELETON_RELEASE_v1.csv,REQUIRE_FOR_NUMERIC,"P29-P30."
SECTION-ETW-FLT-E03,SECTION,G1_TERRACE_LOCAL_MEMBER,ND,cm,PARAMETRIC_ND,DOC_GEOMETRY+RIF_CHRONOLOGY,ETW_FIRST_LEVEL_TERRACE_LOCAL_SUBGRAPH_v1.csv,REQUIRE_FOR_NUMERIC,"Local 1.50 m terrace member."
