claim_id,domain,parameter,value,unit,evidence_class,source_authority,validation_state,source_reference,source_locator,use_rule,residual
ORP2-STR-001,STRUCTURAL_SYSTEM,PRIMARY_SYSTEM,"Telai in cemento armato disposti in senso longitudinale e trasversale",,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_upper,"Direct transcription of structural-system statement.",
ORP2-STR-002,STRUCTURAL_SYSTEM,FLOOR_SYSTEM,"Solai del tipo misto",,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_upper,"Direct transcription; detailed slab properties remain governed by dedicated sources.",
ORP2-FND-001,FOUNDATIONS,FOUNDATION_FRAME_CONNECTION,"Telai incastrati in travi rovesce di fondazione costituenti maglie",,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_upper,"Use as direct evidence of inverted-beam mesh foundation concept; detailed geometry remains in M1-F.",
ORP2-CALC-001,CALCULATION,FRAME_METHOD,KANI,,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_middle,"Source states frame calculations after memorization of KANI data.",
ORP2-CALC-002,CALCULATION,COMPUTER,Olivetti 652,,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_middle,"Historical calculation device as written.",
ORP2-CALC-003,CALCULATION,SEISMIC_EFFECT_EVALUATION,ANALISI_STATICA,,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_middle,"Source explicitly states seismic effects evaluated by static analysis.",
ORP2-FND-002,FOUNDATIONS,FOUNDATION_BEARING_LEVEL_BELOW_GROUND,1.00,m,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_lower,"Distance below piano di campagna as written; does not define absolute elevation.",
ORP2-GEO-001,GEOTECHNICS,FOUNDATION_SOIL,"terreno sano pliocenico",,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_lower,"Historical geotechnical description; modern geotechnical characterization remains separate.",
ORP2-GEO-002,GEOTECHNICS,ALLOWABLE_BEARING_PRESSURE,1.6,kg/cm2,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_lower,"Historical allowable bearing pressure as written; do not substitute automatically for current geotechnical verification.",
ORP2-GEO-003,GEOTECHNICS,FOUNDATION_COEFFICIENT_EPSILON,1,,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_lower,"Source attributes epsilon=1 to low soil compressibility; preserve historical meaning until modeling convention is reconciled.",
ORP2-MAT-001,CONCRETE,HISTORICAL_CHARACTERISTIC_STRENGTH_SOURCE_NOTATION_R_PRIME,300,kg/cm2,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_lower_materials,"Direct source reads 'resistenza caratteristica R'=300'; unit normalized from the same historical material-stress context. Preserve source notation and do not silently map to a modern strength parameter.",
ORP2-MAT-002,CONCRETE,CEMENT_DOSAGE,3.00,q.li,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_lower_materials,"Direct source states 'dosato a q.li 3.00 di cemento'; no per-volume basis is added because it is not explicitly written on this page.",
ORP2-MAT-003,CONCRETE,CEMENT_CLASS,425,,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_lower_materials,"Historical cement class as written.",
ORP2-MAT-004,CONCRETE,SOURCE_REPORTED_TENSION,95,kg/cm2,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_lower_materials,"Source reads 'la cui tensione non risulti inferiore a 95 kg/cmq'; semantic mapping to a modern design parameter intentionally deferred.",Resolve exact historical parameter semantics before solver use
ORP2-MAT-005,REINFORCING_STEEL,STEEL_TYPE_GRADE,FeB38k,,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_lower_materials,"Explicit original-relation designation; supersedes prior RIF-only confirmation.",
ORP2-MAT-006,REINFORCING_STEEL,HISTORICAL_ALLOWABLE_STRESS,2200,kg/cm2,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_lower_materials,"Direct source reads 'tensione ammissibile non risulti inferiore a 2200 kg/cmq'. Preserve historical allowable-stress semantics.",
ORP2-MAT-007,REINFORCING_STEEL,QUALITY_CONTROL,"controllato in stabilimento",,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,page_2_lower_materials,"Direct source statement; not equivalent to possession of individual mill certificates or present-day test results.",Locate certificates if available
ORP2-SRC-001,SOURCE,IMAGE_SHA256,8728e4d09d5dd3b9c5ce34a5a75bd52dd889e9c55d28991d2b6a35dabdb1a66b,,DOC,USER_UPLOADED_PRIMARY_IMAGE,CURRENT,USER_UPLOAD_ORIGINAL_CALCULATION_RELATION_PAGE_2_2026-08-22,full_image,"SHA-256 of uploaded 1305x1740 PNG; binary image remains conversation-provided evidence pending repository binary ingestion.",Persist original image in immutable project archive when connector permits binary ingestion
