patch_id,foundation_member_id,previous_section_family_state,new_section_family_state,source_group,transition_id,evidence_status,action,note
M1F-SEC-P001,FND-B032,FND-SEC-B_TO_A_TRANSITION_WATCH,FND-SEC-A,F1A-G05,M1F-SEC-TR01,DOC_PRIMARY_VISUAL_READ,PROMOTE_EXACT_SECTION,"9-17 lies entirely on the A-family side of the documented transition at support 17."
M1F-SEC-P002,FND-B036,FND-SEC-B_TO_A_TRANSITION_WATCH,FND-SEC-A,F1A-G05,M1F-SEC-TR01,DOC_PRIMARY_VISUAL_READ,PROMOTE_EXACT_SECTION,"10-18 lies entirely on the A-family side of the documented transition at support 18."
M1F-SEC-P003,FND-B022,FND-SEC-B_TO_VERIFY,FND-SEC-B,F1A-G06,M1F-SEC-TR02,DOC_PRIMARY_VISUAL_READ,PROMOTE_EXACT_SECTION,"b-25 lies on the B-family side up to transition support 25."
M1F-SEC-P004,FND-B023,FND-SEC-A_TO_VERIFY,FND-SEC-A,F1A-G06,M1F-SEC-TR02,DOC_PRIMARY_VISUAL_READ,PROMOTE_EXACT_SECTION,"25-26 begins at the transition station and lies on the A-family side."
M1F-SEC-P005,FND-B024,FND-SEC-A_TO_VERIFY,FND-SEC-A,F1A-G06,M1F-SEC-TR02,DOC_PRIMARY_VISUAL_READ,PROMOTE_EXACT_SECTION,"26-27 lies on the A-family side."
M1F-SEC-P006,FND-B026,FND-SEC-B_TO_VERIFY,FND-SEC-B,F1A-G06,M1F-SEC-TR02,DOC_PRIMARY_VISUAL_READ,PROMOTE_EXACT_SECTION,"d-28 lies on the B-family side up to transition support 28."
M1F-SEC-P007,FND-B027,FND-SEC-A_TO_VERIFY,FND-SEC-A,F1A-G06,M1F-SEC-TR02,DOC_PRIMARY_VISUAL_READ,PROMOTE_EXACT_SECTION,"28-29 begins at the transition station and lies on the A-family side."
M1F-SEC-P008,FND-B028,FND-SEC-A_TO_VERIFY,FND-SEC-A,F1A-G06,M1F-SEC-TR02,DOC_PRIMARY_VISUAL_READ,PROMOTE_EXACT_SECTION,"29-30 lies on the A-family side."
M1F-SEC-P009,FND-B029,FND-SEC-A_TO_VERIFY,FND-SEC-A,F1A-G06,M1F-SEC-TR02,DOC_PRIMARY_VISUAL_READ,PROMOTE_EXACT_SECTION,"31-32 belongs to the third G06 sequence, which starts at transition station 31 on the A-family side."
M1F-SEC-P010,FND-B030,FND-SEC-A_TO_VERIFY,FND-SEC-A,F1A-G06,M1F-SEC-TR02,DOC_PRIMARY_VISUAL_READ,PROMOTE_EXACT_SECTION,"32-33 lies on the A-family side."
