binding_id,source,source_run,source_artifact,support_path,member_segments,section_cm,stirrups,reading_status,evidence_state,confidence,analytical_consequence,notes
T06A-B01,TAV-06A,32318018007,9388794158,"P23-P15-P07","P23-P15;P15-P07",30x50,phi6/20cm,VERIFIED_HIRES,DOC,HIGH,SECTION_READY,"First row of the four parallel pitched-roof members sharing the same detail; support labels read at left/ridge/right."
T06A-B02,TAV-06A,32318018007,9388794158,"P22-P14-P06","P22-P14;P14-P06",30x50,phi6/20cm,VERIFIED_HIRES,DOC,HIGH,SECTION_READY,"Second row of the same roof-member detail; P22 is retained as read, not replaced by P22P."
T06A-B03,TAV-06A,32318018007,9388794158,"P03-P11-P20","P03-P11;P11-P20",30x50,phi6/20cm,VERIFIED_HIRES,DOC,HIGH,SECTION_READY,"Documentary path exposes two roof edges not present in the prior TAV-06S-only skeleton."
T06A-B04,TAV-06A,32318018007,9388794158,"P02-P10-P18","P02-P10;P10-P18",30x50,phi6/20cm,VERIFIED_HIRES,DOC,HIGH,SECTION_READY,"Fourth parallel pitched-roof member."
T06A-B05,TAV-06A,32318018007,9388794158,"P25-P26-P27","P25-P26;P26-P27",ND,ND,VERIFIED_SUPPORT_PATH_SECTION_NOT_PROMOTED,DOC,HIGH,TOPOLOGY_READY_SECTION_HOLD,"Support triple is directly readable around the second pitched-roof detail; section/stirrup callout is not promoted here until its local detail boundary is independently fixed."
T06A-B06,TAV-06A,32318018007,9388794158,"P28-P29-P30","P28-P29;P29-P30",ND,ND,VERIFIED_SUPPORT_PATH_SECTION_NOT_PROMOTED,DOC,HIGH,TOPOLOGY_READY_SECTION_HOLD,"Second row of lower rotated roof field."
T06A-B07,TAV-06A,32318018007,9388794158,"P19-P26","P19-P26",30x50,phi6/15cm,VERIFIED_HIRES,DOC,HIGH,SECTION_READY,"One-span member: endpoint labels P19 and P26 and adjacent 30x50 section/stirrup callout are directly readable."
T06A-B08,TAV-06A,32318018007,9388794158,"P05-P06-P07","P05-P06;P06-P07",30x50,phi6/20cm,VERIFIED_HIRES,DOC,HIGH,SECTION_READY,"First row of two parallel straight support-line beams; spans 4.15 m and 5.30 m shown on detail."
T06A-B09,TAV-06A,32318018007,9388794158,"P04-P03-P02","P04-P03;P03-P02",30x50,phi6/20cm,VERIFIED_HIRES,DOC,HIGH,SECTION_READY,"Second row of same straight-beam detail."
T06A-B10,TAV-06A,32318018007,9388794158,"P13-P14-P15","P13-P14;P14-P15",30x50,phi6/20cm,VERIFIED_HIRES,DOC,HIGH,SECTION_READY,"Straight beam detail with spans 2.90 m and 5.30 m and adjacent 30x50 section callout."
T06A-GATE,TAV-06A,32318018007,9388794158,"documentary roof beam identities",,"partial",,PASS_PARTIAL,DOC,HIGH,POINTWISE_BINDING_RELEASED_PARTIAL,"Only the rows above are promoted. Remaining TAV-06A groups require further tile review; no family is propagated by analogy."
