beam_id,support_i,support_j,geometry_role,section_hint,source_tile_primary,source_tile_crosscheck,evidence_basis,orientation,x_i_face_m,y_i_face_m,x_j_face_m,y_j_face_m,clear_vector_length_m,vector_derivation,vector_status,note
B-001,c,a,TERRACE_TRANSVERSE,70x25,TAV-02S_L1_R02C01,,DOC_SECTION_BOUND,HORIZONTAL,0.1500,0.0000,3.3000,0.0000,3.1500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-002,a,17,TERRACE_TO_ORIGINAL,70x25,TAV-02S_L1_R02C01,,DOC_SECTION_BOUND,HORIZONTAL,3.6000,0.0000,6.6500,0.0000,3.0500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-003,17,9,TOP_MAIN,,TAV-02S_L1_R02C01,TAV-02S_L1_R02C02,DOC_CONTINUITY,HORIZONTAL,7.1500,0.0000,12.2000,0.0000,5.0500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-004,9,1,TOP_MAIN,,TAV-02S_L1_R02C02,,DOC_CONTINUITY,HORIZONTAL,12.6000,0.0000,17.8000,0.0000,5.2000,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-005,d,b,TERRACE_TRANSVERSE,,TAV-02S_L1_R02C01,,DOC_CONTINUITY,HORIZONTAL,0.1500,4.7000,3.3000,4.7000,3.1500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-006,b,18,TERRACE_TO_ORIGINAL,,TAV-02S_L1_R02C01,,DOC_CONTINUITY,HORIZONTAL,3.6000,4.7000,6.6740,4.7000,3.0740,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_EXTENDED_FACE_VECTOR,Extended P18 terminates at physical face rather than centroid.
B-007,1,2,RIGHT_MAIN,,TAV-02S_L1_R02C02,,DOC_CONTINUITY,VERTICAL,18.0000,0.2500,18.0000,4.5000,4.2500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-008,2,3,RIGHT_MAIN,,TAV-02S_L1_R02C02,TAV-02S_L1_R03C02,DOC_CONTINUITY,VERTICAL,18.0000,4.9000,18.0000,9.6000,4.7000,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-009,3,4,RIGHT_MAIN,70x25,TAV-02S_L1_R03C02,,DOC_SECTION_BOUND,VERTICAL,18.0000,10.0000,18.0000,13.7000,3.7000,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-010,5,6,RIGHT_MAIN,70x25,TAV-02S_L1_R03C02,,DOC_SECTION_BOUND,VERTICAL,16.1000,14.2000,16.1000,17.9000,3.7000,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_REBOUND,Direct r3_c3 review corrected former P4-P6 binding to P5-P6.
B-011,6,7,RIGHT_MAIN,70x25,TAV-02S_L1_R03C02,,DOC_SECTION_BOUND,VERTICAL,16.1000,18.3000,16.1000,23.2000,4.9000,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-012,7,8,RIGHT_MAIN,,TAV-02S_L1_R03C02,TAV-02S_L1_R04C02,DOC_CONTINUITY,VERTICAL,16.1000,23.6000,16.1000,27.8500,4.2500,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-013,5,4,LOCAL_RIGHT,,TAV-02S_L1_R03C02,,DOC_CONTINUITY,HORIZONTAL,16.3000,13.9500,17.8000,13.9500,1.5000,DOCUMENTARY_SUPPORT_RUN_INTERSECT_PHYSICAL_FACES,WORKING_VECTOR_V2,Direct local P5-P4 segment.
