artifact_id,path,domain,artifact_type,authority,status,may_feed_canonical,validator,depends_on,notes
CONTRACT-CEW-KG-001,automation/CEW_KNOWLEDGE_GRAPH_CONTRACT_v1.json,CEW_KNOWLEDGE_GRAPH,MACHINE_CONTRACT,PROCEDURE,CURRENT,YES,knowledge-graph-validator,CONTRACT-CEW-AI-001,"Defines entities/properties/assertions/bindings and forbids source-ledger mutation, M0-G reopen and epistemic promotion."
RUN-CEW-KG-001,scripts/project_cew_m0g_knowledge_graph.py,CEW_KNOWLEDGE_GRAPH,GRAPH_PROJECTION,DERIVED,CURRENT,NO,knowledge-graph-m0g-validator,DATA-M0G-MEMBERS,"Projects M0-G ordinary members, endpoint bindings and documented section assertions without inventing missing properties."
RUN-CEW-KG-002,scripts/validate_cew_knowledge_graph_m0g_slice.py,CEW_KNOWLEDGE_GRAPH,VALIDATOR,DERIVED,CURRENT,NO,GitHub Actions,CONTRACT-CEW-KG-001,"Validates identity/counts, endpoint topology, evidence states, section assertions and ND preservation for the M0-G slice."
CI-CEW-KG-001,.github/workflows/validate-cew-knowledge-graph-m0g.yml,CEW_KNOWLEDGE_GRAPH,CI_WORKFLOW,DERIVED,CURRENT,NO,GitHub Actions,RUN-CEW-KG-002,"Builds and validates the M0-G graph projection slice; does not close F5 until M1A and M1L slices are also proven."
RUN-CEW-KG-003,scripts/project_cew_m1a_knowledge_graph.py,CEW_KNOWLEDGE_GRAPH,GRAPH_PROJECTION,DERIVED,CURRENT,NO,knowledge-graph-m1a-validator,DATA-M1A-TAV05A-REINFORCEMENT,"Projects all 58 TAV-05A reinforcement source rows and documentary group bindings only; UNKNOWN/ND properties and member/station bindings are not invented."
RUN-CEW-KG-004,scripts/validate_cew_knowledge_graph_m1a_slice.py,CEW_KNOWLEDGE_GRAPH,VALIDATOR,DERIVED,CURRENT,NO,GitHub Actions,CONTRACT-CEW-KG-001,"Requires exact 58-row identity, preserves G01-R06/G07-R07 unreadable quantity/diameter and G05-R04 partial dimension, and forbids member/station binding invention."
CI-CEW-KG-002,.github/workflows/validate-cew-knowledge-graph-m1a.yml,CEW_KNOWLEDGE_GRAPH,CI_WORKFLOW,DERIVED,CURRENT,NO,GitHub Actions,RUN-CEW-KG-004,"Builds and validates the M1A graph slice; certified run 32878331938, artifact digest 975234cf9a5c8ecd25f440188068fcb8b8e1ae3ec9e3f72430dc9ea5f5f80647."
RUN-CEW-KG-005,scripts/project_cew_m1l_knowledge_graph.py,CEW_KNOWLEDGE_GRAPH,GRAPH_PROJECTION,DERIVED,CURRENT,NO,knowledge-graph-m1l-validator,DATA-M1L-LOAD-MODEL,"Projects 16 load-model, 7 load-path and 6 historical/as-built delta records; only source-proven zone bindings are emitted and no ND numeric value is invented."
RUN-CEW-KG-006,scripts/validate_cew_knowledge_graph_m1l_slice.py,CEW_KNOWLEDGE_GRAPH,VALIDATOR,DERIVED,CURRENT,NO,GitHub Actions,CONTRACT-CEW-KG-001,"Requires exact 16/7/6 source inventory, six source-zone bindings, zero current numeric-load assertions, zero numeric deltas ready and preservation of ND/parametric states."
CI-CEW-KG-003,.github/workflows/validate-cew-knowledge-graph-m1l.yml,CEW_KNOWLEDGE_GRAPH,CI_WORKFLOW,DERIVED,CURRENT,NO,GitHub Actions,RUN-CEW-KG-006,"Builds and validates the M1L graph slice; certified run 32878349287, artifact digest 3b96048c3a7fe42e471da8286644f8413dad6671fe8e23057d73fa244e9bf77e."
RUN-CEW-KG-007,scripts/validate_cew_knowledge_graph.py,CEW_KNOWLEDGE_GRAPH,VALIDATOR,DERIVED,CURRENT,NO,GitHub Actions,"RUN-CEW-KG-002;RUN-CEW-KG-004;RUN-CEW-KG-006","Rebuilds all three projections and requires KNOWLEDGE_GRAPH_PASS with 3/3 slices, derived-only graph authority and no source-ledger mutation, epistemic promotion or missing-property invention."
CI-CEW-KG-004,.github/workflows/validate-cew-knowledge-graph.yml,CEW_KNOWLEDGE_GRAPH,CI_WORKFLOW,DERIVED,CURRENT,NO,GitHub Actions,RUN-CEW-KG-007,"Global F5 gate; certified head run 32878949902 on d4c3d08749f110fd3898e1de5d7262491717a07c concluded success and emitted KNOWLEDGE_GRAPH_PASS."
RECEIPT-CEW-KG-001,analysis/cew/CEW_F5_CLOSURE_RECEIPT_v1.json,CEW_KNOWLEDGE_GRAPH,CLOSURE_RECEIPT,DERIVED,CURRENT,NO,knowledge-graph-validator,CI-CEW-KG-004,"Records F5 closure evidence and governance transition to F6 without changing structural source ledgers."
