line_id,beam_id,from_support_id,to_support_id,mean_distance_m,max_distance_m,visual_class,metric_role,review_strength,canonical_binding,epistemic_effect,note
L010,G5-B023,19,25,0.135170,0.146523,BEAM_AXIS_OR_FACE_COMPATIBLE,FACE_OR_EDGE_LIKE,MODERATE,PROHIBITED,NONE,Detected segment lies on the drawn structural span between the labelled supports; offset is compatible with a beam face or graphical edge and does not identify a canonical axis.
L012,G5-B020,13,21,0.221075,0.235912,BEAM_AXIS_OR_FACE_COMPATIBLE,FACE_OR_EDGE_LIKE,MODERATE,PROHIBITED,NONE,Detected segment lies on the same drawn member corridor; larger offset is compatible with a beam face but no section-based snapping is allowed.
L013,G5-B020,13,21,0.055364,0.070033,BEAM_AXIS_OR_FACE_COMPATIBLE,AXIS_LIKE,STRONG,PROHIBITED,NONE,Detected segment follows the canonical member corridor with small metric residual and clear visual continuity between supports.
L014,G5-B009,6,14,0.130433,0.143641,BEAM_AXIS_OR_FACE_COMPATIBLE,FACE_OR_EDGE_LIKE,MODERATE,PROHIBITED,NONE,Detected segment is visibly part of the beam representation between the labelled supports; treated only as axis-or-face compatible.
L015,G5-B021,14,22,0.139040,0.149831,BEAM_AXIS_OR_FACE_COMPATIBLE,FACE_OR_EDGE_LIKE,MODERATE,PROHIBITED,NONE,Detected segment is visibly aligned with the beam corridor; no inference of exact centerline is made.
L016,G5-B009,6,14,0.166275,0.180214,BEAM_AXIS_OR_FACE_COMPATIBLE,FACE_OR_EDGE_LIKE,MODERATE,PROHIBITED,NONE,Parallel detected segment belongs to the same drawn beam corridor and is compatible with the opposite face or graphical edge.
L022,G5-B010,7,15,0.124729,0.133103,BEAM_AXIS_OR_FACE_COMPATIBLE,FACE_OR_EDGE_LIKE,MODERATE,PROHIBITED,NONE,Detected segment overlays the structural member representation between supports 7 and 15.
L023,G5-B010,7,15,0.141628,0.157421,BEAM_AXIS_OR_FACE_COMPATIBLE,FACE_OR_EDGE_LIKE,MODERATE,PROHIBITED,NONE,Parallel detected segment overlays the same member corridor and is retained only as beam-face compatible.
L040,G5-B034,28,29,0.010227,0.126012,BEAM_AXIS_OR_FACE_COMPATIBLE,AXIS_LIKE,STRONG,PROHIBITED,NONE,Mean residual is about one centimetre and the detected segment visibly coincides with the member corridor; endpoint residual remains review-only.
L042,G5-B029,25,26,0.002722,0.019361,BEAM_AXIS_OR_FACE_COMPATIBLE,AXIS_LIKE,STRONG,PROHIBITED,NONE,Very strong independent geometric confirmation: mean residual about three millimetres and maximum below two centimetres.
L043,G5-B029,25,26,0.263462,0.265245,BEAM_AXIS_OR_FACE_COMPATIBLE,FACE_OR_EDGE_LIKE,MODERATE,PROHIBITED,NONE,Parallel line is visibly on the same drawn beam and its roughly quarter-metre offset is compatible with a face of a 50 cm plan-width representation; no automatic binding.
L052,G5-B012,11,12,0.112062,0.113344,BEAM_AXIS_OR_FACE_COMPATIBLE,FACE_OR_EDGE_LIKE,MODERATE,PROHIBITED,NONE,Detected vertical segment is visibly the member connecting supports 11 and 12; exact axis versus face remains unresolved.
L053,G5-B004,5,6,0.193875,0.195134,BEAM_AXIS_OR_FACE_COMPATIBLE,FACE_OR_EDGE_LIKE,MODERATE,PROHIBITED,NONE,Detected segment lies on the drawn member corridor between supports 5 and 6 and is retained as face-or-edge compatible.
L054,G5-B005,6,7,0.105590,0.106821,BEAM_AXIS_OR_FACE_COMPATIBLE,FACE_OR_EDGE_LIKE,MODERATE,PROHIBITED,NONE,Detected segment visibly follows the structural member between supports 6 and 7; no exact centerline promotion.
L055,G5-B004,5,6,0.172869,0.174636,BEAM_AXIS_OR_FACE_COMPATIBLE,FACE_OR_EDGE_LIKE,MODERATE,PROHIBITED,NONE,Second parallel detected segment lies on the same member representation and is compatible with a beam face or graphical edge.
