artifact_id,path,domain,artifact_type,authority,status,may_feed_canonical,validation_method,replaces_or_relates,note
DATA-M1F-GFI,data/canonical/M1F_GROUND_FLOOR_INTERFACE_CURRENT_v1.csv,M1_FOUNDATIONS,GROUND_FLOOR_INTERFACE,CANONICAL,CURRENT,YES,M1-F ground-interface/residual validator,"M1F_FOUNDATION_ELEVATION_CONTINUITY_v1.csv;M1L_ARCHITECTURAL_ENVELOPE_LOAD_ZONES_v1.csv","Foundation-fill-concrete-pour-screed interface; numerical layer properties and load path remain explicit ND/watches."
GATE-M1F-GFI,data/canonical/M1F_GROUND_FLOOR_INTERFACE_GATE_v1.csv,M1_FOUNDATIONS,GATE,CANONICAL,CURRENT,YES,M1-F ground-interface/residual validator,data/canonical/M1F_GROUND_FLOOR_INTERFACE_CURRENT_v1.csv,"PASS parametric PT interface with load-path and datum watches; current source inventory closed; zero invented numerical loads."
DATA-M1F-GFS,data/canonical/M1F_GROUND_FLOOR_BUILDUP_SOURCE_AVAILABILITY_v1.csv,M1_FOUNDATIONS,SOURCE_AVAILABILITY_AUDIT,CANONICAL,CURRENT,YES,M1-F ground-interface/residual validator,"M1F_GROUND_FLOOR_INTERFACE_CURRENT_v1.csv;registered project-file inventory","Current PT build-up source search closed without primary numeric layer/load-path evidence; reopen only on new primary source or survey."
DATA-M1F-AD-AUDIT,data/canonical/M1F_AD_HISTORICAL_MODEL_DELTA_AUDIT_v1.csv,M1_FOUNDATIONS,HISTORICAL_ASBUILT_DELTA_AUDIT,CANONICAL,CURRENT,YES,M1-F ground-interface/residual validator,"TAV-01S;TAV-01A;M1F_HISTORICAL_CALC_SOURCE_AVAILABILITY_v1.csv","a-d built presence is closed; historical calculation omission remains conditional/not directly proven."
GATE-M1F-AD,data/canonical/M1F_AD_HISTORICAL_MODEL_DELTA_GATE_v1.csv,M1_FOUNDATIONS,GATE,CANONICAL,CURRENT,YES,M1-F ground-interface/residual validator,data/canonical/M1F_AD_HISTORICAL_MODEL_DELTA_AUDIT_v1.csv,"PASS built presence with historical omission watch; current repository source search closed."
DATA-M1F-HCS,data/canonical/M1F_HISTORICAL_CALC_SOURCE_AVAILABILITY_v1.csv,M1_FOUNDATIONS,SOURCE_AVAILABILITY_AUDIT,CANONICAL,CURRENT,YES,M1-F ground-interface/residual validator,"work/m0-global-model;archive/originali-alta-risoluzione;archive/source-index","Repository search for direct historical calculation evidence is closed at current inventory; repeat only if a new source is registered."
DATA-M1F-GEO-REQ,data/canonical/M1F_CURRENT_GEOTECHNICAL_REQUIREMENTS_v1.csv,M1_FOUNDATIONS,CURRENT_GEOTECHNICAL_REQUIREMENTS,CANONICAL,CURRENT,YES,M1-F ground-interface/residual validator,"ORIGINAL_RELATION_PAGE2_EVIDENCE_v1.csv;current NTC framework","Defines present-day site evidence requirements while preserving historical geotechnical assumptions separately."
GATE-M1F-GEO,data/canonical/M1F_CURRENT_GEOTECHNICAL_GATE_v1.csv,M1_FOUNDATIONS,GATE,CANONICAL,CURRENT,YES,M1-F ground-interface/residual validator,data/canonical/M1F_CURRENT_GEOTECHNICAL_REQUIREMENTS_v1.csv,"Requirements defined; current repository source inventory closed; site stratigraphy, groundwater, strength and stiffness evidence remain external/new-investigation residuals."
DATA-M1F-GSA,data/canonical/M1F_GEOTECHNICAL_SOURCE_AVAILABILITY_v1.csv,M1_FOUNDATIONS,SOURCE_AVAILABILITY_AUDIT,CANONICAL,CURRENT,YES,M1-F ground-interface/residual validator,"ORIGINAL_RELATION_PAGE2_EVIDENCE_v1.csv;repository/archive inventory","Current repository geotechnical source search is closed without a report/test dataset beyond historical assumptions; reopen only on new source inventory or investigation evidence."
SCRIPT-M1F-INTERFACE,scripts/validate_m1f_ground_interface_and_residuals.py,M1_FOUNDATIONS,VALIDATOR,PROCEDURE,CURRENT,YES,GitHub Actions,.github/workflows/validate-m1f-foundation.yml,"Deterministic guard against invented PT loads/numeric Z, deletion of a-d, repeated unchanged-source searches and misuse of historical geotechnical parameters."
