incidence_id,endpoint_a,endpoint_b,evidence_anchor,geometry_form,source_local_state,p06_status,blocking,note
P06-INC-001,1,2,P001-TILE-R02-C03,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Continuous foundation contour directly connects the two labelled supports.
P06-INC-002,2,3,P001-TILE-R02-C03,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Continuous foundation contour directly connects the two labelled supports.
P06-INC-003,3,4,P001-TILE-R03-C03|P001-REGION-R02-C02,STRAIGHT,TRACEABLE_ACROSS_OVERLAP,CONFIRMED,false,Contour is continuous across overlapping P02 evidence.
P06-INC-004,1,9,P001-REGION-R01-C02,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Vertical contour directly connects labelled supports.
P06-INC-005,2,10,P001-REGION-R01-C02,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Vertical contour directly connects labelled supports.
P06-INC-006,3,11,P001-REGION-R01-C02,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Vertical contour directly connects labelled supports.
P06-INC-007,9,10,P001-REGION-R01-C02,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Horizontal contour directly connects labelled supports.
P06-INC-008,10,11,P001-REGION-R01-C02,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Horizontal contour directly connects labelled supports.
P06-INC-009,4,5,P001-REGION-R02-C02,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Local vertical contour directly connects 4 to 5.
P06-INC-010,5,6,P001-TILE-R03-C02|P001-REGION-R02-C02,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Horizontal foundation contour directly connects supports.
P06-INC-011,6,7,P001-TILE-R03-C02|P001-REGION-R02-C02,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Horizontal foundation contour directly connects supports.
P06-INC-012,7,8,P001-REGION-R02-C02|P001-TILE-R04-C02,STRAIGHT,TRACEABLE_ACROSS_OVERLAP,CONFIRMED,false,Direct contour continuity confirmed across overlapping evidence.
P06-INC-013,5,12,P001-TILE-R03-C02,ANGLED,DIRECTLY_VISIBLE,CONFIRMED,false,Angled multi-line foundation contour directly joins the labelled supports.
P06-INC-014,11,12,P001-TILE-R03-C02,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Short horizontal contour is directly visible between labelled supports.
P06-INC-015,12,13,P001-TILE-R03-C02,ANGLED,DIRECTLY_VISIBLE,CONFIRMED,false,Angled contour directly joins labelled supports.
P06-INC-016,6,14,P001-TILE-R03-C02,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Vertical contour directly connects labelled supports.
P06-INC-017,7,15,P001-TILE-R03-C02,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Vertical contour directly connects labelled supports.
P06-INC-018,8,16,P001-TILE-R04-C02|P001-REGION-R02-C02,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Vertical contour directly connects labelled supports.
P06-INC-019,13,14,P001-TILE-R03-C02,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Horizontal contour directly connects labelled supports.
P06-INC-020,14,15,P001-TILE-R03-C02,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Horizontal contour directly connects labelled supports.
P06-INC-021,15,16,P001-TILE-R03-C02|P001-TILE-R04-C02,STRAIGHT,TRACEABLE_ACROSS_OVERLAP,CONFIRMED,false,Contour is directly traceable across overlapping evidence.
P06-INC-022,17,18,P001-REGION-R01-C01,STRAIGHT,DIRECTLY_VISIBLE,CONFIRMED,false,Horizontal contour directly connects labelled supports.
