graph_item_id,wing,graph_kind,from_ref,to_ref,source_basis,evidence_state,identity_status,well_formedness_status,blocking_for,notes
ETW-UTG-A01,WING-A,SUPPORT_TRANSITION_LINE,"P28;P29;P30","upper reduced-plan / roof subsystem","TAV-05S topology + TAV-06S roof-presence inventory",DOC_TOPOLOGY+DOC_RASTER,LOCAL_SUPPORT_IDS_RESOLVED,PARTIAL,"persistent 27-chain binding; FEM member generation","P28/P29/P30 continue to roof and form the robust inward support line associated with the P31/P32/P33 terminal branch."
ETW-UTG-A02,WING-A,TERMINATION_SET,"P31;P32;P33",TERMINATES_BELOW_ROOF,"TAV-07A IV-order support population reconciled with TAV-06S absence",DOC_RASTER+DOC_IV_ORDER+RIF_RULE,LOCAL_SUPPORT_IDS_RESOLVED,VER_PARZIALE,"persistent chain terminationReason","Exactly three support terminations in this branch; no vertical extrusion above them."
ETW-UTG-A03,WING-A,ORIGINAL_CANTILEVER_GENEALOGY,"P28;P29;P30","original free edge ND","TAV-05S axis localization + TAV-06E original section",DOC_GEOMETRY+DOC_TOPOLOGY,UPPER_MEMBER_ID_UNRESOLVED,PARTIAL,"final analytical beam length/section","Sequence is support line -> original documentary cantilever -> original free edge; later extension is a separate RIF segment."
ETW-UTG-A04,WING-A,ROOF_BRANCH,"upper reduced-plan supports",ETW-RF-RIDGE-A,"TAV-06S LINEA DI COLMO branch",DOC,ENDPOINTS_UNRESOLVED,PARTIAL,"roof FEM topology","Ridge existence is documentary; endpoint/support binding still open."
ETW-UTG-B01,WING-B,SUPPORT_TRANSITION_LINE,"P02;P10;P18","upper reduced-plan / roof subsystem","TAV-05S topology + TAV-06S roof-presence inventory",DOC_TOPOLOGY+DOC_RASTER,LOCAL_SUPPORT_IDS_RESOLVED,PARTIAL,"persistent 27-chain binding; FEM member generation","P02/P10/P18 continue to roof and form the robust inward support line associated with the P01/P09/P17 terminal branch."
ETW-UTG-B02,WING-B,TERMINATION_SET,"P01;P09;P17",TERMINATES_BELOW_ROOF,"TAV-07A IV-order support population reconciled with TAV-06S absence",DOC_RASTER+DOC_IV_ORDER+RIF_RULE,LOCAL_SUPPORT_IDS_RESOLVED,VER_PARZIALE,"persistent chain terminationReason","Exactly three support terminations in this branch; no vertical extrusion above them."
ETW-UTG-B03,WING-B,ORIGINAL_CANTILEVER_GENEALOGY,"P02;P10;P18","original free edge ND","TAV-05S axis localization + TAV-06E original section",DOC_GEOMETRY+DOC_TOPOLOGY,UPPER_MEMBER_ID_UNRESOLVED,PARTIAL,"final analytical beam length/section","Sequence is support line -> original documentary cantilever -> original free edge; later extension is a separate RIF segment."
ETW-UTG-B04,WING-B,ROOF_BRANCH,"upper reduced-plan supports",ETW-RF-RIDGE-B,"TAV-06S LINEA DI COLMO branch",DOC,ENDPOINTS_UNRESOLVED,PARTIAL,"roof FEM topology","Ridge existence is documentary; endpoint/support binding still open."
ETW-UTG-C01,WING-C,TERMINATION_SET,"P08;P16;P21",TERMINATES_BELOW_ROOF,"TAV-05S topology + TAV-06S absence reconciliation",DOC_TOPOLOGY+DOC_RASTER+INF_CONTROLLED_GROUPING,LOCAL_SUPPORT_IDS_RESOLVED,VER_PARZIALE,"wing-specific persistent chain binding","Three-count closed but geometry is not a single collinear terminal line."
ETW-UTG-C02,WING-C,COMPOSITE_TRANSITION,"P08;P16;P21","P13/P22 and adjacent surviving roof supports","P16-P08 direct connection; P21-P13/P21-P22 and adjacent chain topology",DOC_TOPOLOGY+INF_CONTROLLED,COMPOSITE_IDENTITY,PARTIAL,"upper member genealogy; FEM topology","Do not manufacture one support line by analogy with WING-A/B."
ETW-UTG-C03,WING-C,ORIGINAL_CANTILEVER_GENEALOGY,COMPOSITE,"original free edge ND","TAV-06E proves original top-floor cantilever behavior but does not isolate a unique WING-C plan axis",DOC_GEOMETRY+INF_CONTROLLED,UPPER_MEMBER_ID_UNRESOLVED,BLOCKED_IDENTITY,"final analytical beam generation","Requires wing-specific plan/elevation reconciliation before any member creation."
ETW-UTG-C04,WING-C,ROOF_BRANCH,"upper reduced-plan supports",ETW-RF-RIDGE-C,"TAV-06S LINEA DI COLMO branch",DOC,ENDPOINTS_UNRESOLVED,PARTIAL,"roof FEM topology","Preserve as an independent branch."
ETW-UTG-G01,ALL,ROOF_SUPPORT_POPULATION,"34 IV-order supports","25 continue + 9 terminate","ETW_TAV06S_ROOF_SUPPORT_INVENTORY_v1.csv + TAV-07A",DOC_RASTER+DOC_IV_ORDER,COUNT_RESOLVED,PASS_COUNT_ONLY,"persistent chain mapping","Population balance is exact but does not replace identity binding."
ETW-UTG-G02,ALL,GENEALOGY_INVARIANT,"original support node","original cantilever -> later extension -> current edge","ETW_UPPER_CANTILEVER_BEAM_GENEALOGY_CANDIDATES_v1.csv + analytical states",DOC_ORIGINAL+RIF_EXTENSION,GENEALOGY_RESOLVED_MEMBER_IDS_OPEN,PASS_RULE_ONLY,"all current/as-designed analytical models","Current outer edge must never be used as the original 1978-80 free edge unless independently proven."
