release_id,level_scope,entity_ref,entity_kind,release_class,geometry_status,section_status,identity_status,solver_action,source_basis,notes
M0-R001,FOUNDATION,MAIN_FOUNDATION_GRID,FOUNDATION_GRAPH,READY,READY_PARTIAL_GRAPH,PARAMETRIC_ND,PARTIAL_IDENTITY,GENERATE_TOPOLOGY_ONLY,"foundation_edges_doc_v1.csv + foundation_nodes_pixel_v1.csv + FND consolidati","7 chains / 26 segments known from consolidated work; material/support constitutive properties remain separate."
M0-R002,G1,ORIGINAL_FRAME_G1,FRAME_GRAPH,PARAMETRIC_ND,SOURCE_BOUND_PARTIAL,PARTIAL_DOC,PARTIAL_IDENTITY,GENERATE_SOURCE_BOUND_SUBSET,"TAV-02S + recovered P-axis/vertical datasets","Do not fabricate complete regular floor by extrusion; unresolved members stay absent from generated subset."
M0-R003,G1,ETW-FLT-E01,BEAM_SEGMENT,READY,READY,25x70_DOC,LOCAL_ANALYTICAL_ID,GENERATE,"ETW_FIRST_LEVEL_TERRACE_LOCAL_SUBGRAPH_v1.csv","Original P16->J1 segment, analytical subdivision only."
M0-R004,G1,ETW-FLT-E02,BEAM_SEGMENT,READY,READY,25x70_DOC,LOCAL_ANALYTICAL_ID,GENERATE,"ETW_FIRST_LEVEL_TERRACE_LOCAL_SUBGRAPH_v1.csv","Original J1->P08 segment."
M0-R005,G1,ETW-FLT-E03,LOCAL_PROJECTING_MEMBER,PARAMETRIC_ND,READY_1P50M,ND,LOCAL_ID_RESOLVED,GENERATE_WITH_PARAMETER_SET,"TAV-02S native HiRes + ETW_FIRST_LEVEL_TERRACE_LOCAL_SUBGRAPH_v1.csv","Geometry 1.50 m documentary; section and distal support remain parameters/holds."
M0-R006,G1,ETW-FLT-N02,LOCAL_OUTER_NODE,BLOCKED_LOCAL,READY,NA,LOCAL_NODE_SUPPORT_UNRESOLVED,DO_NOT_ASSIGN_SUPPORT,"ETW_FIRST_LEVEL_TERRACE_FOUNDATION_SUPPORT_AUDIT_v1.csv","No original support/foundation documented; as-built support is RIF/ND."
M0-R007,G1_G2,TERRACE_ADDED_COLUMN_SET,LOCAL_COLUMNS,BLOCKED_LOCAL,ND,ND,UNRESOLVED,EXCLUDE_FROM_BASE_M0,"RIF + TAV-01S negative evidence","Added columns are reported but exact location/base genealogy is not source-bound."
M0-R008,G2,ORIGINAL_FRAME_G2,FRAME_GRAPH,PARAMETRIC_ND,SOURCE_BOUND_PARTIAL,PARTIAL_DOC,PARTIAL_IDENTITY,GENERATE_SOURCE_BOUND_SUBSET,"TAV-03S + ETW2 differential register","Full level graph not yet serialized as a closed analytical member set."
M0-R009,G2_G3,P13,COLUMN_VERTICAL,READY,READY,35x50_TO_30x50_DOC,PERSISTENT_ID_RESOLVED,GENERATE,"ETW2_G2_G3_SOURCE_BOUND_CHAIN_BRIDGE_v1.csv","XY=16.0458/-6.4666; Z=6.40->9.60 m."
M0-R010,G2_G3,P20,COLUMN_VERTICAL,READY,READY,40x45_TO_30x50_DOC,PERSISTENT_ID_RESOLVED,GENERATE,"ETW2_G2_G3_SOURCE_BOUND_CHAIN_BRIDGE_v1.csv","XY=12.3443/-1.0045; Z=6.40->9.60 m."
M0-R011,G2_G3,P22,COLUMN_VERTICAL,READY,READY,35x50_TO_30x50_DOC,PERSISTENT_ID_RESOLVED,GENERATE,"ETW2_G2_G3_SOURCE_BOUND_CHAIN_BRIDGE_v1.csv","P22 distinct from P22P."
M0-R012,G2_G3,P26,COLUMN_VERTICAL,READY,READY,35x50_TO_30x50_DOC,PERSISTENT_ID_RESOLVED,GENERATE,"ETW2_G2_G3_SOURCE_BOUND_CHAIN_BRIDGE_v1.csv","Source-bound vertical."
