residual_id,element_or_group,storey_id,residual_type,missing_reinforcement_field,primary_source,evidence_ref,current_epistemic_state,drafting_logic_relevance,closeable_now,residual_reason,required_evidence_or_action
M1E-B06-R01,G1 support 3,G1,COLUMN_MEMBER_BINDING,member-specific reinforcement family,TAV-07A,M1A-COL-R01,DOC_SECTION+ND_REINFORCEMENT,NOT_APPLICABLE,NO,"Carpentry section is 60x40 but TAV-07 I-order contains no 60x40 reinforcement family; forcing the 50x40 family is forbidden.","New direct primary reinforcement evidence for support 3 or a newly verified I-order 60x40 family."
M1E-B06-R02,G1 support a,G1,LATER_ADDITION_ASBUILT_REINFORCEMENT,as-built longitudinal and transverse reinforcement,TAV-07A+PT carpentry,M1A-COL-R02,DOC_SECTION+DOC_HISTORICAL_FAMILY+ND_ASBUILT_REINFORCEMENT,SECTION_MATCH_ONLY_NOT_BINDING,NO,"Later terrace-added 30x30 support; historical T7-I-04 section compatibility does not prove as-built reinforcement.","Direct as-built reinforcement detail reliable survey or primary documentation explicitly binding support a."
M1E-B06-R03,G1 support b,G1,LATER_ADDITION_ASBUILT_REINFORCEMENT,as-built longitudinal and transverse reinforcement,TAV-07A+PT carpentry,M1A-COL-R03,DOC_SECTION+DOC_HISTORICAL_FAMILY+ND_ASBUILT_REINFORCEMENT,SECTION_MATCH_ONLY_NOT_BINDING,NO,"Later terrace-added 30x30 support; historical T7-I-04 section compatibility does not prove as-built reinforcement.","Direct as-built reinforcement detail reliable survey or primary documentation explicitly binding support b."
M1E-B06-R04,G1 support c,G1,LATER_ADDITION_ASBUILT_REINFORCEMENT,as-built longitudinal and transverse reinforcement,TAV-07A+PT carpentry,M1A-COL-R04,DOC_SECTION+DOC_HISTORICAL_FAMILY+ND_ASBUILT_REINFORCEMENT,SECTION_MATCH_ONLY_NOT_BINDING,NO,"Later terrace-added 30x30 support; historical T7-I-04 section compatibility does not prove as-built reinforcement.","Direct as-built reinforcement detail reliable survey or primary documentation explicitly binding support c."
M1E-B06-R05,G1 support d,G1,LATER_ADDITION_ASBUILT_REINFORCEMENT,as-built longitudinal and transverse reinforcement,TAV-07A+PT carpentry,M1A-COL-R05,DOC_SECTION+DOC_HISTORICAL_FAMILY+ND_ASBUILT_REINFORCEMENT,SECTION_MATCH_ONLY_NOT_BINDING,NO,"Later terrace-added 30x30 support; historical T7-I-04 section compatibility does not prove as-built reinforcement.","Direct as-built reinforcement detail reliable survey or primary documentation explicitly binding support d."
M1E-B06-R06,G3 support 9,G3,COLUMN_VARIANT_DISCRIMINATION,unique TAV-07 III-order 40x40 reinforcement family,TAV-07A+TAV-04S,M1A-COL-R06,DOC_SECTION+DOC_FAMILIES+ND_MEMBER_BINDING,NOT_APPLICABLE,NO,"Two distinct III-order 40x40 families exist and support 9 is omitted from both numeric lists; cross-order continuity is non-discriminating.","New direct member numbering/detail clearer original-source evidence or independent primary evidence uniquely selecting T7-III-01 versus T7-III-02."
M1E-B06-R07,G3 support 16,G3,COLUMN_VARIANT_DISCRIMINATION,unique TAV-07 III-order 40x40 reinforcement family,TAV-07A+TAV-04S,M1A-COL-R07,DOC_SECTION+DOC_FAMILIES+ND_MEMBER_BINDING,NOT_APPLICABLE,NO,"Two distinct III-order 40x40 families exist and support 16 is omitted from both numeric lists; cross-order continuity is non-discriminating.","New direct member numbering/detail clearer original-source evidence or independent primary evidence uniquely selecting T7-III-01 versus T7-III-02."
M1E-B06-R08,TAV-05A source field UNKNOWN #1,G4,SOURCE_FIELD_INCOMPLETE,unreadable/unknown reinforcement label,TAV-05A,M1A-G05,DOC_SOURCE_FIELD+ND_VALUE,NO_MEMBER_BINDING_AVAILABLE,NO,"Gate records one of two UNKNOWN labels but the current canonical repository does not expose a deterministic group/member locator for this field; assigning it by analogy would invent evidence.","Primary TAV-05A reread or a canonical transcription artifact that binds this exact UNKNOWN field to group/member and resolves the label."
M1E-B06-R09,TAV-05A source field UNKNOWN #2,G4,SOURCE_FIELD_INCOMPLETE,unreadable/unknown reinforcement label,TAV-05A,M1A-G05,DOC_SOURCE_FIELD+ND_VALUE,NO_MEMBER_BINDING_AVAILABLE,NO,"Gate records the second UNKNOWN label but the current canonical repository does not expose a deterministic group/member locator for this field; assigning it by analogy would invent evidence.","Primary TAV-05A reread or a canonical transcription artifact that binds this exact UNKNOWN field to group/member and resolves the label."
M1E-B06-R10,TAV-05A partial sagomato field,G4,SOURCE_FIELD_PARTIAL,missing unreadable portion of bent-bar transcription,TAV-05A,M1A-G05,DOC_PARTIAL_SOURCE_FIELD+ND_REMAINDER,NO_MEMBER_BINDING_AVAILABLE,NO,"Gate records one partial sagomato value; the current canonical repository does not expose a deterministic group/member locator or the missing segment value.","Primary TAV-05A reread or a canonical detailed transcription that resolves the missing sagomato segment without analogy."
M1E-B06-R11,G5-B017,G5,ROOF_MEMBER_SOURCE_BINDING,member-specific reinforcement scheme,TAV-06A,T6A-G03+M1A-G06,ND_REINFORCEMENT+DOC_SOURCE_UNBOUND,NO_PROPAGATION_ALLOWED,NO,"T6A-G03 is a directly documented unlabelled inclined cantilevered scheme but its two-support-plus-free-overhang topology does not directly match B017=12-19; it cannot be assigned to B017.","Direct endpoint/topology binding from TAV-06A or another primary source specifically identifying B017 reinforcement."
M1E-B06-R12,G4 companion run 22'-27-30-33,G4,DRAFTING_RULE_INFERRED_FAMILY,exact bar lengths and G4-specific variant dimensions,TAV-034A+TAV-05A,M1A-BDL-006,INF_STRONG_DRAFTING_RULE+ND_NUMERIC_VARIANT,INF_STRONG_DRAFTING_RULE,NO,"TAV-034A explicitly pairs 22'-27-30-33 with 19-25-28-31 and the unchanged 25x70 companion run exists at G4 as G4-B036/G4-B041/G4-B046; TAV-05A labels only the first run. Family/scheme equivalence is a strong authored-drafting inference but exact G4 bar lengths are not documented.","Validate G4 companion span vector/source-authored variant dimensions or obtain explicit TAV-05A shorthand evidence; do not promote exact lengths to DOC by copying the first run."
