group_id,members,member_count,document_identity,identity_state,document_title,identity_basis,technical_topics,independent_documentary_evidence_count,promotion_authorized
DG-RCP13,1788939776336.jpg;1788939776361.jpg;1788939776381.jpg;1788939776582.jpg;1788939776617.jpg,5,RC-P13,VERIFIED_HISTORICAL_AND_VISUAL,Telaio 5 — calcolo carichi/sezioni,historical RC-P13/v16 references + visible page label on recovered photographs,Telaio 5; 25x70; 140x20; carichi lineari; tratti numerati,1,NO
DG-RCP10,1788939776403.jpg;1788939776430.jpg;1788939776457.jpg;1788939776676.jpg;1788939776899.jpg,5,RC-P10,VERIFIED_HISTORICAL_AND_VISUAL,Telaio 5 — schema geometrico,historical RC-P10 role + Telaio 5 geometry and repeated-node signature across crops,Telaio 5; nodi 1-43; campate; livelli; G5,1,NO
DG-RCP02,1788939776853.jpg;1788939777138.jpg,2,RC-P02,VERIFIED_HISTORICAL_AND_VISUAL,Calcoli di stabilità delle strutture,visible page label 2 + prior FPEP ORIGINAL_RELATION_PAGE2 content match,sistema strutturale; Kani; fondazioni; terreno; materiali,1,NO
DG-LABEL04,1788939776774.jpg;1788939777060.jpg,2,VISIBLE_LABEL_4,VISIBLE_LABEL_NEEDS_HISTORICAL_RECONCILIATION,"Analisi carichi — sottotetto, tamponatura, scale, travi",page/corner label 4 visible on recovered photograph; no independent historical RC-P04 binding yet,solaio sottotetto; tamponatura; scale; balconi; travi,1,NO
DG-LABEL11,1788939776658.jpg,1,VISIBLE_LABEL_11,VISIBLE_LABEL_NEEDS_HISTORICAL_RECONCILIATION,Analisi dei carichi — Telaio I-L-M-N-P-Q-R e A-B-C-D,corner label 11 visible; no independent historical RC-P11 binding yet,carichi telai; traversi; sezioni; tamponature; solai,1,NO
DG-LABEL12,1788939776639.jpg,1,VISIBLE_LABEL_12,VISIBLE_LABEL_NEEDS_HISTORICAL_RECONCILIATION,Calcolo carichi telai,corner label 12 visible; no independent historical RC-P12 binding yet,traversi; balconi; tamponatura; carichi lineari,1,NO
DG-LABEL14,1788939776599.jpg,1,VISIBLE_LABEL_14,VISIBLE_LABEL_NEEDS_HISTORICAL_RECONCILIATION,Calcolo carichi telai H-R-C e altri,corner label 14 visible; no independent historical RC-P14 binding yet,traversi; carichi lineari; telai multipli,1,NO
DG-LABEL15,1788939776564.jpg,1,VISIBLE_LABEL_15,VISIBLE_LABEL_NEEDS_HISTORICAL_RECONCILIATION,Peso solaio/tetto e considerazioni di calcolo,corner label 15 visible; no independent historical RC-P15 binding yet,solaio tetto; copertura; pesi; coefficiente Kani,1,NO
DG-CALCLOAD,1788939776823.jpg;1788939777109.jpg,2,RC-P03_CANDIDATE,SEQUENCE_AND_CONTENT_CANDIDATE,Analisi dei carichi,"content logically follows verified Page 2 and precedes visible-label 4, but page number not independently confirmed",solaio calpestio; copertura; sottotetto; sovraccarichi,1,NO
DG-NOTES,1788939776798.jpg;1788939777081.jpg,2,PAGE_TO_VERIFY,PAGE_IDENTITY_OPEN,Annotazioni costruttive,duplicate photographs of same notes page; no governed page identity,tamponatura; travi portanti 25x70; camera d'aria; pilastri,1,NO
DG-COVER,1788939776879.jpg,1,FRONTESPIZIO,DOCUMENT_ROLE_VERIFIED,Progetto civile abitazione,frontespizio visually explicit,frontespizio progetto,1,NO
DG-FRAME-A,1788939776496.jpg;1788939776705.jpg;1788939776969.jpg,3,PAGE_TO_VERIFY,PAGE_IDENTITY_OPEN,Telai A-B-C-D e Telaio 3,three feature-matched photographs of same frame sheet,geometria telai; campate; livelli,1,NO
DG-FRAME-B,1788939776477.jpg;1788939776690.jpg;1788939776944.jpg,3,PAGE_TO_VERIFY,PAGE_IDENTITY_OPEN,Telaio V-G-H-Z / famiglie correlate,three feature-matched photographs of same frame sheet,geometria telai; livelli; nodi,1,NO
DG-FRAME-C,1788939776512.jpg;1788939776721.jpg;1788939776994.jpg,3,VISIBLE_LABEL_7_CANDIDATE,VISIBLE_LABEL_NEEDS_HISTORICAL_RECONCILIATION,Telaio I-L-M-N-O-P-Q-R,three feature-matched photographs; corner label 7 visible on representative,geometria telaio; livelli; nodi,1,NO
DG-PLAN-COPERTURA,1788939776258.jpg;1788939776529.jpg;1788939776737.jpg;1788939777016.jpg,4,VISIBLE_LABEL_6_CANDIDATE,VISIBLE_LABEL_NEEDS_HISTORICAL_RECONCILIATION,Pianta piano copertura,ORB feature matching links crop 1788939776258 to the three full photographs; corner label 6 visible,pianta; copertura; griglia strutturale,1,NO
DG-PLAN-TIPO-TELAI,1788939776277.jpg;1788939776294.jpg;1788939776314.jpg;1788939776548.jpg;1788939776754.jpg;1788939777040.jpg,6,PAGE_TO_VERIFY,PAGE_IDENTITY_OPEN,Pianta piano tipo — Telai,ORB feature matching links three highlighted crops to three full photographs of same sheet,pianta piano tipo; telai; allineamenti; ancoraggio,1,NO
DG-PLAN-TIPO-TERRAZZO,1788939776920.jpg,1,PAGE_TO_VERIFY,PAGE_IDENTITY_OPEN,Pianta piano tipo compreso il terrazzo,single recovered source photograph; title visually explicit,pianta piano tipo; terrazzo; campate; assi X-Y,1,NO
