beam_id,support_i,support_j,geometry_role,section_hint,source_tile_primary,source_tile_crosscheck,evidence_basis,claim_status,may_feed_vector,note
B-001,c,a,TERRACE_TRANSVERSE,70x25,TAV-02S_L1_R02C01,,DOC_SECTION_BOUND,PROVISIONAL_DOC,CONDITIONAL,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-002,a,17,TERRACE_TO_ORIGINAL,70x25,TAV-02S_L1_R02C01,,DOC_SECTION_BOUND,PROVISIONAL_DOC,CONDITIONAL,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-003,17,9,TOP_MAIN,,TAV-02S_L1_R02C01,TAV-02S_L1_R02C02,DOC_CONTINUITY,PROVISIONAL_DOC,CONDITIONAL,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-004,9,1,TOP_MAIN,,TAV-02S_L1_R02C02,,DOC_CONTINUITY,PROVISIONAL_DOC,CONDITIONAL,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-005,d,b,TERRACE_TRANSVERSE,,TAV-02S_L1_R02C01,,DOC_CONTINUITY,PROVISIONAL_DOC,CONDITIONAL,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-006,b,18,TERRACE_TO_ORIGINAL,,TAV-02S_L1_R02C01,,DOC_CONTINUITY,PROVISIONAL_DOC,CONDITIONAL,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-007,1,2,RIGHT_MAIN,,TAV-02S_L1_R02C02,,DOC_CONTINUITY,PROVISIONAL_DOC,CONDITIONAL,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-008,2,3,RIGHT_MAIN,,TAV-02S_L1_R02C02,TAV-02S_L1_R03C02,DOC_CONTINUITY,PROVISIONAL_DOC,CONDITIONAL,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-009,3,4,RIGHT_MAIN,70x25,TAV-02S_L1_R03C02,,DOC_SECTION_BOUND,PROVISIONAL_DOC,CONDITIONAL,Inherited documentary continuity/section claim; metric span kept separate from topology.
B-010,5,6,RIGHT_MAIN,70x25,TAV-02S_L1_R03C02,,DOC_SECTION_BOUND,DOC_DIRECT_REBOUND,YES_AFTER_VECTOR_QA,Direct r3_c3 review: former P4-P6 binding corrected to P5-P6.
