item_id,status,support_i,support_j,section,confidence,source_basis,action
MBR-001,RECOVERED,P22,P14,50x20,HIGH,"linea strutturale continua + quota 50/richiamo 20 sul raster TAV-05S","promossa in topology v4 come T05-C039"
MBR-002,RECOVERED,P23,P15,50x20,HIGH,"linea strutturale continua + quota 50/richiamo 20 sul raster TAV-05S","promossa in topology v4 come T05-C040; offset su P23"
MBR-003,RECOVERED,P24,P16,25x70,HIGH,"bordo/trave continua con quote 25/70","promossa in topology v4 come T05-C041"
MBR-004,RESTORED,P32,P29,120x20,HIGH,"continuita' strutturale visibile; precedente rimozione basata sul non-contatto del simbolo","ripristinata T05-C004"
MBR-005,RESTORED,P29,P26,120x20,HIGH,"continuita' strutturale visibile; quota 120/richiamo 20","ripristinata T05-C010"
MBR-006,RESTORED,P26,P21,120x20,HIGH,"continuita' strutturale visibile; quota 120/richiamo 20","ripristinata T05-C011"
MBR-007,RESTORED,P10,P02,50x20,HIGH,"continuita' strutturale visibile; quota 50/richiamo 20","ripristinata T05-C020"
MBR-008,RESTORED,P11,P03,30x20,HIGH,"continuita' strutturale visibile; quota 30/richiamo 20","ripristinata T05-C022"
MBR-009,RESTORED,P14,P06,50x20,HIGH,"continuita' strutturale visibile; quota 50/richiamo 20","ripristinata T05-C026"
MBR-010,RESTORED,P15,P07,50x20,HIGH,"continuita' strutturale visibile; quota 50/richiamo 20","ripristinata T05-C028"
MBR-011,RESTORED,P18,P10,120x20,HIGH,"continuita' strutturale visibile; quota 120/richiamo 20","ripristinata T05-C033; offset su P18"
MBR-012,RESTORED,P20,P11,70x20,HIGH,"continuita' strutturale visibile; quota 70/richiamo 20","ripristinata T05-C036"
MBR-013,REVIEW_REQUIRED,P21,P13,ND,MEDIUM,"zona mostra continuita'/risvolto vicino a P13 ma il passaggio sul filo fisso non e' ancora inequivoco","non promuovere; crop dedicato e confronto con altra carpenteria"
MBR-014,REVIEW_REQUIRED,P12,ND,ND,MEDIUM,"P12 resta sostegno senza trave incidente certa nella TAV-05S; geometria circostante e' sfalsata","non inventare connessione; verificare TAV-04/TAV-06 o telaio corrispondente"
