node_id,x_global_m,y_global_m,filo,row_id,derivation,evidence,status,note
31,-3.35,12.23,F0,R1,"Y31=Y32-6.25; Y32=Y33-4.95; Y33=Y15=23.43","TAV-02S: 31-32=6.25; 32-33=4.95; row 33-30-27-23 aligned with node 15",DOC_GLOBAL_COORD,"left sector global grid resolved"
32,-3.35,18.48,F0,R2,"Y32=Y33-4.95; Y33=23.43","TAV-02S direct longitudinal quota + alignment tie",DOC_GLOBAL_COORD,"left sector global grid resolved"
33,-3.35,23.43,F0,R3,"Y33=Y23=Y15=23.43","TAV-02S row alignment 33-30-27-23 and cross-tie to node 15",DOC_GLOBAL_COORD,"cross-tie row"
28,1.35,12.23,F1,R1,"same R1 as node31; X from transverse chain","TAV-02S row alignment + 4.70 transverse chain",DOC_GLOBAL_COORD,"left sector global grid resolved"
29,1.35,18.48,F1,R2,"same R2 as node32; X from transverse chain","TAV-02S row alignment + 4.70 transverse chain",DOC_GLOBAL_COORD,"left sector global grid resolved"
30,1.35,23.43,F1,R3,"same R3 as node33; X from transverse chain","TAV-02S row alignment + 4.70 transverse chain",DOC_GLOBAL_COORD,"left sector global grid resolved"
25,4.80,12.23,F2,R1,"same R1 as node31; X=6.90-2.10=4.80","TAV-02S row alignment + transverse chain",DOC_GLOBAL_COORD,"left sector global grid resolved"
26,4.80,18.48,F2,R2,"same R2 as node32","TAV-02S row alignment + transverse chain",DOC_GLOBAL_COORD,"left sector global grid resolved"
27,4.80,23.43,F2,R3,"same R3 as node33","TAV-02S row alignment + transverse chain",DOC_GLOBAL_COORD,"left sector global grid resolved"
21,6.90,12.23,F3,R1,"same R1 as node31; X fixed by node24 filo F3","TAV-02S row alignment + node24 global tie",DOC_GLOBAL_COORD,"left sector global grid resolved"
22,6.90,18.48,F3,R2,"same R2 as node32; X fixed by node24 filo F3","TAV-02S row alignment + node24 global tie",DOC_GLOBAL_COORD,"left sector global grid resolved"
23,6.90,23.43,F3,R3,"Y23=Y15=23.43; X fixed by node24 filo F3","TAV-02S direct horizontal reference line to node 15",DOC_GLOBAL_COORD,"key longitudinal cross-tie"
24,6.90,28.13,F3,R4,"X24=X16-6.45=13.35-6.45; Y24=Y16=Y8=28.13","TAV-02S bottom chain 6.45-4.65 + common lower reference line",DOC_GLOBAL_COORD,"lower global anchor"
