artifact_id,path,domain,artifact_type,authority,status,may_feed_canonical,validation_method,replaces_or_relates,note
CONTRACT-CEW-PROMO-001,automation/CEW_PROMOTION_ENGINE_CONTRACT_v1.json,CEW_PROMOTION_ORCHESTRATION,MACHINE_CONTRACT,PROCEDURE,CURRENT,YES,promotion-engine-validator,CONTRACT-CEW-ERW-001,"Defines deterministic promotion eligibility, target whitelist, epistemic ceilings, explicit geometry reopen guard and separate governed writer requirement."
DATA-CEW-PROMO-001,data/canonical/CEW_PROMOTION_TARGET_REGISTRY_v1.csv,CEW_PROMOTION_ORCHESTRATION,TARGET_REGISTRY,CANONICAL,CURRENT,YES,promotion-engine-validator,CONTRACT-CEW-PROMO-001,"Whitelists canonical projection target classes; no target grants direct canonical write authority."
FIXTURE-CEW-PROMO-001,analysis/cew/CEW_F7_PROMOTION_POLICY_FIXTURES_v1.json,CEW_PROMOTION_ORCHESTRATION,CONFORMANCE_FIXTURE,DERIVED,CURRENT,NO,promotion-engine-validator,CONTRACT-CEW-PROMO-001,"Policy-only positive and geometry-reopen negative fixtures; never human evidence and never canonical evidence."
RUN-CEW-PROMO-001,scripts/run_cew_promotion_engine.py,CEW_PROMOTION_ORCHESTRATION,PROMOTION_EVALUATOR,DERIVED,CURRENT,NO,GitHub Actions,CONTRACT-CEW-PROMO-001,"Evaluates retained F6 receipts, validated F7 human-receipt requests and policy fixtures without canonical writes."
RUN-CEW-PROMO-002,scripts/validate_cew_promotion_engine.py,CEW_PROMOTION_ORCHESTRATION,VALIDATOR,DERIVED,CURRENT,NO,GitHub Actions,RUN-CEW-PROMO-001,"Requires retained current residual safeguards, negative guard rejection, eligible policy path and explicit geometry reopen protection."
RUN-CEW-PROMO-003,scripts/build_cew_promotion_orchestration.py,CEW_PROMOTION_ORCHESTRATION,ORCHESTRATION_BUILDER,DERIVED,CURRENT,NO,GitHub Actions,CONTRACT-CEW-PROMO-001,"Builds dependency chains, retained-residual queue and read-only SHA256 canonical snapshot receipt."
RUN-CEW-PROMO-004,scripts/validate_cew_promotion_orchestration.py,CEW_PROMOTION_ORCHESTRATION,VALIDATOR,DERIVED,CURRENT,NO,GitHub Actions,RUN-CEW-PROMO-003,"Validates dependency chains, deterministic residual action classes, reopen sensitivity and canonical snapshot hashes."
RUN-CEW-PROMO-005,scripts/build_cew_canonical_patch_candidates.py,CEW_PROMOTION_ORCHESTRATION,PATCH_CANDIDATE_BUILDER,DERIVED,CURRENT,NO,GitHub Actions,RUN-CEW-PROMO-001,"Emits deterministic non-writing patch candidates for eligible policy or validated human-direct-primary evaluations only after target-specific semantic payload validation."
RUN-CEW-PROMO-006,scripts/validate_cew_governed_writer_boundary.py,CEW_PROMOTION_ORCHESTRATION,WRITER_BOUNDARY_VALIDATOR,DERIVED,CURRENT,NO,GitHub Actions,RUN-CEW-PROMO-005,"Requires authoritative human direct-primary provenance plus separate explicit write authorization; executes no canonical write."
CI-CEW-PROMO-001,.github/workflows/validate-cew-promotion-engine.yml,CEW_PROMOTION_ORCHESTRATION,CI_WORKFLOW,DERIVED,CURRENT,NO,GitHub Actions,"RUN-CEW-PROMO-002;RUN-CEW-PROMO-004;RUN-CEW-PROMO-006","Promotion, orchestration, semantic payload and governed-writer boundary gate. Slice markers do not by themselves close F7."
RECEIPT-CEW-PROMO-READINESS-001,analysis/cew/CEW_F7_READINESS_RECEIPT_v1.json,CEW_PROMOTION_ORCHESTRATION,READINESS_RECEIPT,DERIVED,CURRENT,NO,promotion-engine-validator,CI-CEW-PROMO-001,"Records F7 mechanical readiness at its creation point; subsequent real human decisions still require the current receipt/promotion/writer chain."
