alignment_id,axis_kind,axis_id,support_ids,evidence_status,metric_role,source,hard_for_axis_solve,note
AX-X-001,X,X_L0,"c;d;28;29",DOC_OBSERVED_AXIS_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,YES,"Centri registrati sulla stessa linea verticale; la catena 3.45+2.10 usa questa famiglia di reference lines. P30 gestito separatamente come supporto esteso."
AX-X-002,X,X_L1,"a;b;25;26;27",DOC_OBSERVED_AXIS_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,YES,"Linea verticale comune; c-a=3.45 e 28-25/29-26=3.45 confermano la stessa separazione documentale."
AX-X-003,X,X_L2,"21;22;22'",SUPPORTED_REFERENCE_ALIGNMENT,ALIGNMENT,analysis/pt_raster_candidates/G2_REMAINING_DIMENSION_BAND_AUDIT_v1.csv,CONDITIONAL,"La linea destra della catena r4_c2 3.45+2.10 coincide in coordinate native con la colonna P21/P22/P22-prime; usare 2.10 come distanza fra reference lines, non come coppia di pilastri, dopo controllo residui G3."
AX-X-004,X,X_MID,"13;14;15;16",DOC_OBSERVED_AXIS_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,YES,"Colonna strutturale comune osservata; P13-P14=2.90 e le catene inferiori forniscono la metrica verticale."
AX-X-005,X,X_R1,"9;10;11;12",DOC_OBSERVED_AXIS_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,YES,"Colonna strutturale comune osservata sul raster."
AX-X-006,X,X_R2,"5;6;7;8",DOC_OBSERVED_AXIS_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,YES,"Colonna strutturale comune; P4-P5=1.90 e P7-P8=4.70 collegano questa colonna alla destra."
AX-X-007,X,X_R3,"1;2;3;4",DOC_OBSERVED_AXIS_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,YES,"Colonna strutturale destra con catena verticale 4.70-5.10-4.15."
AX-X-008,X,X_LFAR,"31;32;33",DOC_OBSERVED_AXIS_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,YES,"Colonna esterna sinistra; 31-28=4.70 documenta la separazione X da X_L0."
AX-X-009,X,X_P30_CENTER,"30",DOC_EXTENDED_SUPPORT_CENTERLINE,ALIGNMENT,data/canonical/PT_RASTER_EXTENDED_SUPPORTS_WORKING_v1.csv,CONDITIONAL,"P30 30x110: asse centrale osservato e quasi coincidente con X_L0; mantenere separato finche il residuo metrica/faccia non viene verificato."
AX-Y-001,Y,Y_TOP,"c;a;17;9;1",DOC_OBSERVED_AXIS_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,YES,"Riga superiore comune; catena c-a-17-9-1 documentata."
AX-Y-002,Y,Y_ROW1,"d;b;18;10;2",DOC_OBSERVED_AXIS_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,YES,"Riga strutturale comune; P18 e esteso ma il suo asse trasversale e osservato."
AX-Y-003,Y,Y_LEFT_UPPER,"31;28;25;19",DOC_OBSERVED_AXIS_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,YES,"Riga comune osservata; non implica la vecchia falsa quota 25-19=2.10."
AX-Y-004,Y,Y_ROW3,"20;11;3",DOC_OBSERVED_AXIS_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,YES,"Riga comune osservata."
AX-Y-005,Y,Y_ROW4,"4;5",DOC_OBSERVED_AXIS_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,YES,"Riga comune; quota P4-P5=1.90."
AX-Y-006,Y,Y_MID,"32;29;26;21;13",DOC_OBSERVED_AXIS_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,YES,"Riga comune osservata; collega la maglia sinistra a P13 senza introdurre distanza raster."
AX-Y-007,Y,Y_ROW6,"22;14;6",DOC_OBSERVED_AXIS_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,YES,"Riga comune osservata; P13-P14=2.90 e catena destra determinano la quota Y."
AX-Y-008,Y,Y_ROW7,"27;22'",SUPPORTED_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,CONDITIONAL,"Allineamento diretto raster; quota verticale della riga non ancora documentata."
AX-Y-009,Y,Y_LOW1,"23;15;7",DOC_OBSERVED_AXIS_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,YES,"Riga comune; P23 esteso ma asse trasversale osservato."
AX-Y-010,Y,Y_LOW2,"24;16;8",DOC_OBSERVED_AXIS_ALIGNMENT,ALIGNMENT,data/canonical/PT_PIXEL_SUPPORT_REGISTRY_v1.csv,YES,"Riga inferiore comune; P24-P16=6.45 e P16-P8=4.65."
AX-Y-011,Y,Y_P30_ROW,"30",DOC_EXTENDED_SUPPORT_CENTERLINE,ALIGNMENT,data/canonical/PT_RASTER_EXTENDED_SUPPORTS_WORKING_v1.csv,CONDITIONAL,"Y del centro P30 non ancora legata documentariamente alla riga P33 o P27."
