gate_id,check,expected,observed,status,severity,note
M1A-G01,immutable_reinforcement_sources_indexed,6,6,PASS,HARD,"TAV-01A, TAV-02A, TAV-034A, TAV-05A, TAV-06A and TAV-07A retain immutable blob and SHA-256 identities in the primary-source index."
M1A-G02,primary_source_visualization_available,6,6,PASS,HARD,"The 300 dpi renders are visualization derivatives only; documentary authority remains with the six indexed immutable primary PDFs."
M1A-G03,g1_beam_groups_core_transcribed,8,8,PASS_WITH_WATCH,WATCH,"TAV-02A covers 34 directly bound ordinary beam identities; B-051 is transcribed member-by-member. Detailed station projection and unreadable bent-bar segments remain explicit watches."
M1A-G04,g2_g3_direct_beam_groups_transcribed,6,6,PASS_WITH_WATCH,WATCH,"TAV-034A direct groups G01,G02,G04,G05,G06,G07 are source-bound independently to G2 and G3 members. The recurring 20-21 continuation is retained only as a special stair-subsystem candidate."
M1A-G05,g4_beam_groups_transcribed,7,7,PASS_WITH_WATCH,WATCH,"TAV-05A group transcription is complete with two UNKNOWN labels and one partial sagomato preserved; no unreadable value is completed by analogy."
M1A-G06,g5_roof_reinforcement_classified,YES,YES,PASS_WITH_WATCH,WATCH,"B036 and eight eave hosts have direct reinforcement evidence. G5-B017 impluvio reinforcement and generic roof-perimeter extension remain ND/unbound rather than inferred."
M1A-G07,column_support_storey_rows_classified,165,165,PASS_WITH_WATCH,WATCH,"158 rows are bound by carpenteria-first section/order compatibility; seven remain explicit residuals: G1 3,a,b,c,d and G3 9,16. Five source-conflict watches do not alter frozen geometry."
M1A-G08,no_cross_storey_or_analogy_promotion,YES,YES,PASS,HARD,"Sections, beam schedules and column families are not copied between storeys; MIS/RIF/INF/INC/ND are not promoted to DOC."
M1A-G09,special_structural_features_classified,YES,YES,PASS_WITH_WATCH,WATCH,"Stair/torrino, terrace additions, eave ends and gronda/cornice details retain dedicated local gates and exact binding/extent residuals."
M1A-G10,current_member_level_ledger_preserved,YES,YES,PASS_WITH_WATCH,WATCH,"M1A_REINFORCEMENT_CURRENT_v1.csv preserves the directly member-bound B-051 schedule. Group, column and special-feature evidence remains in registered canonical ledgers referenced by this gate, without false row expansion."
M1A-GATE,gate_state,PASS_WITH_WATCH,PASS_WITH_WATCH,PASS_WITH_WATCH,GATE,"Reinforcement evidence inventory and conservative binding are sufficient to release independent M1-L work. Residual reinforcement claims remain mandatory inputs/watches before affected member checks or CALCULATION_MODEL_READY."
