load_id,model_view,domain,level_scope,load_component,application_class,source_basis,provenance,evidence_detail,numeric_value,numeric_unit,numeric_status,parametric_rule,structural_binding_status,historical_model_status,current_model_status,residual,model_guard
M1L-LM-001,HISTORICAL_RECONSTRUCTION,TELAIO_5,G1_G3,HISTORICAL_LINE_LOADS,LINE_LOAD,"REGISTRO_MASTER LOAD-001;RC-P13_v16",DOC,"The register documents that historical G1-G3 line loads exist, but the numerical schedule is not present in the current canonical source inventory.",,,ND_SOURCE_VALUE_NOT_AVAILABLE_IN_REGISTER,"w_hist,T5 = source-transcribed line load only after RC-P13 numeric rows are recovered.",FRAME_IDENTITY_DOC_NUMERIC_BINDING_OPEN,DOC_EXISTENCE_NUMERIC_ND,NOT_USED_AS_CURRENT_LOAD,RC_P13_NUMERIC_LOAD_ROWS_NOT_RECOVERED,"Do not reconstruct historical values from current geometry or normative loads."
M1L-LM-002,CURRENT_ASBUILT,ORDINARY_FRAME,G1_G5,BEAM_AND_COLUMN_SELF_WEIGHT,MEMBER_DISTRIBUTED_LOAD,"M0G_GEOMETRY_HANDOFF_v1.json;M1S_SECTION_GATE_v1.csv;M1M_MATERIAL_GATE_v1.csv",DOC,"Member geometry and usable sections are canonical; historical material specification is documented, while an accepted current-model density is not yet registered.",,,PARAMETRIC_DENSITY_REQUIRED,"g_member = A_section * gamma_material; use the member's own section and an explicitly accepted density.",DIRECT_FROZEN_MEMBER_BINDING,SEPARATE_HISTORICAL_MODEL,PARAMETRIC_NOT_NUMERIC,CURRENT_MODEL_DENSITY_OR_EXPLICIT_ASSUMPTION_ND,"Never substitute concrete strength or an unrelated reported density for unit weight."
M1L-LM-003,CURRENT_ASBUILT,ORDINARY_FLOORS,G1_G4,STRUCTURAL_FLOOR_SELF_WEIGHT,AREA_LOAD,"M0G_GEOMETRY_HANDOFF_v1.json;M1L_LOAD_PATH_CLASSIFICATION_CURRENT_v1.csv",ND,"Floor structural domains exist, but slab build-up, tributary fields and unit weights are not numerically registered.",,,ND_GEOMETRY_LAYERS_AND_UNIT_WEIGHTS,"g_slab = sum(t_i * gamma_i) over structurally supported documented layers.",FLOOR_FIELDS_AND_TRIBUTARY_AREAS_OPEN,SEPARATE_HISTORICAL_MODEL,NOT_NUMERIC,SLAB_SYSTEM_THICKNESSES_LAYERS_UNIT_WEIGHTS_AND_TRIBUTARY_BINDING_ND,"Do not infer slab area loads from beam sections or adjacent storeys."
M1L-LM-004,CURRENT_ASBUILT,ORDINARY_FLOORS,G1_G4,FINISHES_AND_PARTITIONS,AREA_OR_LINE_LOAD,"M1L_LOAD_PATH_CLASSIFICATION_CURRENT_v1.csv",ND,"Finishes, screeds, partitions and their distributions lack current documentary or measured numerical coverage.",,,ND_BUILDUP_AND_DISTRIBUTION,"g_nonstruct = sum(t_i * gamma_i); partitions remain line loads or an admitted equivalent-area rule only after explicit model approval.",APPLICATION_ZONES_OPEN,SEPARATE_HISTORICAL_MODEL,NOT_NUMERIC,FINISH_PARTITION_MATERIALS_THICKNESSES_LAYOUT_AND_UNIT_WEIGHTS_ND,"Do not silently apply a generic partition allowance."
M1L-LM-005,CURRENT_ASBUILT,ORDINARY_USE,G1_G4,VARIABLE_USE_LOAD,AREA_LOAD,"M1L_ARCHITECTURAL_ENVELOPE_LOAD_ZONES_v1.csv",ND,"Use categories and current assessment values are not frozen by the repository evidence set.",,,ND_USE_CATEGORY_AND_CODE_VALUE,"q_use = value from the explicitly adopted assessment rule after use-zone classification.",USE_ZONE_CLASSIFICATION_OPEN,SEPARATE_HISTORICAL_MODEL,NOT_NUMERIC,USE_CATEGORIES_AND_ADOPTED_ASSESSMENT_VALUES_ND,"Do not derive occupancy loads from reported apartment count alone."
M1L-LM-006,CURRENT_ASBUILT,BASEMENT_PT_GROUND_BUILDUP,G1,PT_FILL_POUR_SCREEDS,GROUND_SUPPORTED_OR_AREA_LOAD,"M1F_GROUND_FLOOR_INTERFACE_CURRENT_v1.csv;M1L-LP-001",RIF,"Raised PT geometry is documentary; inert fill, concrete pour and screeds are user-reported, with thicknesses, unit weights and structural load path unresolved.",,,ND_LOAD_PATH_LAYERS_AND_UNIT_WEIGHTS,"g_PT,struct = sum(g_i * A_struct,i); ground-supported portions are excluded from frame/foundation gravity loading.",OPEN_GROUND_SUPPORTED_VS_STRUCTURAL_TRANSFER,TO_AUDIT,PARAMETRIC_ONLY,PT_STRATIGRAPHY_UNIT_WEIGHTS_STRUCTURAL_TRANSFER_AND_MASS_ND,"Do not apply the complete PT build-up to the frame or foundation beams by default."
M1L-LM-007,CURRENT_ASBUILT,G1_EXTERNAL_TERRACE_ADDITION,G1,TERRACE_PERMANENT_AND_VARIABLE_LOADS,AREA_AND_MEMBER_LOAD,"M1L-LP-002;M1F_AD_HISTORICAL_MODEL_DELTA_AUDIT_v1.csv",DOC,"Terrace geometry and a-d as-built support subsystem are documented; supported terrace segmentation, layers and numerical loads are unresolved.",,,ND_AREA_SUPPORT_AND_LOAD_VALUES,"G_G1terrace = supported layer weights + documented edge/member weights; Q assigned only after use classification.",PARTIAL_AD_SUBSYSTEM_BINDING,OMISSION_RIF_NOT_DOC,NOT_NUMERIC,TERRACE_SEGMENTATION_SUPPORT_MECHANISM_LAYERS_AND_LOADS_ND,"Keep a-d in the as-built model and do not promote reported historical omission to DOC."
M1L-LM-008,CURRENT_ASBUILT,TYPICAL_SHAPED_BALCONIES,G2_G4,BALCONY_SLAB_FINISH_PARAPET_AND_USE_LOADS,AREA_AND_LINE_LOAD,"M1L-LP-003;M1A_BALCONY_CORNICE_REINFORCEMENT_SOURCE_AUDIT_v1.csv",DOC,"Architectural outlines are documentary; structural mechanism, layers, parapets, tributary binding and numerical values remain open.",,,ND_STRUCTURAL_BINDING_AND_LOAD_VALUES,"G_balcony = G_slab + G_finishes + G_parapet + G_edge; Q_balcony remains separately adopted.",PROJECTING_BALCONY_MECHANISM_OPEN,OMISSION_RIF_NOT_DOC,NOT_NUMERIC,LEVEL_BINDING_REINFORCEMENT_LAYERS_PARAPETS_AND_LOAD_VALUES_ND,"Do not infer balcony cantilever action or loads from ordinary beam reinforcement schedules."
M1L-LM-009,CURRENT_ASBUILT,G4_G5_TOP_TERRACES,G4_G5,TERRACE_PERMANENT_AND_VARIABLE_LOADS,AREA_LOAD,"M1L-LP-004;M1A_ARCHITECTURAL_SPECIAL_FEATURES_CURRENT_v1.csv",DOC,"Three top terrace wings are documentary; interior/terrace boundaries, support paths, construction layers and load values remain open.",,,ND_BOUNDARIES_PATH_LAYERS_AND_VALUES,"G_topterrace = sum(t_i * gamma_i) by proven supported zone; Q only after use classification.",STRUCTURAL_BOUNDARY_OPEN,OMISSION_RIF_NOT_DOC,NOT_NUMERIC,INTERIOR_TERRACE_BOUNDARY_SUPPORT_PATH_LAYERS_AND_VALUES_ND,"Do not convert the user-qualified apartment statement into a load category."
M1L-LM-010,CURRENT_ASBUILT,STAIR_CORE_TORRINO,G1_G5,FLIGHTS_LANDINGS_WALLS_AND_TOWER_ROOF,DEDICATED_SUBSYSTEM_LOAD,"M1L-LP-005;M1A_STAIR_TOWER_SUBSYSTEM_CURRENT_v1.csv",DOC,"The dedicated subsystem is documented, but exact 3D member paths, footprint, tributary areas and construction layers remain open.",,,ND_3D_BINDING_LAYERS_AND_VALUES,"G_stair/tower = G_flights + G_landings + G_walls + G_roof after exact binding.",DEDICATED_SUBSYSTEM_BINDING_OPEN,TO_VERIFY,NOT_NUMERIC,PATH_FOOTPRINT_TRIBUTARY_GEOMETRY_LAYERS_AND_LOAD_VALUES_ND,"Do not flatten stair/tower loads into the ordinary floor frame."
