artifact_id,path,domain,artifact_type,authority,status,may_feed_canonical,validation_method,replaces_or_relates,note
PROC-CEW-EVD-001,docs/ARCHITECTURE/CEW_EVIDENCE_PROVENANCE_MODEL_v1.md,CEW_EVIDENCE_FOUNDATION,ARCHITECTURE_SPEC,PROCEDURE,CURRENT,YES,evidence-provenance-validator,CONTRACT-CEW-SRC-001,"Defines SourceVersion->Page->EvidenceRegion->Observation chain and explicit coordinate-space semantics."
CONTRACT-CEW-EVD-001,automation/CEW_EVIDENCE_PROVENANCE_CONTRACT_v1.json,CEW_EVIDENCE_FOUNDATION,MACHINE_CONTRACT,PROCEDURE,CURRENT,YES,evidence-provenance-validator,PROC-CEW-EVD-001,"Machine invariants for reproducible page/region/observation provenance and F2 closure."
DATA-CEW-PAGE-001,data/canonical/CEW_PAGE_REGISTRY_v1.csv,CEW_EVIDENCE_FOUNDATION,PAGE_REGISTRY,CANONICAL,CURRENT,YES,evidence-provenance-validator,DATA-CEW-SRC-001,"Measured physical Page identities and source-native dimensions."
DATA-CEW-ASSET-001,data/canonical/CEW_DERIVED_ASSET_REGISTRY_v1.csv,CEW_EVIDENCE_FOUNDATION,DERIVED_ASSET_REGISTRY,CANONICAL,CURRENT,YES,evidence-provenance-validator,DATA-CEW-PAGE-001,"Registers reproducible 300 dpi technical-reading renders as non-authoritative derived review aids."
DATA-CEW-XFORM-001,data/canonical/CEW_PAGE_TRANSFORM_REGISTRY_v1.csv,CEW_EVIDENCE_FOUNDATION,PAGE_TRANSFORM_REGISTRY,CANONICAL,CURRENT,YES,evidence-provenance-validator,DATA-CEW-ASSET-001,"Defines invertible normalized<->source-native<->derived-pixel transforms and identity viewer consumption formula."
DATA-CEW-REGION-001,data/canonical/CEW_EVIDENCE_REGION_REGISTRY_v1.csv,CEW_EVIDENCE_FOUNDATION,EVIDENCE_REGION_REGISTRY,CANONICAL,CURRENT,YES,evidence-provenance-validator,DATA-CEW-XFORM-001,"Four reference regions localized with exact NORMALIZED_0_1 bbox and explicit PageTransform."
DATA-CEW-OBS-001,data/canonical/CEW_OBSERVATION_REGISTRY_v1.csv,CEW_EVIDENCE_FOUNDATION,OBSERVATION_REGISTRY,CANONICAL,CURRENT,YES,evidence-provenance-validator,DATA-CEW-REGION-001,"Finalized literal/partial observations while preserving unreadable content and T6A-G03 UNBOUND semantics."
RUN-CEW-EVD-001,scripts/validate_cew_evidence_provenance.py,CEW_EVIDENCE_FOUNDATION,VALIDATOR,DERIVED,CURRENT,NO,GitHub Actions,CONTRACT-CEW-EVD-001,"Validates 4/4 reproducible chains and coordinate round-trips; emits EVIDENCE_PROVENANCE_PASS."
CI-CEW-EVD-001,.github/workflows/validate-cew-evidence-provenance.yml,CEW_EVIDENCE_FOUNDATION,CI_WORKFLOW,DERIVED,CURRENT,NO,GitHub Actions,RUN-CEW-EVD-001,"Runs system, source identity and evidence provenance closure validators."
RECEIPT-CEW-EVD-001,analysis/cew/CEW_F2_CLOSURE_RECEIPT_v1.json,CEW_EVIDENCE_FOUNDATION,CLOSURE_RECEIPT,CANONICAL,CURRENT,YES,evidence-provenance-validator,CI-CEW-EVD-001,"Records baseline, passing CI runs, F2 COMPLETE transition, M0-G unchanged and F3 release."
