artifact_id,path,domain,artifact_type,authority,status,may_feed_canonical,validation_method,replaces_or_relates,note
PATCH-PT-BEAMS-V2,data/canonical/TAV02S_BEAMS_DOC_CURRENT_v2.csv,PT_GEOMETRY,BEAM_CLAIMS,CANONICAL,CURRENT,YES,G6 direct source revalidation,TAV02S_BEAMS_DOC_CURRENT_v1.csv,Corrected documentary beam topology after G6 source closure
PATCH-PT-BEAMS-G6,data/canonical/TAV02S_BEAMS_DOC_G6_PATCH_v1.csv,PT_GEOMETRY,BEAM_CLAIM_PATCH,CANONICAL,CURRENT,YES,G6 source closure,TAV02S_BEAMS_DOC_CURRENT_v2.csv,Revokes B-029/B-044 and adds B-052 while preserving provenance
PATCH-PT-VBEAMS-V2,data/canonical/PT_VECTOR_BEAMS_v2.csv,PT_GEOMETRY,PHYSICAL_BEAM_VECTORS,CANONICAL,CURRENT,YES,G6 raster QA + face-intersection audit,PT_VECTOR_BEAMS_v1.csv,49 effective physical beam vectors before analytical nodalization
PATCH-PT-VBEAMS-G6,data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,PT_GEOMETRY,PHYSICAL_BEAM_VECTOR_PATCH,CANONICAL,CURRENT,YES,G6 direct source closure,PT_VECTOR_BEAMS_v2.csv,Effective vector patch matching final beam topology
PATCH-PT-VBEAMS-AUDIT,data/canonical/PT_VECTOR_BEAMS_AUDIT_v2.csv,PT_GEOMETRY,BEAM_VECTOR_AUDIT,CANONICAL,CURRENT,YES,G6 duplicate/topology/face audit,PT_VECTOR_BEAMS_v2.csv,Audit of effective beam member set and extended-support face semantics
PATCH-PT-VBEAMS-QA,data/canonical/PT_VECTOR_BEAMS_RASTER_QA_v1.csv,PT_GEOMETRY,BEAM_RASTER_QA,CANONICAL,CURRENT,YES,registered raster overlay + direct review,PT_VECTOR_BEAMS_v2.csv,Per-beam source and overlay QA; no topology rejects
PATCH-PT-VBEAMS-QAMET,data/canonical/PT_VECTOR_BEAMS_RASTER_QA_METRICS_v1.csv,PT_GEOMETRY,BEAM_RASTER_QA_METRICS,DERIVED,CURRENT,NO,overview line-support diagnostic,PT_VECTOR_BEAMS_RASTER_QA_v1.csv,Complementary quantitative overview metrics; never metric authority
PATCH-PT-RTM,data/canonical/PT_RASTER_TO_METRIC_DIAGNOSTIC_v1.csv,PT_GEOMETRY,RASTER_METRIC_DIAGNOSTIC,CANONICAL,CURRENT,YES,frozen affine diagnostic + visual source QA,PT_VECTOR_BEAMS_RASTER_QA_v1.csv,49-member raster-to-metric diagnostic preserving scan residuals
PATCH-PT-VSUP,data/canonical/PT_VECTOR_SUPPORTS_v1.csv,PT_GEOMETRY,PHYSICAL_SUPPORT_VECTORS,CANONICAL,CURRENT,YES,G4/G7 support geometry validation,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv,38 physical support vectors with explicit faces
PATCH-PT-ANODES,data/canonical/PT_ANALYTICAL_NODES_v1.csv,PT_GEOMETRY,ANALYTICAL_FACE_NODES,CANONICAL,CURRENT,YES,G7 beam-face intersection audit,PT_VECTOR_SUPPORTS_v1.csv,98 analytical beam-face nodes; support centroids are not substituted
PATCH-PT-ANODES-AUDIT,data/canonical/PT_ANALYTICAL_NODES_AUDIT_v1.csv,PT_GEOMETRY,ANALYTICAL_NODE_AUDIT,CANONICAL,CURRENT,YES,G7 count/face/provenance validation,PT_ANALYTICAL_NODES_v1.csv,Analytical-node audit including WATCH provenance and extended-support counts
PATCH-PT-OVERLAY,data/canonical/PT_OVERLAY_QA_v1.csv,PT_GEOMETRY,FINAL_OVERLAY_QA,CANONICAL,CURRENT,YES,G9 final support/beam/node overlay validation,PT_ANALYTICAL_NODES_v1.csv,G9 pass with provenance watches and zero topology rejects
PATCH-PT-MASTER-SNAPSHOT,data/canonical/PT_MASTER_PRE_G1G9_SNAPSHOT_20260821.csv,PT_GEOMETRY,MASTER_SNAPSHOT,HISTORICAL,HISTORICAL_ONLY,NO,exact pre-regeneration snapshot,PT_MASTER_CURRENT.csv,Historical Master preserved before G1-G9 regeneration
PATCH-PT-MASTER-AUDIT,data/canonical/PT_MASTER_REGENERATION_AUDIT_v1.csv,PT_GEOMETRY,MASTER_REGENERATION_AUDIT,CANONICAL,CURRENT,YES,G1-G9 count/provenance/topology validation,PT_MASTER_CURRENT.csv,Confirms 38 supports 49 beams 98 analytical nodes and zero topology rejects
PATCH-PT-MASTER-CURRENT,data/canonical/PT_MASTER_CURRENT.csv,PT_GEOMETRY,MASTER,CANONICAL,CURRENT,YES,PT_MASTER_REGENERATION_AUDIT_v1.csv + G9 overlay QA,PT_MASTER_PRE_G1G9_SNAPSHOT_20260821.csv,Regenerated support-centric PT Master from validated G1-G9 outputs only
