record_id,support_id,iv_order_presence,v_order_presence,tav06s_roof_presence,vertical_result,evidence_state,wing_binding,confidence,source_basis,notes
ETW-UCT-001,P01,DOC,ABSENT,ABSENT,NOT_PRESENT_FROM_V_ORDER_ONWARD,DOC_T07_IV+DOC_T07_V+DOC_T06S+RIF_RULE,WING-B,HIGH,"TAV-07A IV/V-order schedules + TAV-06S direct reading + established roof-continuation semantics","One of eight supports already absent from V order; not the same transition case as P21."
ETW-UCT-002,P08,DOC,ABSENT,ABSENT,NOT_PRESENT_FROM_V_ORDER_ONWARD,DOC_T07_IV+DOC_T07_V+DOC_T06S+RIF_RULE,WING-C,HIGH,"TAV-07A IV/V-order schedules + TAV-06S direct reading + established roof-continuation semantics","One of eight supports already absent from V order."
ETW-UCT-003,P09,DOC,ABSENT,ABSENT,NOT_PRESENT_FROM_V_ORDER_ONWARD,DOC_T07_IV+DOC_T07_V+DOC_T06S+RIF_RULE,WING-B,HIGH,"TAV-07A IV/V-order schedules + TAV-06S direct reading + established roof-continuation semantics","One of eight supports already absent from V order."
ETW-UCT-004,P16,DOC,ABSENT,ABSENT,NOT_PRESENT_FROM_V_ORDER_ONWARD,DOC_T07_IV+DOC_T07_V+DOC_T06S+RIF_RULE,WING-C,HIGH,"TAV-07A IV/V-order schedules + TAV-06S direct reading + established roof-continuation semantics","One of eight supports already absent from V order."
ETW-UCT-005,P17,DOC,ABSENT,ABSENT,NOT_PRESENT_FROM_V_ORDER_ONWARD,DOC_T07_IV+DOC_T07_V+DOC_T06S+RIF_RULE,WING-B,HIGH,"TAV-07A IV/V-order schedules + TAV-06S direct reading + established roof-continuation semantics","One of eight supports already absent from V order."
ETW-UCT-006,P21,DOC,DOC,ABSENT,V_ORDER_PRESENT_ROOF_CARPENTRY_ABSENT,DOC_T07_IV+DOC_T07_V+DOC_T06S+RIF_RULE,WING-C,HIGH,"TAV-07A V-order 30x40 group + TAV-06S direct reading + established roof-continuation semantics","Unique high-level termination case: P21 exists in V order but is the sole V-order support absent from TAV-06S. Do not merge epistemically with the other eight."
ETW-UCT-007,P31,DOC,ABSENT,ABSENT,NOT_PRESENT_FROM_V_ORDER_ONWARD,DOC_T07_IV+DOC_T07_V+DOC_T06S+RIF_RULE,WING-A,HIGH,"TAV-07A IV/V-order schedules + TAV-06S direct reading + established roof-continuation semantics","One of eight supports already absent from V order."
ETW-UCT-008,P32,DOC,ABSENT,ABSENT,NOT_PRESENT_FROM_V_ORDER_ONWARD,DOC_T07_IV+DOC_T07_V+DOC_T06S+RIF_RULE,WING-A,HIGH,"TAV-07A IV/V-order schedules + TAV-06S direct reading + established roof-continuation semantics","One of eight supports already absent from V order."
ETW-UCT-009,P33,DOC,ABSENT,ABSENT,NOT_PRESENT_FROM_V_ORDER_ONWARD,DOC_T07_IV+DOC_T07_V+DOC_T06S+RIF_RULE,WING-A,HIGH,"TAV-07A IV/V-order schedules + TAV-06S direct reading + established roof-continuation semantics","One of eight supports already absent from V order."
ETW-UCT-CHECK,ALL,34,"26_V_ORDER","25_ROOF","8_ABSENT_AT_V_ORDER_PLUS_P21_HIGH_TERMINATION",DOC_T07_IV+DOC_T07_V+DOC_T06S+RIF_RULE,"WING-A_3;WING-B_3;WING-C_3",HIGH,"34 IV-order supports -> 26 V-order supports -> 25 TAV-06S roof supports","Count chain now distinguishes transition depth: eight disappear before/at V-order start; P21 alone survives into V order and then disappears from roof carpenteria."
ETW-UCT-TOWER,STAIR_TOWER,NA,NO_EXTRA_NUMBERED_SUPPORT_RESOLVED,UNRESOLVED,LOCAL_UPPER_COLUMN_SEARCH_OPEN,DOC_T07_V+RIF+PHOTO,SEPARATE_GENEALOGY,MEDIUM,"TAV-07A V-order crosscheck + user clarification + upper-floor/tower photo","30x40 is widespread among main-frame V-order supports and cannot identify the tower. No stair-tower-only numbered support has been resolved; do not invent one."
