check_id,expected,actual,status,note
TOTAL_3D_NODE_ROWS,623,623,PASS,
SUPPORT_CORE_ROWS,165,165,PASS,
G1_REUSED_PT_FACE_ROWS,98,98,PASS,
UPPER_BEAM_FACE_ROWS,360,360,PASS,
G1_NODE_ROWS,136,136,PASS,
G2_NODE_ROWS,130,130,PASS,
G3_NODE_ROWS,130,130,PASS,
G4_NODE_ROWS,130,130,PASS,
G5_NODE_ROWS,97,97,PASS,
G2_SOURCE_BEAMS,48,48,PASS,
G3_SOURCE_BEAMS,48,48,PASS,
G4_SOURCE_BEAMS,48,48,PASS,
G5_SOURCE_BEAMS,36,36,PASS,
G2_G4_DOCUMENTED_FACE_MISMATCHES,0,0,PASS,
CENTROID_SUBSTITUTIONS,0,0,PASS,
UNIQUE_NODE_IDS,623,623,PASS,
G5_B008_FROM_FACE,X_NEG,X_NEG,PASS,Direct TAV-06S visual recheck of L-shaped 5->13 member.
G5_B008_TO_FACE,Y_NEG,Y_NEG,PASS,Direct TAV-06S visual recheck of L-shaped 5->13 member.
NO_MIS_TO_DOC_COORDINATE_PROMOTION,YES,YES,PASS,Upper face points are INF analytical derivations; upper registered core XY remains MIS where applicable.
EXTENDED_SUPPORT_FACE_NODES_NOT_MERGED,YES,YES,PASS,Each beam incidence has a stable distinct node id; P18/P23/P30 are never collapsed to one face node.
