crosscheck_id,record_kind,legacy_or_m0g_claim,p07_primary_claim,comparison_class,status,blocking,action,evidence,note
P10-S01,SUPPORT_SET,38 foundation supports / PT Master crosswalk,38 P07 support identifiers,SUPPORT_SET_MATCH,PASS,false,NONE,M1F_FOUNDATION_TOPOLOGY_GATE_v1.csv|PT_MASTER_CURRENT.csv|M1F_PRIMARY_GEOMETRY_GATE_v1.csv,"Support identity set remains compatible; 22 and 22bis/22' remain distinct and a-d are present."
P10-T01,TOPOLOGY_SUMMARY,58 legacy foundation members,55 P07 primary incidences,SET_DELTA,PASS_WITH_WATCH,false,CLAIM_SCOPED_RECONCILIATION,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv|M1F_PRIMARY_GEOMETRY_REVALIDATION_LEDGER_v1.csv,"Do not compare counts as targets. Set comparison yields 54 coincident incidences, four legacy-only incidences and one primary-only incidence."
P10-M01,LEGACY_ONLY,25-26,,LEGACY_EDGE_NOT_IN_PRIMARY,PASS_WITH_WATCH,false,SUPERSEDE_LEGACY_EDGE,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv|P07 primary ledger,"Legacy FND-B023 is not present in the independently promoted primary topology. TAV-01A G06 cannot create this physical edge."
P10-M02,LEGACY_ONLY,28-29,,LEGACY_EDGE_NOT_IN_PRIMARY,PASS_WITH_WATCH,false,SUPERSEDE_LEGACY_EDGE,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv|P07 primary ledger,"Legacy FND-B027 is not present in P07 primary topology."
P10-M03,LEGACY_ONLY,31-32,,LEGACY_EDGE_NOT_IN_PRIMARY,PASS_WITH_WATCH,false,SUPERSEDE_LEGACY_EDGE,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv|P07 primary ledger,"Legacy FND-B029 is not present in P07 primary topology."
P10-M04,LEGACY_ONLY,11-20,,LEGACY_EDGE_NOT_IN_PRIMARY,PASS_WITH_WATCH,false,SUPERSEDE_LEGACY_EDGE,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv|P07 primary ledger,"Legacy FND-B040 11-20 is not reproduced by the primary-evidence incidence sweep."
P10-M05,PRIMARY_ONLY,,11-19,PRIMARY_EDGE_MISSING_FROM_LEGACY,PASS_WITH_WATCH,false,ADD_TO_SUCCESSOR_FOUNDATION_TOPOLOGY,P07 primary ledger|M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,"Primary evidence directly promotes 11-19; the legacy topology lacks this incidence. Existing 19-20 remains a separate primary incidence."
P10-T02,TOPOLOGY_INTERSECTION,54 coincident legacy edges,54 coincident P07 incidences,REVALIDATED_MATCH,PASS,false,NONE,set comparison,"All other legacy physical incidences are revalidated by the independent primary topology."
P10-M0G01,M0G_SCOPE,"M0G handoff explicitly does not complete foundation geometry",P07 foundation geometry separately promoted,SCOPE_COMPATIBLE,PASS,false,NO_M0G_CONNECTIVITY_EDIT,M0G_GEOMETRY_HANDOFF_v1.json,"M0G ordinary superstructure member connectivity is not the authority for foundation members. Therefore the five foundation deltas do not by themselves require modification of M0G_MEMBER_CONNECTIVITY_CURRENT_v1.csv."
P10-M0G02,M0G_TERRACE_SUPPORTS,"a-d terminate at G1",P07 includes a-d foundation supports,VERTICAL_INTERFACE_COMPATIBLE,PASS,false,NONE,M0G_GEOMETRY_HANDOFF_v1.json|P07 primary ledger,"Foundation presence of a-d is compatible with their documented superstructure termination at G1."
P10-M0G03,M0G_COORDINATES,PT Master XY may feed M0G,P07 Cartesian foundation coordinates remain ND,DOMAIN_SEPARATION,PASS_WITH_WATCH,false,DO_NOT_BACKFILL_P07_COORDINATES,PT_MASTER_CURRENT.csv|M0G_GEOMETRY_HANDOFF_v1.json|M1F_PRIMARY_GEOMETRY_GATE_v1.csv,"Agreement or availability of PT/M0G XY cannot retroactively promote foundation coordinates that P07 left ND."
P10-R01,REOPEN_DECISION,Legacy foundation topology current,P07 primary topology,FOUNDATION_TOPOLOGY_REOPEN_REQUIRED,PASS_WITH_WATCH,false,REOPEN_SMALLEST_FOUNDATION_CLAIMS,P07 cross-validated primary evidence,"Supersede/rebuild only the five mismatched foundation incidence claims in the successor topology: remove 25-26, 28-29, 31-32, 11-20; add 11-19. Do not modify unrelated M0G superstructure geometry."
P10-FINAL,GATE_SUMMARY,Legacy/M0G regression,P07 primary geometry,PASS_WITH_WATCH,PASS_WITH_WATCH,false,CLAIM_SCOPED_FOUNDATION_REVALIDATION,"P07 primary geometry is authoritative for the five identified deltas. M0G superstructure handoff remains reference-only and need not be globally reopened; the legacy foundation topology requires a smallest-scope successor correction.","No legacy count was used as extraction target and no M0G file is modified in P10."
