check_id,metric,expected,actual,status,severity,evidence,note
M1F-FPEP-R01,p00_p07_primary_chain_complete,YES,YES,PASS,HARD,automation/N12_FOUNDATION_WORK_QUEUE_v1.json,"P00-P07 are receipt-gated COMPLETE; primary geometry was reconstructed before legacy/model crosschecks."
M1F-FPEP-R02,p08_tav01a_binding_review_complete,YES,YES,PASS_WITH_WATCH,WATCH,analysis/fpep/FPEP_TAV01A_BINDING_REVIEW_v1.csv,"TAV-01A is property-binding only. 39 direct primary matches, 1 supported binding, 15 ND documentary incidences; G06 steps 25-26/28-29/31-32 are barred from geometry creation."
M1F-FPEP-R03,p09_historical_crosscheck_complete,YES,YES,PASS_WITH_WATCH,WATCH,analysis/fpep/FPEP_HISTORICAL_MODEL_CROSSCHECK_v1.csv,"Historical relation is conceptually compatible with a foundation mesh, but no complete member-level calculation dossier is registered and historical a-d participation remains unproven."
M1F-FPEP-R04,p10_regression_crosscheck_complete,YES,YES,PASS_WITH_WATCH,WATCH,analysis/fpep/FPEP_M0G_REGRESSION_CROSSCHECK_v1.csv,"54 legacy incidences revalidated; four pre-P07 legacy-only edges are superseded and primary edge 11-19 must be used by the successor foundation model. M0-G superstructure geometry is not globally reopened."
M1F-FPEP-R05,p11_interface_crosscheck_complete,YES,YES,PASS_WITH_WATCH,WATCH,analysis/fpep/FPEP_FOUNDATION_INTERFACE_CROSSCHECK_v1.csv,"Common symbolic foundation plane remains valid for 38 supports; numeric Z, PT load path/layer properties and current site geotechnics remain open. Pre-P07 58-member symbolic connectivity is not current topology authority."
M1F-FPEP-R06,blocking_primary_topology_conflicts,0,0,PASS,HARD,data/canonical/M1F_PRIMARY_GEOMETRY_GATE_v1.csv,"No blocking primary topology conflict remains after P06/P07."
M1F-FPEP-R07,information_barrier_violations,0,0,PASS,HARD,foundation receipts P00-P11,"Primary extraction was isolated from legacy topology targets and downstream models until P07; no majority-vote or downstream-primary authority inversion is recorded."
M1F-FPEP-R08,primary_support_identifiers,38,38,PASS,HARD,data/canonical/M1F_PRIMARY_GEOMETRY_GATE_v1.csv,"Support count is an output of primary reconstruction, not a legacy target."
M1F-FPEP-R09,primary_foundation_incidences,55,55,PASS,HARD,data/canonical/M1F_PRIMARY_GEOMETRY_REVALIDATION_LEDGER_v1.csv,"Successor foundation analytical assembly must derive connectivity from these P07/P06 primary claims."
M1F-FPEP-R10,cartesian_foundation_coordinates_fabricated,0,0,PASS,HARD,data/canonical/M1F_PRIMARY_GEOMETRY_GATE_v1.csv,"Foundation Cartesian coordinates remain ND where primary metric binding is incomplete; PT/M0-G coordinates do not retro-promote them."
M1F-FPEP-R11,nonpromotable_metric_chain_watches,2,2,PASS_WITH_WATCH,WATCH,data/canonical/M1F_PRIMARY_GEOMETRY_GATE_v1.csv,"14.55 witness membership and 13.60 closure discrepancy remain excluded from coordinate derivation."
M1F-FPEP-R12,downstream_old_58_member_topology_allowed_as_authority,NO,NO,PASS,HARD,analysis/fpep/FPEP_M0G_REGRESSION_CROSSCHECK_v1.csv|analysis/fpep/FPEP_FOUNDATION_INTERFACE_CROSSCHECK_v1.csv,"M1F-FOUNDATION-MODEL must consume FPEP-promoted geometry. The old 58-member topology/symbolic connectivity may remain historical/regression evidence only."
M1F-FPEP-R13,current_geotechnical_evidence_complete,NO,NO,PASS_WITH_WATCH,WATCH,analysis/fpep/FPEP_FOUNDATION_INTERFACE_CROSSCHECK_v1.csv,"FPEP geometry release does not imply current geotechnical verification readiness. Site-specific stratigraphy/groundwater/strength/stiffness remain external/new-investigation residuals."
M1F-FPEP-R14,numeric_foundation_z_complete,NO,NO,PASS_WITH_WATCH,WATCH,analysis/fpep/FPEP_FOUNDATION_INTERFACE_CROSSCHECK_v1.csv,"ZF_COMMON is symbolic; historical 1.00 m below piano di campagna is not mapped to G1/model/absolute Z."
M1F-FPEP-R15,ground_floor_load_path_numeric_build_up_complete,NO,NO,PASS_WITH_WATCH,WATCH,analysis/fpep/FPEP_FOUNDATION_INTERFACE_CROSSCHECK_v1.csv,"Qualitative inert fill > concrete pour > screeds is preserved; load path and numeric layer properties remain open."
M1F-FPEP-RELEASE,release_state,PASS_WITH_WATCH,PASS_WITH_WATCH,PASS_WITH_WATCH,GATE,"P07 gate + P08-P11 crosschecks + FPEP receipts","FPEP primary-evidence geometry workflow is released. This authorizes M1F-FOUNDATION-MODEL to assemble a successor foundation model from P07 authority while preserving all listed watches. It does NOT authorize reuse of the pre-P07 58-member topology as geometry authority, fabrication of coordinates/Z, inference of missing TAV-01A properties, or current geotechnical assumptions."
