axis_kind,axis_id,metric_coordinate_m,coordinate_status,derivation,evidence_status,note
X,X_LFAR,-4.70,SOLVED_DOCUMENTARY,"X_L0=0; P31-P28=4.70",DOC_QUOTED,"Colonna P31/P32/P33."
X,X_L0,0.00,SOLVED_ANCHOR,"Conventional global X origin on c/P28 reference axis",CONVENTIONAL_ANCHOR,"Shared reference line c-d / P28-P29; P30 centerline conditional."
X,X_L1,3.45,SOLVED_DOCUMENTARY,"c-a=3.45; independently 28-25 and 29-26=3.45",DOC_CROSS_VALIDATED,"Shared a-b / P25-P26-P27 axis."
X,X_L2,5.55,SUPPORTED_PENDING_RESIDUAL,"X_L1 + directly observed reference-line dimension 2.10 in r4_c2",DOC_DIMENSION_REFERENCE_REBOUND,"Applies to reference line matching P21/P22/P22-prime column; not a support-pair quota. Validate in G3 residual solve before CURRENT."
X,X_17,6.90,SOLVED_DOCUMENTARY,"X_L1 + a-17=3.45",DOC_CROSS_VALIDATED,"P17 top-chain axis; do not force P18 centroid to this X."
X,X_MID,11.45,SOLVED_DOCUMENTARY_ALIGNMENT,"X_R2 - P15-P7=4.65; alignment P13-P14-P15-P16",DOC_QUOTED_PLUS_ALIGNMENT,"Column P13-P16."
X,X_R1,12.40,SOLVED_DOCUMENTARY,"X_17 + 17-9=5.50",DOC_QUOTED,"Column P9-P12."
X,X_R2,16.10,SOLVED_DOCUMENTARY_ALIGNMENT,"X_R3 - P4-P5=1.90; alignment P5-P6-P7-P8",DOC_QUOTED_PLUS_ALIGNMENT,"Column P5-P8."
X,X_R3,18.00,SOLVED_DOCUMENTARY,"X_R1 + 9-1=5.60",DOC_QUOTED,"Column P1-P4."
X,X_P24,5.00,SOLVED_DOCUMENTARY,"X_MID - P24-P16=6.45",DOC_QUOTED,"P24 axis; distinct from X_L2."
Y,Y_TOP,0.00,SOLVED_ANCHOR,"Conventional global Y origin on top row c-a-17-9-1",CONVENTIONAL_ANCHOR,"Top structural row."
Y,Y_ROW1,4.70,SOLVED_DOCUMENTARY,"Y_TOP + c-d/a-b/P1-P2=4.70",DOC_CROSS_VALIDATED,"Row d-b-P18-P10-P2."
Y,Y_LEFT_UPPER,8.95,SOLVED_DOCUMENTARY_ALIGNMENT,"Y_MID - P31-P32=6.25",DOC_QUOTED_PLUS_ALIGNMENT,"Row P31-P28-P25-P19."
Y,Y_ROW3,9.80,SOLVED_DOCUMENTARY,"Y_ROW1 + P2-P3=5.10",DOC_DIRECT_RASTER,"Row P20-P11-P3."
Y,Y_ROW4,13.95,SOLVED_DOCUMENTARY,"Y_ROW3 + P3-P4=4.15",DOC_DIRECT_RASTER,"Row P4-P5."
Y,Y_MID,15.20,SOLVED_DOCUMENTARY_ALIGNMENT,"Y_ROW6 - P13-P14=2.90; alignment P32-P29-P26-P21-P13",DOC_QUOTED_PLUS_ALIGNMENT,"Key bridge row between C2_LEFT and C3_MID."
Y,Y_ROW6,18.10,SOLVED_DOCUMENTARY,"Y_ROW4 + P4/P5-to-P6 axis=4.15",DOC_DIRECT_RASTER,"Row P22-P14-P6."
Y,Y_LEFT_LOWER,20.15,SOLVED_DOCUMENTARY_ALIGNMENT,"Y_MID + P32-P33=4.95",DOC_QUOTED_PLUS_ALIGNMENT,"Row of P33; P30 centroid Y remains separate."
Y,Y_LOW1,23.40,SOLVED_DOCUMENTARY,"Y_ROW6 + P6-P7=5.30",DOC_DIRECT_RASTER,"Row P23-P15-P7."
Y,Y_LOW2,28.10,SOLVED_DOCUMENTARY,"Y_LOW1 + P7-P8=4.70",DOC_DIRECT_RASTER,"Row P24-P16-P8."
Y,Y_ROW7,,UNRESOLVED_REFERENCE,"P27-P22-prime alignment observed but no written vertical row coordinate",SUPPORTED_ALIGNMENT,"Do not use 1.18 MIS or raster scale as metric authority."
Y,Y_P30_ROW,,UNRESOLVED_REFERENCE,"P30 extended centroid not documentarily tied to P33 or P27 row",REFERENCE_PENDING,"Resolve through extension-line/face semantics."
