audit_id,work_item_id,check,expected,observed,result,evidence_state,source_or_method,note
M0G-HO-A01,M0G-GEOMETRY-HANDOFF,global_topology_gate,NONBLOCKING,PASS_WITH_WATCH,PASS,DERIVED_GATE,data/canonical/M0G_GLOBAL_TOPOLOGY_GATE_v1.csv,All HARD topology and provenance checks passed before handoff.
M0G-HO-A02,M0G-GEOMETRY-HANDOFF,analytical_nodes,623,623,PASS,CANONICAL,data/canonical/M0G_ANALYTICAL_NODES_3D_CURRENT_v1.csv,Reference only; rows are not duplicated in handoff.
M0G-HO-A03,M0G-GEOMETRY-HANDOFF,support_core_nodes,165,165,PASS,CANONICAL,M0G analytical-node registry,Distinct support-core/column-axis role preserved.
M0G-HO-A04,M0G-GEOMETRY-HANDOFF,beam_face_nodes,458,458,PASS,CANONICAL,M0G analytical-node registry,Beam-face incidence nodes remain distinct from support cores.
M0G-HO-A05,M0G-GEOMETRY-HANDOFF,rigid_joint_links,458,458,PASS,INF,data/canonical/M0G_RIGID_JOINT_LINKS_CURRENT_v1.csv,Analytical offsets remain constraints and are not counted as structural members.
M0G-HO-A06,M0G-GEOMETRY-HANDOFF,ordinary_structural_members,356,356,PASS,CANONICAL,data/canonical/M0G_MEMBER_CONNECTIVITY_CURRENT_v1.csv,Exactly 229 beams plus 127 column segments.
M0G-HO-A07,M0G-GEOMETRY-HANDOFF,ordinary_beams,229,229,PASS,CANONICAL,M0G member-connectivity registry,G1=49 G2=48 G3=48 G4=48 G5=36.
M0G-HO-A08,M0G-GEOMETRY-HANDOFF,column_segments,127,127,PASS,CANONICAL,M0G member-connectivity registry,G1-G2=34 G2-G3=34 G3-G4=34 G4-G5=25.
M0G-HO-A09,M0G-GEOMETRY-HANDOFF,roof_special_geometry,6,6,PASS,DOC+MIS+ND,data/canonical/ROOF_G5_SPECIAL_FEATURES_3D_CURRENT_v1.csv,Exactly three ridge axes plus three eaves edge sets retained outside ordinary connectivity.
M0G-HO-A10,M0G-GEOMETRY-HANDOFF,g5_b036_count,1,1,PASS,DOC,data/canonical/M0G_MEMBER_CONNECTIVITY_CURRENT_v1.csv,Confirmed 19-26 oblique beam counted once only.
