unlock_id,parameter_ref,domain,priority,closure_route,source_or_action,can_use_scenario_value,assessment_grade_gate,status,notes
NU-001,Z-V-ORDER,LEVELS,P0,DOCUMENT_REVIEW,"reconcile TAV-05S/TAV-06S/TAV-06E with structural level semantics; use M0_UPPER_Z_DOCUMENT_RECONCILIATION_v1.csv",YES,YES,HOLD_LEVEL_MAPPING,"TAV-06E documents local 3.00+0.20 ordinary modules and 2.00+0.20 upper module, but recovery seed explicitly marks G4 Z HOLD_Z_ND. Do not extrapolate 3.20 to G4/V_ORDER."
NU-002,Z-UPPER-SYMBOLIC-NODES,LEVELS,P0,DOCUMENT_REVIEW,"derive per-node roof Z only after V-order datum; local smoke may use explicit relative scenario from M0_UPPER_Z_DOCUMENT_RECONCILIATION_v1.csv",YES,YES,PARTIAL_RELATIVE_PROFILE,"Relative roof profile is separately evidenced/scenario-controlled; global absolute node Z remains dependent on NU-001. Do not flatten roof nodes."
NU-003,BC-FOUNDATION,FOUNDATION,P0,GEOTECHNICAL_FIELD,"close F5-T soil/foundation model from geotechnical source, investigation or explicit sensitivity model",YES,YES,GEOTECH_SOURCE_REQUIRED,"No usable geotechnical/soil parameter source is currently resolved in the indexed project. Fixed base is allowed only in isolated smoke/sensitivity scenarios, never as canonical default."
NU-004,MAT-CONC-E,MATERIAL,P0,FIELD_INVESTIGATION,"material tests / calibrated mechanical characterization",YES,YES,FIELD_DATA_REQUIRED,"Scenario value permitted only for exploratory sensitivity, never silent canonical promotion."
NU-005,MAT-CONC-NU,MATERIAL,P1,ANALYSIS_SCENARIO,"documented/test-derived value or explicit scenario assumption",YES,YES,SCENARIO_ALLOWED,"Keep assumption tagged; smoke scenario currently uses nu=0.20 without canonical promotion."
NU-006,MAT-STEEL-E,MATERIAL,P1,FIELD_INVESTIGATION,"documentary steel characterization / test / explicit analysis scenario",YES,YES,FIELD_OR_SCENARIO_REQUIRED,"No automatic modern steel grade assumption."
NU-007,SECTION-AG5-004,ROOF_SECTION,P1,NEW_SOURCE_OR_FIELD,"current TAV-06A full HiRes review + recovered v25 checked for P10-P11",YES,YES,CURRENT_DOC_SOURCES_EXHAUSTED,"WING-A ridge. v25 ABACO_TRAVI_TAV6_v23 has empty section fields; NOTA_V25 requires VER when section is not unequivocally readable."
NU-008,SECTION-AG5-005,ROOF_SECTION,P1,NEW_SOURCE_OR_FIELD,"current TAV-06A full HiRes review + recovered v25 checked for P11-P12",YES,YES,CURRENT_DOC_SOURCES_EXHAUSTED,"WING-A ridge. No pointwise section source presently available."
NU-009,SECTION-AG5-025,ROOF_SECTION,P1,NEW_SOURCE_OR_FIELD,"current TAV-06A full HiRes review + recovered v25 checked for P26-P29",YES,YES,CURRENT_DOC_SOURCES_EXHAUSTED,"WING-C ridge. Path is DOC; section remains ND."
NU-010,SECTION-AG5-020,ROOF_SECTION,P1,NEW_SOURCE_OR_FIELD,"current TAV-06A full HiRes review + recovered v25 checked for P22-P22P",YES,YES,CURRENT_DOC_SOURCES_EXHAUSTED,"WING-B opposite eave; section remains ND."
NU-011,SECTION-AG5-021,ROOF_SECTION,P1,NEW_SOURCE_OR_FIELD,"current TAV-06A full HiRes review + recovered v25 checked for P22P-P23",YES,YES,CURRENT_DOC_SOURCES_EXHAUSTED,"WING-B opposite eave; section remains ND."
NU-012,SECTION-AG5-024,ROOF_SECTION,P1,NEW_SOURCE_OR_FIELD,"current TAV-06A full HiRes review + recovered v25 checked for P25-P28",YES,YES,CURRENT_DOC_SOURCES_EXHAUSTED,"WING-C eave; section remains ND."
NU-013,SECTION-AG5-026,ROOF_SECTION,P1,NEW_SOURCE_OR_FIELD,"current TAV-06A full HiRes review + recovered v25 checked for P27-P30",YES,YES,CURRENT_DOC_SOURCES_EXHAUSTED,"WING-C opposite eave; section remains ND."
NU-014,SECTION-AG5-007,ROOF_SECTION,P2,NEW_SOURCE_OR_FIELD,"current TAV-06A full HiRes review + recovered v25 checked for P12-P19",YES,YES,CURRENT_DOC_SOURCES_EXHAUSTED,"Roof-frame continuation; no reliable section callout."
NU-015,SECTION-AG5-008,ROOF_SECTION,P2,NEW_SOURCE_OR_FIELD,"current TAV-06A full HiRes review + recovered v25 checked for P18-P19",YES,YES,CURRENT_DOC_SOURCES_EXHAUSTED,"Local support line; no reliable section callout."
NU-016,SECTION-AG5-011,ROOF_SECTION,P2,NEW_SOURCE_OR_FIELD,"current TAV-06A full HiRes review + recovered v25 checked for P05-P13",YES,YES,CURRENT_DOC_SOURCES_EXHAUSTED,"Roof support line; no reliable section callout."
NU-017,SECTION-AG5-016,ROOF_SECTION,P2,NEW_SOURCE_OR_FIELD,"current TAV-06A full HiRes review + recovered v25 checked for P13-P24",YES,YES,CURRENT_DOC_SOURCES_EXHAUSTED,"Local extension; no reliable section callout."
