artifact_id,path,domain,artifact_type,authority,status,may_feed_canonical,validation_method,replaces_or_relates,note
DATA-M1S-G5,data/canonical/M1S_G5_BEAM_SECTIONS_CURRENT_v1.csv,M1_SECTIONS,DOMAIN_DATA,CANONICAL,CURRENT,YES,section gate,data/canonical/STOREY_BEAMS_G5_v1.csv,G5 current sections
DATA-M1S-RZ,data/canonical/M1S_G5_RIGID_ZONES_v1.csv,M1_MODELING,DOMAIN_DATA,CANONICAL,CURRENT,CONDITIONAL,manual review,,G5 rigid-zone watch
GATE-M1S,data/canonical/M1S_SECTION_GATE_v1.csv,M1_SECTIONS,GATE,CANONICAL,CURRENT,YES,section gate,data/canonical/M0G_GEOMETRY_HANDOFF_v1.json,M1-S section gate
DOC-M1S-HR,docs/M1S_G5_HUMAN_REVIEW_REPORT_v1.md,M1_SECTIONS,REVIEW_REPORT,DERIVED,CURRENT,CONDITIONAL,manual review,,G5 human review
DOC-M1S-CLOSE,docs/M1S_SECTION_CLOSURE_REPORT_v1.md,M1_SECTIONS,CLOSURE_REPORT,DERIVED,CURRENT,YES,section gate,data/canonical/M1S_SECTION_GATE_v1.csv,M1-S closure report
DATA-M1M-EVID,data/canonical/M1M_MATERIAL_EVIDENCE_CURRENT_v1.csv,M1_MATERIALS,DOMAIN_DATA,CANONICAL,CURRENT,YES,material evidence audit,docs/REGISTRO_MASTER.md,Current material evidence inventory with direct original-relation evidence plus residuals preserved
GATE-M1M,data/canonical/M1M_MATERIAL_GATE_v1.csv,M1_MATERIALS,GATE,CANONICAL,CURRENT,YES,material evidence audit,data/canonical/M1M_MATERIAL_EVIDENCE_CURRENT_v1.csv,Inventory pass with unresolved current-strength/knowledge residuals
AUDIT-M1M,analysis/automation/M1M_MATERIAL_EVIDENCE_AUDIT_v1.md,M1_MATERIALS,AUDIT,DERIVED,CURRENT,YES,source and provenance cross-check,data/canonical/M1M_MATERIAL_GATE_v1.csv,Audit updated after direct original calculation relation page 2 recovery
DATA-ORIG-REL-P2,data/canonical/ORIGINAL_RELATION_PAGE2_EVIDENCE_v1.csv,MULTI_DOMAIN_SOURCE_EVIDENCE,SOURCE_TRANSCRIPTION,CANONICAL,CURRENT,YES,direct visual transcription plus image SHA-256,"M1M_MATERIAL_EVIDENCE_CURRENT_v1.csv;future M1F foundation evidence","Original calculation relation page 2: structural system, calculation method, foundation/geotechnical data, concrete R'=300 and FeB38k with historical allowable stresses"
DATA-M1A-SRC,data/canonical/M1A_REINFORCEMENT_SOURCE_MAP_v1.csv,M1_REINFORCEMENT,SOURCE_MAP,CANONICAL,CURRENT,YES,source-index and render audit,data/canonical/tavole_originali_remote_index_v1.csv,M1-A reinforcement source coverage and model-binding progress
DATA-M1A-COL-FAM,data/canonical/M1A_COLUMN_REINFORCEMENT_FAMILIES_v1.csv,M1_REINFORCEMENT,DOMAIN_DATA,CANONICAL,CURRENT,CONDITIONAL,TAV-07A direct visual transcription,data/canonical/STOREY_SUPPORT_SECTIONS_G2_v1.csv+data/canonical/STOREY_SUPPORT_SECTIONS_G3_v1.csv+data/canonical/STOREY_SUPPORT_SECTIONS_G4_v1.csv+data/canonical/STOREY_SUPPORT_SECTIONS_G5_v1.csv,Column reinforcement families by order with binding watches preserved
AUDIT-M1A-COL,analysis/automation/M1A_COLUMN_REINFORCEMENT_TAV07A_AUDIT_v1.md,M1_REINFORCEMENT,AUDIT,DERIVED,CURRENT,YES,TAV-07A source audit,data/canonical/M1A_COLUMN_REINFORCEMENT_FAMILIES_v1.csv,Audit of direct transcription and unresolved order-to-storey/member bindings
DATA-M1A-T2A-GRP,data/canonical/M1A_TAV02A_BEAM_GROUP_INDEX_v1.csv,M1_REINFORCEMENT,BEAM_GROUP_INDEX,CANONICAL,CURRENT,CONDITIONAL,TAV-02A direct support-sequence crosscheck,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,Eight TAV-02A beam groups mapped after formal local reopen; B-051 is kept separate from the paired 50x20 group
DATA-M1A-REINF,data/canonical/M1A_REINFORCEMENT_CURRENT_v1.csv,M1_REINFORCEMENT,DOMAIN_DATA,CANONICAL,CURRENT,CONDITIONAL,TAV-02A direct bar-by-bar visual transcription,data/canonical/M1A_TAV02A_BEAM_GROUP_INDEX_v1.csv,Incremental member reinforcement ledger started with dedicated B-051 20-21 detail; unreadable dimensions remain explicit watches
