check_id,expected,actual,status,note
TOTAL_RIGID_LINK_ROWS,464,464,PASS,One link for every beam-support face node.
G1_RIGID_LINK_ROWS,104,104,PASS,Reused PT face incidences.
G2_RIGID_LINK_ROWS,96,96,PASS,48 beams x 2 ends.
G3_RIGID_LINK_ROWS,96,96,PASS,48 beams x 2 ends.
G4_RIGID_LINK_ROWS,96,96,PASS,48 beams x 2 ends.
G5_RIGID_LINK_ROWS,72,72,PASS,36 beams x 2 ends.
UNIQUE_LINK_IDS,464,464,PASS,No duplicate rigid links.
UNIQUE_FACE_NODE_TARGETS,464,464,PASS,Each face incidence is linked exactly once.
ORPHAN_CORE_NODES,0,0,PASS,Every face node must find the core of the same support and level.
SAME_SUPPORT_LINKS,464,464,PASS,Rigid offset never crosses physical supports.
SAME_LEVEL_LINKS,464,464,PASS,Rigid offset never crosses storeys.
ZERO_LENGTH_LINKS,0,0,PASS,No beam-face incidence may be collapsed to the support core.
NONZERO_DZ_LINKS,0,0,PASS,Core and face incidence lie on the same structural plane.
OUTSIDE_SUPPORT_HALF_DIAGONAL,0,0,PASS,Face point must remain on/within the rectangular support envelope within tolerance.
